DateTime,AddedIPs,RemovedIPs
1515640630,1,6
1515644231,3,3
1515647835,6,3
1515650806,9,7
1515654396,6,0
1515658002,4,9
1515661594,1,0
1515665202,1,0
1515668787,1,0
1515672416,0,2
1515676009,2,3
1515679631,1,1
1515683208,1,2
1515686801,3,1
1515690427,0,4
1515694035,11,1
1515697628,2,2
1515701209,2,2
1515708423,1,1
1515711997,1,3
1515715671,0,1
1515722819,1,5
1515726415,6,3
1515730007,2,0
1515733614,3,0
1515737210,2,1
1515740804,0,1
1515747996,1,1
1515751669,0,2
1515755263,0,4
1515758863,0,26
1515762351,0,82
1515942436,11,0
1515946019,29,0
1515949615,9,0
1515953177,58,0
1515956840,2,0
1515960429,2,5
1515964018,7,1
1515967644,0,9
1515971219,1,1
1515974816,12,0
1515978413,2,3
1515982034,1,1
1515985593,1,3
1515989225,2,31
1515992813,9,11
1515996420,11,3
1516000003,12,0
1516003591,14,0
1516010859,0,1
1516014458,0,10
1516017948,0,104
1516089992,101,0
1516097192,5,0
1516100792,3,0
1516104379,1,5
1516107963,1,4
1516111578,0,5
1516115167,14,4
1516118765,7,2
1516122358,2,1
1516125964,2,0
1516129566,1,1
1516133206,0,2
1516136760,2,1
1516140379,1,3
1516143988,1,1
1516147630,1,2
1516151234,0,9
1516154807,6,2
1516158417,1,6
1516162017,6,2
1516165623,0,3
1516169215,2,4
1516172821,1,0
1516176426,3,12
1516180005,0,5
1516183603,20,1
1516187220,1,1
1516190801,9,0
1516198024,1,1
1516201596,2,1
1516205199,0,5
1516208794,0,1
1516212386,2,2
1516216003,0,1
1516219606,3,0
1516223217,1,1
1516226817,1,11
1516230434,2,3
1516234028,15,0
1516237644,0,2
1516241240,1,2
1516244848,1,0
1516248436,2,13
1516252044,1,1
1516255644,3,13
1516259240,2,5
1516262813,15,2
1516266423,11,0
1516270034,4,0
1516277248,0,3
1516280822,1,1
1516284448,3,5
1516288022,2,0
1516291655,1,0
1516295244,1,2
1516298833,1,5
1516302428,8,12
1516306042,1,1
1516309632,3,1
1516313222,0,3
1516316826,10,3
1516320480,2,0
1516324040,0,2
1516327637,1,2
1516331240,1,4
1516334830,3,1
1516338416,3,4
1516342037,3,0
1516345620,3,0
1516349244,3,2
1516352839,1,0
1516356436,1,2
1516360011,0,3
1516363640,5,2
1516367228,5,1
1516370840,0,2
1516374435,1,2
1516378046,1,2
1516381653,1,6
1516385236,4,0
1516388828,3,7
1516392425,8,1
1516396014,3,2
1516399629,1,3
1516403251,0,2
1516406895,4,2
1516410449,0,9
1516414039,1,14
1516417652,4,14
1516421235,31,6
1516424829,6,1
1516428445,2,1
1516432017,1,2
1516435653,2,3
1516439241,1,3
1516442822,7,1
1516446441,0,1
1516450031,1,1
1516453616,0,1
1516457213,1,3
1516460826,0,2
1516464452,0,6
1516468052,1,1
1516471636,4,17
1516475231,22,1
1516478867,2,1
