DateTime,AddedIPs,RemovedIPs
1515623253,18,12
1515626857,10,9
1515630839,27,17
1515634068,20,9
1515637672,10,16
1515641258,14,47
1515644835,18,18
1515648444,13,13
1515651231,23,16
1515654786,12,17
1515658423,20,11
1515662026,12,15
1515665618,13,11
1515669221,10,12
1515672857,11,8
1515676417,11,10
1515680062,11,14
1515683629,13,17
1515687220,5,14
1515690869,4,50
1515694465,20,13
1515698047,6,11
1515701650,39,5
1515705252,10,6
1515708843,19,7
1515712428,15,13
1515716119,22,36
1515719636,7,13
1515723249,18,38
1515726851,48,40
1515730429,10,3
1515734046,9,3
1515737611,5,5
1515741243,1,16
1515744835,16,8
1515748427,4,11
1515752750,0,18
1515756340,0,14
1515759941,0,101
1515939582,7,303
1515942912,205,0
1515946542,62,0
1515950091,30,0
1515953657,81,0
1515957315,16,5
1515960898,9,8
1515964506,29,7
1515968133,17,15
1515971679,7,7
1515975307,56,1
1515978860,5,11
1515982476,7,6
1515986087,6,29
1515989722,6,37
1515993286,10,14
1515996887,17,5
1516000457,19,7
1516004100,21,11
1516008343,0,15
1516011934,0,9
1516015534,0,49
1516090497,50,137
1516094023,63,0
1516097651,39,0
1516101284,31,0
1516104833,13,8
1516108410,4,16
1516112038,3,10
1516115634,26,15
1516119226,13,8
1516122826,16,5
1516126466,8,2
1516130021,6,11
1516133678,2,6
1516137198,7,13
1516140857,4,19
1516144447,18,8
1516148115,29,6
1516151727,7,13
1516155283,11,7
1516158893,16,27
1516162472,10,7
1516166118,2,9
1516169673,4,6
1516173294,6,13
1516176929,12,14
1516180485,4,6
1516184072,29,3
1516187692,7,2
1516191312,15,5
1516194864,3,2
1516198533,4,3
1516202086,4,7
1516205681,1,13
1516209297,3,9
1516212863,8,2
1516216553,2,4
1516220094,4,9
1516223695,5,7
1516227301,13,27
1516230886,25,4
1516234531,33,3
1516238118,5,2
1516241710,2,6
1516245326,4,40
1516248902,4,16
1516252540,2,8
1516256135,7,17
1516259688,3,11
1516263288,17,13
1516266887,27,6
1516270521,13,10
1516274077,3,2
1516277697,2,12
1516281321,18,15
1516284912,11,9
1516288509,20,1
1516292101,2,2
1516295697,3,6
1516299296,5,9
1516302872,9,18
1516306493,3,5
1516310075,8,5
1516313713,6,13
1516317294,5,21
1516320959,28,8
1516324501,12,5
1516328086,16,5
1516331712,4,22
1516335316,6,2
1516338906,14,6
1516342509,3,4
1516346080,9,4
1516349723,4,3
1516353298,3,5
1516356894,3,4
1516360512,7,14
1516364132,11,5
1516367674,9,4
1516371301,6,4
1516374884,6,11
1516378546,5,7
1516382132,10,14
1516385698,8,4
1516389317,7,19
1516392862,11,2
1516396504,12,6
1516400086,6,9
1516403717,12,4
1516407368,11,7
1516410908,1,17
1516414484,3,17
1516418107,8,48
1516421724,45,6
1516425294,10,5
1516428918,5,6
1516432518,8,5
1516436111,3,12
1516439663,2,9
1516443265,11,3
1516446888,4,10
1516450490,14,6
1516454070,8,3
1516457681,5,8
1516461277,6,3
1516464930,1,16
1516468523,2,8
1516472096,7,21
1516475691,30,3
1516479326,2,4
1516482898,9,6
1516486488,14,3
1516490085,4,5
1516493779,32,2
1516497341,5,5
1516500885,7,20
1516504564,2,36
1516508070,24,8
1516511728,1,8
1516515299,14,8
1516518901,9,2
1516522510,10,2
1516526077,6,2
1516529705,2,5
1516533248,3,7
1516536926,3,4
1516540483,9,7
1516544109,5,5
1516547740,6,6
1516551295,2,6
1516554879,4,8
1516558526,5,6
1516562140,3,11
1516565711,14,5
1516569303,4,6
1516572942,8,11
1516576515,8,8
1516580112,33,10
1516583708,5,6
1516587276,14,10
1516590874,8,29
1516594525,3,11
1516598112,7,11
1516601679,12,6
1516605295,2,5
1516608912,4,2
1516612488,5,6
1516616079,7,15
1516619694,8,18
1516623324,18,7
1516626854,13,4
1516630514,2,5
1516634138,4,5
1516637691,5,3
1516641282,3,20
1516644926,7,4
1516648509,12,5
1516652110,5,12
1516655688,6,3
1516659258,12,1
1516662973,4,10
1516666522,24,4
1516670071,8,4
1516673695,4,4
1516677268,5,13
1516680842,5,27
1516684472,9,10
1516688071,18,3
1516691658,5,10
1516695288,9,9
1516698844,5,14
1516702497,8,14
1516706065,18,5
1516709688,12,14
1516713266,15,6
1516716908,14,7
1516720461,13,8
1516724093,11,10
1516727660,12,9
1516731255,8,13
1516734887,10,1
1516738478,10,8
1516742093,9,6
1516745681,7,1
1516749283,0,5
1516752871,19,15
1516756464,8,18
1516760064,12,28
1516763681,14,30
1516767252,6,11
1516770872,19,5
1516774444,7,7
1516778098,9,7
1516781722,2,12
1516785290,16,11
1516788882,16,8
1516792440,5,5
1516796106,18,7
1516799666,15,6
1516803290,8,9
1516806896,4,9
1516810496,14,7
1516814079,7,8
1516817667,8,7
1516821265,1,9
1516824880,3,6
1516828464,4,26
1516832117,14,13
1516835669,10,12
1516839324,28,5
1516842897,31,6
1516846526,5,4
1516850070,4,21
1516853712,4,11
1516857310,5,28
1516860881,28,5
1516864485,13,4
1516868126,4,3
1516871697,6,8
1516875253,5,12
1516882470,7,17
1516886096,4,6
1516889692,21,15
1516893298,9,4
1516896871,10,4
1516900476,11,4
1516904128,6,11
1516907683,10,3
1516911301,1,6
1516914899,7,5
1516918483,6,6
1516922047,6,17
1516925731,21,5
1516929321,7,20
1516932913,7,11
1516936488,13,21
1516940074,17,5
1516943706,4,12
1516947277,8,4
1516950891,6,6
1516954497,6,18
1516958113,15,8
1516961677,6,5
1516965295,3,15
1516968885,26,7
1516972483,5,4
1516976109,5,8
1516979646,10,1
1516983271,5,5
1516986878,7,3
1516990468,3,3
1516994094,6,6
1516997706,3,11
1517001272,6,6
1517004861,7,14
1517008444,15,8
1517012104,32,5
1517015720,5,4
1517019274,7,8
1517022895,2,42
1517026518,8,22
1517030070,12,6
1517033687,7,9
1517037304,10,4
1517040923,5,24
1517044658,34,7
1517048082,10,5
1517051720,5,10
1517055312,24,7
1517058906,7,12
1517062474,16,6
1517066130,11,2
1517069670,6,8
1517073290,5,7
1517076882,4,14
1517080483,10,8
1517084092,11,11
1517087684,11,0
1517091272,7,4
1517094861,3,9
1517098551,23,8
1517102138,10,8
1517105697,12,6
1517109295,8,23
1517112933,6,10
1517116536,11,8
1517120088,9,5
1517123694,6,12
1517127297,10,6
1517130901,7,10
1517134489,8,3
1517138116,1,5
1517141680,4,3
1517145280,2,20
1517148930,6,21
1517152466,26,7
1517156098,10,8
1517159686,12,5
1517163314,15,6
1517166897,5,8
1517170506,7,5
1517174115,4,11
1517177684,9,7
1517181296,6,6
1517185004,21,7
1517188583,12,3
1517192175,4,11
1517195726,12,29
1517199348,6,14
1517202960,16,18
1517206524,12,5
1517210159,6,9
1517213758,8,8
1517217384,12,21
1517220931,6,12
1517224525,22,6
1517228149,12,12
1517231763,3,12
1517235359,13,2
1517238939,7,9
1517242549,6,9
1517246155,5,5
1517249727,11,6
1517253348,3,17
1517256944,11,11
1517260564,15,4
1517264154,7,10
1517267731,15,7
1517271377,29,4
1517274918,2,11
1517278558,13,6
1517282156,4,30
1517285730,7,7
1517289368,3,12
1517292943,9,10
1517296515,9,13
1517300111,11,3
1517303735,6,10
1517307299,12,19
1517310904,24,8
1517314633,21,7
1517318097,6,11
1517321769,6,9
1517325338,3,6
1517328938,3,12
1517332546,6,13
1517336136,16,19
1517339713,17,4
1517343313,2,3
1517346924,7,4
1517350534,6,8
1517354135,3,18
1517357794,45,10
1517361345,14,16
1517364905,16,7
1517368496,6,21
1517372133,6,25
1517375691,7,8
1517379305,19,14
1517382884,25,6
1517386555,9,3
1517390158,5,5
1517393691,6,4
1517397284,5,6
1517400929,6,8
1517404509,4,6
1517408134,2,10
1517411706,5,19
1517415337,3,24
1517418935,29,20
1517422516,14,2
1517426100,7,6
1517429736,8,5
1517440529,2,27
1517444196,25,21
1517447740,14,8
1517451342,12,5
1517454942,12,25
1517458558,22,8
1517462137,10,7
1517465723,8,5
1517469324,13,2
1517472972,2,7
1517476502,9,13
1517480164,11,5
1517501741,15,16
1517505350,4,12
1517508928,10,7
1517512550,6,22
1517516125,25,12
1517519734,7,4
1517523312,7,2
1517545017,21,3
1517559341,11,15
1517562962,12,21
1517570152,8,18
1517573713,6,4
1517681749,37,44
1517707015,54,24
1517710465,16,9
1517750108,27,55
1517760907,6,21
1517772043,6,16
1517778921,38,18
1517786183,14,3
1517789746,21,4
1517804132,23,12
1517850891,16,26
1517854520,10,24
1517858091,18,16
1517872609,6,18
1517876165,25,10
1517879726,15,21
1517883422,27,25
1517890646,6,28
1517894131,8,1
1517901361,3,4
1517904973,3,5
1517908553,4,2
1517912111,12,14
1517922895,5,11
1517926496,6,16
1517930076,17,18
1517933715,7,14
1517937293,5,6
1517940867,9,7
1517944466,10,44
1517948072,10,14
1517951698,35,5
1517955280,14,8
1517962522,40,10
1517966085,10,15
1517969641,8,11
1517973285,6,36
1517976889,32,9
1517980458,8,15
1517991305,31,11
1517994975,8,7
1517998475,7,9
1518002129,8,7
