DateTime,AddedIPs,RemovedIPs
1514646627,0,1
1514653817,1,0
1514675414,1,0
1514679078,18,0
1514689851,0,23
1514766520,19,0
1514769701,1,0
1514776869,1,16
1514780692,1,0
1514784054,1,0
1514787568,1,2
1514791099,1,1
1514794677,1,0
1514798305,0,1
1514805515,1,2
1514808928,3,0
1514819940,1,2
1514823687,2,1
1514827483,0,1
1514830710,1,1
1514834405,1,1
1514838247,1,1
1514841523,1,1
1514845130,0,1
1514848803,1,1
1514852768,3,0
1514856020,1,1
1514859606,0,1
1514863210,0,13
1514866806,1,0
1514873936,1,1
1514877532,2,0
1514881178,1,0
1514884681,0,1
1514888039,0,2
1514891939,0,1
1514895515,1,1
1514899198,1,0
1514906466,1,1
1514910070,1,1
1514917156,1,1
1514924413,2,0
1514928037,1,1
1514935211,0,1
1514939157,24,2
1514942034,3,0
1514945881,1,1
1514949503,0,21
1514953028,1,0
1514960277,1,1
1514963795,1,1
1514967422,0,1
1514970777,2,2
1514974554,1,0
1514977840,1,1
1514981411,1,2
1514985389,1,1
1514989007,1,0
1514992302,2,1
1514996100,0,2
1514999561,0,1
1515003011,1,1
1515006560,1,0
1515010141,0,1
1515013789,1,0
1515017361,0,1
1515020978,2,0
1515024588,10,1
1515028195,0,1
1515031837,0,2
1515036043,1,22
1515046634,0,1
1515061219,1,0
1515064698,1,0
1515071933,0,1
1515075510,0,1
1515111846,16,0
1515115199,2,0
1515118739,1,0
1515122419,0,5
1515126003,0,1
1515133142,1,0
1515136682,1,0
1515143821,0,1
1515147023,1,1
1515150599,1,1
1515157819,1,1
1515161385,1,0
1515165060,0,1
1515168639,1,1
1515172240,1,0
1515176017,1,1
1515179623,0,1
1515183373,1,0
1515187106,1,1
1515190757,0,1
1515194325,1,1
1515198409,33,0
1515205100,1,1
1515208790,0,26
1515219543,1,1
1515226687,1,0
1515230254,1,1
1515233885,1,2
1515237569,0,1
1515241177,2,1
1515244336,1,1
1515255117,1,1
1515258945,1,1
1515262409,0,1
1515266729,1,0
1515270403,2,1
1515274014,1,2
1515277606,1,0
1515281180,0,1
1515285133,13,1
1515288305,0,1
1515295369,2,12
1515302582,1,0
1515306184,1,1
1515309748,0,1
1515316932,1,2
1515320211,1,0
1515323427,1,0
1515330744,0,1
1515334579,1,1
1515338214,1,0
1515345478,0,1
1515349167,1,1
1515352694,0,1
1515356319,1,1
1515359932,2,0
1515363564,1,0
1515371060,18,1
1515374452,2,1
1515378064,0,2
1515381689,0,16
1515457727,30,0
1515460941,8,0
1515464474,8,0
1515468062,5,31
1515471706,8,8
1515475283,6,8
1515478827,8,5
1515482122,4,5
1515485392,8,6
1515489013,8,7
1515492616,7,7
1515496208,7,8
1515499828,4,7
1515503427,8,8
1515507215,8,4
1515511302,5,8
1515514926,1,8
1515518527,8,1
1515522116,5,5
1515525756,0,8
1515529298,8,8
1515532868,8,4
1515536679,0,1
1515540307,8,8
1515544382,23,0
1515547342,8,0
1515550904,1,8
1515554457,8,21
1515558080,8,1
1515561665,8,8
1515565258,8,8
1515568902,8,8
1515572488,2,8
1515576091,2,8
1515579667,8,8
1515583294,8,2
1515586937,8,2
1515590460,3,3
1515594065,1,1
1515597714,2,2
1515601280,8,8
1515604898,1,8
1515608522,8,8
1515612078,4,1
1515615704,3,4
1515619298,6,1
1515622933,8,8
1515626528,1,1
1515630495,10,8
1515633734,8,2
1515637350,8,8
1515640915,8,23
1515644509,8,8
1515648119,4,8
1515650995,8,8
1515654575,8,8
1515658194,6,4
1515661787,2,2
1515665392,5,6
1515668976,3,8
1515672610,8,3
1515676197,2,5
1515679821,8,7
1515683400,8,8
1515686991,1,3
1515690614,0,8
1515694229,1,8
1515701398,8,0
1515705018,8,2
1515708616,8,0
1515712191,8,8
1515715873,18,8
1515719403,1,8
1515723013,1,8
1515726615,0,32
1515730195,1,2
1515733810,1,0
1515737398,0,1
1515740995,0,1
1515744608,1,0
1515748190,1,1
1515751949,0,1
1515759142,0,2
1515762708,0,52
1515942643,50,0
1515946267,1,0
1515957048,1,0
1515975023,25,0
1515978607,0,1
1515982231,1,1
1515985795,0,21
1516011136,0,1
1516018305,0,54
1516090188,57,0
1516104574,1,0
1516133404,0,1
1516136952,1,0
1516147843,11,1
1516151458,1,0
1516158635,0,17
1516169417,0,1
1516173040,1,0
1516183816,0,1
1516187426,1,0
1516209018,0,1
1516234261,17,0
1516241444,0,1
1516245054,0,25
1516288230,1,0
1516299034,0,1
1516313422,1,0
1516320691,13,0
1516324251,0,1
1516331438,0,13
1516378247,1,0
1516407089,7,0
1516417854,0,13
1516493493,23,0
1516497064,1,0
1516504280,1,19
1516515026,1,1
1516518623,1,0
1516522248,1,1
1516525813,1,1
1516529444,0,1
1516533009,1,1
1516536668,0,1
1516543858,1,1
1516547461,1,0
1516558254,1,1
1516565442,0,1
1516569028,1,0
1516572666,1,1
1516576233,1,0
1516579849,14,1
1516583450,1,1
1516587010,0,1
1516590620,1,12
1516594255,0,1
1516597848,1,1
1516601415,1,0
1516605049,0,1
1516608640,0,1
1516619431,2,1
1516623041,1,0
1516630241,1,0
1516633861,1,1
1516637426,0,1
1516644644,1,1
1516655438,0,1
1516662682,1,0
1516666273,23,0
1516669807,0,1
1516673425,1,1
1516677006,1,7
1516680610,0,1
1516684194,1,1
1516687800,0,1
1516691402,1,0
1516695001,1,0
1516698598,0,1
1516705804,1,1
1516709417,0,1
1516713008,1,0
1516716643,1,1
1516720184,1,0
1516723800,0,1
1516738212,1,1
1516741815,1,1
1516745431,1,0
1516748999,0,1
1516752616,13,0
1516756208,1,1
1516759798,0,1
1516763408,0,20
1516839059,15,0
1516842620,1,0
1516849820,0,16
1516885815,0,1
1516889411,1,0
1516925457,13,0
1516929052,1,0
1516932646,1,0
1516936224,2,21
1516939791,2,1
1516943453,1,0
1516946998,1,2
1516950611,1,1
1516954215,0,2
1516957837,2,0
1516961429,1,1
1516965042,0,2
1516968609,1,0
1516972212,1,1
1516975839,0,1
1516982999,1,1
1516986611,2,1
1516990221,3,2
1516993823,3,1
1516997421,1,2
1517001011,2,1
1517004601,1,1
1517008190,2,1
1517011851,17,1
1517015441,1,2
1517019016,2,3
1517022623,1,15
1517026247,1,2
1517029806,1,0
1517033406,1,0
1517037025,3,1
1517040650,3,3
1517044304,2,1
1517047821,0,1
1517051447,1,3
1517055019,2,3
1517058638,2,2
1517062208,1,1
1517065836,2,0
1517069384,1,1
1517073004,1,1
1517076616,2,2
1517080222,1,0
1517083842,1,1
1517087418,1,1
1517091017,1,1
1517098271,24,2
1517101873,5,1
1517105408,2,1
1517109023,1,17
1517112640,4,3
1517116235,4,2
1517119829,4,1
1517123419,3,4
1517127035,0,2
1517130624,3,6
1517134209,4,1
1517137836,0,3
1517141442,4,2
1517145006,0,2
1517148631,1,2
1517152207,2,1
1517155817,2,1
1517159435,2,2
1517163012,3,2
1517166627,2,1
1517170239,1,1
1517173832,0,2
1517177402,3,1
1517181012,1,3
1517184694,14,4
1517188298,1,0
1517191881,3,2
1517195438,1,18
1517199076,2,0
1517202666,1,3
1517206239,2,1
1517209877,2,1
1517213474,2,3
1517217086,2,1
1517220661,2,2
1517224252,2,2
1517227864,1,3
1517231462,1,2
1517235075,1,1
1517238659,1,2
1517242266,0,1
1517245886,2,1
1517249456,1,0
1517253062,0,1
1517256657,2,2
1517267459,2,1
1517271094,22,1
1517274646,1,1
1517278285,2,1
1517281876,2,19
1517285435,2,0
1517289063,0,2
1517292688,1,1
1517296262,2,1
1517303453,3,2
1517307033,1,3
1517310642,3,1
1517314359,3,2
1517317836,2,3
1517321482,1,3
1517325049,2,2
1517328664,2,1
1517332253,1,2
1517335847,1,0
1517339442,1,2
1517346644,0,1
1517350259,2,0
1517353874,0,1
1517357501,26,2
1517361057,2,1
1517364645,2,3
1517368239,0,19
1517375435,0,1
1517389861,1,0
1517397024,1,0
1517407854,1,1
1517418644,0,7
1517440262,1,0
1517443911,17,0
1517447469,1,0
1517451060,1,0
1517454654,0,10
1517458264,1,0
1517461879,0,1
1517469052,0,1
1517472658,1,0
1517476255,0,1
1517479861,1,0
1517501446,0,1
1517512269,0,4
1517544709,11,1
1517562651,0,20
1517681434,24,0
1517706728,13,0
1517710211,1,0
1517721092,1,24
1517724618,1,15
1517771593,0,1
1517775134,0,1
1517778633,1,0
1517785879,1,1
1517789462,15,0
1517793131,2,0
1517803851,1,1
1517850610,1,17
1517854263,2,1
1517857849,2,2
1517872339,1,2
1517875892,16,1
1517879460,1,2
1517883129,0,1
1517890374,1,24
1517893866,2,0
1517901083,2,1
