DateTime,Entries,UniqueIPs
1516987965,125,125
1516989891,122,122
1516991797,120,120
1516993948,117,117
1516995857,129,129
1516997803,133,133
1516999698,134,134
1517001625,132,132
1517003558,135,135
1517005477,138,138
1517008032,140,140
1517010053,143,143
1517012204,142,142
1517014122,143,143
1517016027,144,144
1517018199,136,136
1517020182,133,133
1517023010,135,135
1517024921,134,134
1517026867,137,137
1517028998,139,139
1517030898,142,142
1517032873,148,148
1517034738,147,147
1517036914,148,148
1517040766,150,150
1517042670,148,148
1517044579,149,149
1517046521,148,148
1517048478,147,147
1517050362,150,150
1517052258,149,149
1517054217,149,149
1517056121,149,149
1517059186,144,144
1517061147,142,142
1517062960,139,139
1517064864,136,136
1517067008,137,137
1517068878,135,135
1517070864,135,135
1517072900,135,135
1517074936,134,134
1517076739,133,133
1517078965,132,132
1517080835,126,126
1517082877,124,124
1517084683,121,121
1517086675,120,120
1517088498,119,119
1517090559,122,122
1517092367,119,119
1517094473,120,120
1517096441,120,120
1517098484,123,123
1517100513,121,121
1517102668,123,123
1517104578,122,122
1517106504,122,122
1517108473,121,121
1517110347,116,116
1517112287,118,118
1517114197,115,115
1517116104,113,113
1517118031,109,109
1517119967,106,106
1517121862,105,105
1517123894,105,105
1517125722,104,104
1517127645,105,105
1517129796,103,103
1517131695,103,103
1517134507,102,102
1517136495,102,102
1517138410,102,102
1517140328,104,104
1517142250,102,102
1517144167,103,103
1517146091,99,99
1517148069,100,100
1517150194,99,99
1517152344,99,99
1517154281,98,98
1517156447,100,100
1517158343,99,99
1517160278,99,99
1517162181,100,100
1517164118,98,98
1517166032,95,95
1517167968,91,91
1517169867,96,96
1517171799,93,93
1517173702,94,94
1517175624,95,95
1517177559,94,94
1517179466,92,92
1517181558,94,94
1517183545,91,91
1517185460,97,97
1517189297,94,94
1517192180,99,99
1517194105,103,103
1517196019,107,107
1517197936,108,108
1517199860,109,109
1517201787,107,107
1517203697,106,106
1517206594,113,113
1517208504,115,115
1517210453,116,116
1517214267,116,116
1517216305,116,116
1517218368,117,117
1517220930,118,118
1517222917,116,116
1517224819,120,120
1517226760,121,121
1517228685,130,130
1517230596,142,142
1517232522,144,144
1517234471,145,145
1517236357,153,153
1517238261,154,154
1517240199,160,160
1517242124,162,162
1517244042,167,167
1517245959,171,171
1517248119,171,171
1517250032,175,175
1517251953,179,179
1517254129,180,180
1517256236,177,177
1517258172,181,181
1517260110,184,184
1517262009,181,181
1517264194,180,180
1517266103,178,178
1517268701,176,176
1517270914,168,168
1517272822,170,170
1517274755,173,173
1517276679,171,171
1517278595,172,172
1517280495,169,169
1517282430,164,164
1517284362,165,165
1517286272,166,166
1517290100,168,168
1517292999,169,169
1517294928,166,166
1517296836,166,166
1517298755,168,168
1517300659,168,168
1517302601,168,168
1517304523,166,166
1517306339,165,165
1517310333,161,161
1517312207,157,157
1517314335,151,151
1517316264,138,138
1517318206,137,137
1517320107,138,138
1517322092,137,137
1517323956,136,136
1517325949,134,134
1517328155,132,132
1517330024,133,133
1517331863,132,132
1517333923,131,131
1517335725,132,132
1517337755,128,128
1517339558,133,133
1517341534,131,131
1517343383,131,131
1517345327,137,137
1517347222,135,135
1517349416,140,140
1517351300,140,140
1517353349,141,141
1517355407,142,142
1517357315,148,148
1517359230,148,148
1517361138,148,148
1517363072,147,147
1517365044,146,146
1517366907,152,152
1517368883,157,157
1517370765,156,156
1517372740,157,157
1517374595,161,161
1517376593,162,162
1517379387,163,163
1517381302,164,164
1517383254,186,186
1517385400,199,199
1517387299,205,205
1517390187,215,215
1517392341,235,235
1517394258,242,242
1517396077,257,257
1517398139,265,265
1517400058,275,275
1517401945,283,283
1517403886,285,285
1517405779,294,294
1517407737,303,303
1517409860,311,311
1517411806,319,319
1517413826,327,327
1517415644,337,337
1517417556,343,343
1517419682,354,354
1517422572,369,369
1517424760,372,372
1517426731,371,371
1517428593,378,378
1517430552,387,387
1517433401,386,386
1517435305,391,391
1517437218,391,391
1517439145,399,399
1517441376,405,405
1517444434,415,415
1517446357,426,426
1517448263,426,426
1517450182,434,434
1517452116,437,437
1517454057,433,433
1517455950,437,437
1517457870,440,440
1517459785,434,434
1517461708,435,435
1517463619,432,432
1517465578,425,425
1517467465,426,426
1517469395,426,426
1517471298,424,424
1517473247,419,419
1517475138,415,415
1517477089,414,414
1517478981,411,411
1517480930,410,410
1517482993,404,404
1517485234,402,402
1517487345,405,405
1517489332,410,410
1517491235,409,409
1517493154,399,399
1517495074,401,401
1517497003,400,400
1517498907,398,398
1517501048,395,395
1517503000,396,396
1517504905,391,391
1517506831,389,389
1517508744,378,378
1517510698,378,378
1517512586,378,378
1517514510,380,380
1517516424,382,382
1517518359,383,383
1517520264,387,387
1517522208,390,390
1517524107,389,389
1517526127,385,385
1517528190,385,385
1517530108,376,376
1517532018,371,371
1517533956,371,371
1517535866,377,377
1517537803,382,382
1517539717,379,379
1517541621,381,381
1517543552,375,375
1517545383,383,383
1517547372,388,388
1517549570,389,389
1517551470,394,394
1517553403,399,399
1517555304,402,402
1517557222,405,405
1517559169,406,406
1517561067,409,409
1517562987,414,414
1517565457,413,413
1517567297,412,412
1517569442,414,414
1517571640,413,413
1517573713,410,410
1517575691,405,405
1517577629,399,399
1517579529,402,402
1517581473,396,396
1517583372,396,396
1517585548,391,391
1517587476,389,389
1517589421,393,393
1517591332,400,400
1517593245,399,399
1517595164,402,402
1517597079,405,405
1517598984,408,408
1517600925,405,405
1517602829,405,405
1517604737,405,405
1517606679,401,401
1517608616,398,398
1517610529,399,399
1517612538,397,397
1517614924,397,397
1517616738,400,400
1517618665,402,402
1517620617,403,403
1517622509,403,403
1517624428,406,406
1517626365,408,408
1517628524,409,409
1517631539,408,408
1517633527,404,404
1517635712,404,404
1517637683,405,405
1517639548,397,397
1517641485,393,393
1517643386,393,393
1517645300,388,388
1517647219,394,394
1517649161,393,393
1517651069,389,389
1517652987,388,388
1517654929,385,385
1517657071,386,386
1517658982,386,386
