DateTime,Entries,UniqueIPs
1516874677,119,119
1516878508,120,120
1516880443,121,121
1516882358,121,121
1516884298,120,120
1516886191,118,118
1516888132,118,118
1516890026,116,116
1516891983,122,122
1516893861,120,120
1516895843,128,128
1516897704,128,128
1516899684,126,126
1516901547,125,125
1516903500,121,121
1516905381,121,121
1516907366,114,114
1516909223,114,114
1516911137,107,107
1516913078,104,104
1516915018,101,101
1516916896,99,99
1516918868,97,97
1516921702,97,97
1516923685,93,93
1516925533,90,90
1516927530,89,89
1516929641,88,88
1516931642,88,88
1516933478,90,90
1516935437,92,92
1516937293,91,91
1516939314,90,90
1516941160,89,89
1516943147,90,90
1516944974,89,89
1516946964,90,90
1516948838,88,88
1516954740,87,87
1516956732,86,86
1516960572,86,86
1516966187,84,84
1516968280,83,83
1516970431,83,83
1516972350,89,89
1516974275,89,89
1516976203,92,92
1516978119,92,92
1516980027,94,94
1516981937,93,93
1516983881,88,88
1516986088,89,89
1516987967,92,92
1516989893,90,90
1516991799,91,91
1516993949,89,89
1516995858,93,93
1516997805,96,96
1516999699,97,97
1517001626,95,95
1517003560,98,98
1517005478,101,101
1517008034,105,105
1517010054,108,108
1517012205,107,107
1517014124,109,109
1517016028,110,110
1517018201,105,105
1517020183,103,103
1517023011,102,102
1517024922,102,102
1517026868,105,105
1517028999,104,104
1517032877,103,103
1517036915,105,105
1517040767,107,107
1517046522,106,106
1517056122,106,106
1517059187,103,103
1517061149,102,102
1517062961,98,98
1517064866,94,94
1517067012,91,91
1517068885,89,89
1517070865,88,88
1517072902,88,88
1517074938,88,88
1517076740,86,86
1517078967,85,85
1517080836,85,85
1517082879,82,82
1517084685,77,77
1517086676,76,76
1517088499,74,74
1517090561,76,76
1517092368,73,73
1517094475,73,73
1517096443,71,71
1517098485,74,74
1517100514,71,71
1517102670,72,72
1517104580,71,71
1517106506,70,70
1517108479,69,69
1517110348,66,66
1517112288,67,67
1517114198,63,63
1517116106,65,65
1517118033,66,66
1517119968,67,67
1517121864,66,66
1517123895,65,65
1517125724,63,63
1517127646,64,64
1517131697,65,65
1517138412,66,66
1517140330,67,67
1517142251,65,65
1517146092,62,62
1517148078,63,63
1517150195,63,63
1517152345,63,63
1517154282,62,62
1517156448,65,65
1517158344,64,64
1517160279,64,64
1517162182,65,65
1517164119,64,64
1517166977,61,61
1517168898,61,61
1517170820,63,63
1517172738,65,65
1517174659,67,67
1517176580,64,64
1517178500,65,65
1517180454,62,62
1517182435,63,63
1517184527,61,61
1517186418,62,62
1517188341,61,61
1517190264,61,61
1517192181,65,65
1517194106,68,68
1517196020,72,72
1517197937,75,75
1517199861,76,76
1517201788,75,75
1517203698,73,73
1517205678,73,73
1517207541,74,74
1517213320,76,76
1517215222,75,75
1517217136,74,74
1517224821,76,76
1517226762,80,80
1517228687,85,85
1517230597,92,92
1517232524,94,94
1517234484,95,95
1517236358,103,103
1517238262,105,105
1517240200,112,112
1517242125,114,114
1517244043,118,118
1517245960,122,122
1517248120,121,121
1517250033,125,125
1517251955,129,129
1517254131,129,129
1517256238,126,126
1517258173,130,130
1517260112,133,133
1517262010,131,131
1517264195,131,131
1517266105,131,131
1517268711,129,129
1517270917,128,128
1517272823,129,129
1517274757,131,131
1517276680,129,129
1517278597,130,130
1517280497,128,128
1517282431,124,124
1517284363,125,125
1517286274,125,125
1517290102,126,126
1517292078,126,126
1517293967,126,126
1517299723,124,124
1517301630,125,125
1517310335,123,123
1517312208,118,118
1517314337,115,115
1517316266,110,110
1517318207,108,108
1517320109,107,107
1517322094,106,106
1517323958,103,103
1517325951,101,101
1517328157,99,99
1517330025,100,100
1517331864,99,99
1517333924,99,99
1517335726,99,99
1517337757,95,95
1517339559,101,101
1517341535,100,100
1517343384,99,99
1517345328,103,103
1517347223,101,101
1517349418,105,105
1517351302,105,105
1517353350,106,106
1517355408,107,107
1517357318,112,112
1517359232,112,112
1517361140,112,112
1517363074,111,111
1517365045,109,109
1517366908,113,113
1517368884,116,116
1517370767,115,115
1517372742,116,116
1517374596,120,120
1517376595,121,121
1517378479,122,122
1517380395,121,121
1517384321,122,122
1517386350,121,121
1517388279,122,122
1517392342,124,124
