DateTime,AddedIPs,RemovedIPs
1515545092,0,1
1515548931,0,1
1515552828,0,1
1515554667,2,0
1515560775,1,0
1515562613,1,0
1515564558,0,1
1515566448,1,0
1515572209,2,0
1515574101,1,0
1515576066,0,1
1515585890,0,3
1515587828,0,1
1515603519,0,1
1515607309,1,1
1515609261,0,2
1515615309,8,1
1515619102,46,0
1515621093,34,1
1515633665,1,0
1515635531,1,0
1515639380,1,0
1515641305,0,2
1515647565,1,2
1515651604,1,0
1515653569,1,1
1515657716,0,2
1515659680,1,1
1515663874,2,0
1515665871,1,0
1515679325,1,0
1515681227,1,0
1515701554,0,5
1515703465,0,3
1515705427,0,46
1515707561,1,33
1515709470,1,0
1515713500,1,0
1515723863,0,4
1515725792,0,1
1515727710,1,0
1515734996,0,1
1515738979,0,2
1515740919,1,0
1515744775,0,1
1515750538,1,2
1515752430,0,1
1515766128,0,1
1515768031,1,1
1515773701,2,0
1515775729,1,0
1515777636,3,0
1515779552,47,0
1515783874,13,0
1515793484,0,1
1515795417,2,1
1515800939,0,1
1515812941,0,1
1515820835,1,0
1515822856,1,0
1515826907,1,1
1515836677,0,1
1515840739,1,0
1515850369,1,0
1515854204,0,1
1515860214,0,2
1515862172,1,1
1515864020,1,3
1515865952,12,45
1515867881,13,0
1515870085,0,13
1515877986,37,0
1515879890,13,0
1515881869,0,2
1515889511,1,0
1515897261,1,0
1515901075,3,0
1515906773,0,1
1515908751,1,1
1515914697,0,1
1515920613,1,0
1515926229,0,1
1515928153,1,0
1515932095,1,0
1515936267,0,1
1515945890,1,0
1515947813,0,1
1515949737,0,1
1515951624,0,8
1515953564,1,19
1515962117,2,0
1515964097,2,32
1515966069,0,18
1515967886,1,0
1515969893,1,0
1515976583,0,1
1515980207,1,0
1515984272,0,1
1515986301,1,0
1515988126,0,3
1515991965,1,0
1515996079,0,1
1516003931,1,0
1516007799,0,1
1516013786,1,1
1516017518,1,0
1516019322,0,1
1516025477,1,0
1516031307,0,1
1516037324,17,0
1516039281,64,1
1516041164,21,0
1516043079,21,0
1516047390,0,2
1516049306,0,2
1516053150,1,1
1516055064,2,1
1516067079,0,1
1516070921,1,0
1516072825,0,1
1516074752,1,0
1516076676,1,0
1516078592,0,1
1516084357,2,0
1516090131,0,1
1516100169,0,1
1516102365,2,0
1516104293,0,1
1516110273,0,1
1516116048,2,0
1516120683,1,0
1516122531,0,1
1516124431,0,57
1516126371,0,23
1516128268,0,39
1516130188,0,3
1516134033,7,0
1516135965,82,0
1516137868,65,0
1516139788,0,1
1516141725,2,2
1516144585,5,0
1516146782,7,0
1516149189,5,0
1516157301,0,1
1516161399,1,1
1516163552,0,1
1516165735,1,0
1516171723,0,2
1516175558,1,0
1516177481,1,0
1516187937,0,2
1516195813,1,0
1516197745,47,0
1516199662,53,0
1516201538,21,2
1516203525,2,0
1516207652,0,1
1516209632,1,0
1516217324,29,0
1516219675,3,0
1516221768,0,28
1516223592,0,76
1516227667,0,2
1516229714,1,1
1516231701,1,0
1516233547,0,7
1516235384,0,2
1516247127,0,1
1516252954,0,1
1516260948,0,1
1516264735,0,1
1516280932,1,0
1516282817,0,18
1516284823,0,87
1516286656,0,70
1516288704,0,2
1516296996,0,1
1516303501,0,29
1516305550,0,7
1516309661,2,0
1516311897,123,0
1516314069,53,0
1516315959,13,1
1516318138,1,1
1516326042,1,0
1516328307,1,0
1516334847,1,0
1516364216,1,0
1516366084,0,1
1516385591,1,0
1516387467,1,0
1516389404,1,0
1516393217,2,0
1516397328,0,48
1516399311,0,102
1516401168,0,41
1516405225,0,1
1516410996,0,1
1516414891,0,1
1516420582,0,1
1516440505,1,0
1516449143,0,1
1516456881,1,0
1516462856,1,0
1516472444,0,1
1516474378,0,1
1516476285,0,1
1516478215,0,1
1516480138,0,1
1516487773,28,0
1516489732,71,0
1516491653,2,0
1516493559,50,0
1516499322,2,0
1516516633,1,0
1516522375,1,0
1516528114,1,1
1516543954,0,1
1516547781,0,1
1516574685,0,43
1516576627,0,55
1516578444,1,7
1516580412,0,46
1516584502,0,1
1516586512,1,1
1516592194,1,0
1516603709,0,1
1516609472,0,1
1516615279,0,1
1516619232,51,0
1516621210,50,0
1516648130,15,0
1516650046,1,0
1516658479,2,0
1516660365,3,0
1516666096,1,1
1516673795,0,1
1516677656,0,1
1516696821,1,0
1516704503,0,4
1516706432,0,97
1516714161,1,0
1516722035,1,0
1516730755,4,0
1516734765,0,15
1516736675,1,1
1516738643,27,0
1516740531,55,0
1516742489,18,0
1516744363,17,1
1516746302,61,3
1516748232,0,1
1516752765,0,1
1516783690,0,1
1516801285,0,1
1516806997,0,1
1516816929,0,3
1516818761,0,1
1516824528,2,5
1516826418,44,25
1516828389,0,62
1516830265,0,15
1516832245,0,63
1516836070,41,0
1516838245,1,0
1516847829,1,0
1516853590,1,0
1516866980,1,0
1516882358,33,0
1516884298,3,0
1516911138,4,7
1516913078,0,34
1516916897,9,0
1516921702,0,28
1516923686,0,10
1516935437,0,1
1516939314,0,1
1516943147,0,1
1516952895,0,1
1516968280,0,6
1516970431,0,47
1516997805,0,4
1516999700,33,0
1517001627,9,0
1517003560,0,9
1517016029,1,0
1517020184,1,0
1517029710,1,0
1517031721,1,0
1517035596,1,0
1517039466,1,0
1517047482,4,0
1517049402,22,0
1517059188,1,0
1517070865,1,0
1517084685,0,1
1517086677,4,26
1517088499,1,6
1517102670,0,1
1517106506,0,1
1517116106,0,1
1517119968,0,1
1517121864,0,1
1517125724,0,1
1517134509,0,34
1517144168,2,0
1517146093,0,1
1517148079,1,0
1517154283,1,0
1517158344,0,1
1517162182,1,0
1517171800,0,3
1517173702,0,2
1517175625,0,1
1517183548,9,0
1517185462,28,0
1517189299,1,0
1517196986,1,0
1517198907,1,0
1517202761,1,0
1517210454,1,0
1517212343,1,0
1517214268,1,0
1517222919,1,0
1517224822,1,0
1517228687,1,0
1517230598,0,2
1517234485,0,1
1517240200,0,1
1517248121,0,1
1517254131,1,0
1517260113,1,0
1517264196,1,0
1517268711,1,0
1517270917,0,26
1517272823,0,11
1517274757,0,1
1517282432,0,1
1517284364,0,1
1517288183,0,1
1517295862,0,1
1517297783,1,0
1517299724,0,1
1517301630,1,1
1517303662,1,0
1517308340,0,1
1517310335,0,1
1517314337,0,1
1517318208,2,0
1517322094,74,0
1517323958,13,0
1517328157,3,0
1517339560,0,1
1517347223,1,1
1517349418,0,1
1517351302,1,0
1517355409,0,1
1517366909,1,0
1517382326,1,0
1517384321,0,1
1517388279,0,1
1517390188,0,1
1517400119,1,0
1517403887,0,2
1517407739,0,60
1517409862,0,27
1517413828,0,3
1517423790,1,0
1517425705,2,0
1517427620,1,0
1517429566,1,0
1517433403,0,1
1517437220,1,1
1517439147,1,0
1517443296,1,0
1517445134,1,0
1517449222,2,0
1517451145,1,0
1517453064,0,1
1517456903,1,0
1517468476,1,1
1517476120,3,0
1517485706,28,1
1517487882,3,0
1517495708,17,0
1517499608,1,0
1517503480,1,0
1517511134,0,3
1517513074,1,1
1517516913,0,1
1517523147,1,1
1517525086,0,1
1517528904,0,1
1517530820,0,1
1517536570,0,3
1517543554,1,1
1517547374,1,0
1517549572,1,0
1517555305,0,1
1517562989,0,3
1517571642,3,7
1517573715,1,23
1517575693,0,1
1517579531,1,0
1517581475,0,17
1517585550,0,1
1517587478,3,0
1517589423,0,1
1517591334,1,0
1517598986,3,1
1517608618,1,0
1517610531,0,1
1517614926,2,0
1517620619,1,0
1517626367,1,0
1517628526,0,1
1517632366,2,0
1517634287,0,1
1517636199,0,1
1517653701,3,0
1517655686,1,0
1517657565,0,3
1517659497,0,1
1517661627,1,0
1517665479,11,1
1517667387,53,0
1517669300,3,0
1517673400,0,2
1517675406,0,1
1517677289,0,1
1517683005,1,0
1517684936,0,3
1517696217,0,1
1517702205,0,2
1517706075,0,1
1517712023,0,1
1517717797,0,2
1517729303,1,0
1517734349,1,0
1517736261,1,0
1517740100,0,3
1517742072,0,1
1517743936,1,0
1517749702,0,1
1517751620,0,7
1517753790,0,57
1517755700,0,3
1517761465,1,0
1517770032,1,1
1517779912,1,0
1517787631,1,0
1517797966,1,0
1517805646,3,0
1517818848,0,1
1517820732,0,1
1517822659,0,1
1517824884,1,0
1517830833,0,1
1517832690,45,0
1517834663,2,0
1517836582,24,0
1517838512,1,0
1517840425,2,0
1517844264,1,0
1517846179,1,0
1517848349,1,1
1517854571,0,1
1517858652,1,0
1517866572,0,1
1517876106,5,0
1517883761,0,1
1517891390,1,3
1517893309,1,0
1517895406,1,0
1517900924,1,0
1517902887,3,0
1517904759,1,0
1517906708,1,0
1517910652,0,1
1517919327,0,48
1517921556,0,9
1517923475,38,15
1517925379,0,3
1517927301,2,0
1517929288,4,0
1517931144,0,2
1517934981,0,1
1517941009,1,0
1517944833,0,1
1517948680,1,0
1517963078,0,5
1517974822,1,0
1517978657,0,2
1517980573,0,1
1517988253,0,1
1517990190,0,3
1517992356,0,1
1517994294,0,1
1517996361,2,0
