DateTime,Entries,UniqueIPs
1516624839,20,20
1516626736,21,21
1516628794,21,21
1516630607,20,20
1516632529,21,21
1516634419,21,21
1516636364,20,20
1516638528,19,19
1516642367,17,17
1516644269,18,18
1516646175,21,21
1516648130,23,23
1516650047,22,22
1516651966,20,20
1516653875,22,22
1516656610,21,21
1516660365,21,21
1516664085,22,22
1516666096,24,24
1516671873,25,25
1516673795,26,26
1516675705,25,25
1516677656,26,26
1516685304,29,29
1516687300,28,28
1516691069,29,29
1516694900,31,31
1516696822,33,33
1516698752,32,32
1516702583,32,32
1516706432,36,36
1516712173,35,35
1516714161,36,36
1516716133,35,35
1516720109,33,33
1516730755,35,35
1516732843,35,35
1516734766,33,33
1516736675,35,35
1516738643,35,35
1516740531,35,35
1516742489,37,37
1516746303,38,38
1516748232,37,37
1516750745,36,36
1516752765,34,34
1516758517,34,34
1516760418,33,33
1516762331,31,31
1516764278,30,30
1516768144,31,31
1516770100,30,30
1516771968,28,28
1516773898,29,29
1516775806,30,30
1516777725,31,31
1516781752,30,30
1516783691,28,28
1516785700,27,27
1516787556,29,29
1516789492,28,28
1516791398,26,26
1516797414,28,28
1516801285,29,29
1516808935,30,30
1516812785,29,29
1516814929,28,28
1516816929,27,27
1516818761,25,25
1516820690,25,25
1516824528,23,23
1516826419,26,26
1516828389,24,24
1516830266,25,25
1516834050,24,24
1516836071,25,25
1516838245,25,25
1516840110,26,26
1516842122,28,28
1516845905,27,27
1516847830,28,28
1516853590,28,28
1516859308,27,27
1516861255,26,26
1516863145,25,25
1516865097,24,24
1516870887,25,25
1516872803,24,24
1516874678,24,24
1516876620,23,23
1516880443,24,24
1516884299,24,24
1516888133,23,23
1516891984,24,24
1516895844,23,23
1516901547,22,22
1516905381,21,21
1516907367,20,20
1516913079,20,20
1516915019,19,19
1516916897,19,19
1516918869,22,22
1516921703,24,24
1516923686,23,23
1516925534,25,25
1516927531,25,25
1516929641,27,27
1516933479,27,27
1516935437,26,26
1516937294,27,27
1516943147,28,28
1516944975,29,29
1516946965,32,32
1516948839,33,33
1516950859,32,32
1516960572,32,32
1516966188,32,32
1516972350,33,33
1516974276,34,34
1516978120,32,32
1516983882,41,41
1516991800,40,40
1516993950,43,43
1516995859,45,45
1516997806,47,47
1516999700,48,48
1517001627,48,48
1517003560,53,53
1517005479,52,52
1517008035,51,51
1517010055,52,52
1517012206,51,51
1517014124,50,50
1517016029,46,46
1517020184,46,46
1517024053,46,46
1517027885,47,47
1517029710,46,46
1517031727,45,45
1517033561,43,43
1517035596,42,42
1517039466,42,42
1517045536,42,42
1517051322,42,42
1517059188,40,40
1517064866,41,41
1517067013,42,42
1517070866,39,39
1517074938,41,41
1517078967,47,47
1517080837,46,46
1517082879,43,43
1517086677,43,43
1517088500,39,39
1517094475,38,38
1517096443,39,39
1517098486,40,40
1517100515,41,41
1517102670,43,43
1517106507,42,42
1517108480,43,43
1517110349,43,43
1517112288,45,45
1517116107,47,47
1517121864,48,48
1517125725,47,47
1517129798,46,46
1517131697,45,45
1517134509,46,46
1517138413,45,45
1517140331,46,46
1517142252,46,46
1517144169,45,45
1517146093,47,47
1517148079,48,48
1517150195,49,49
1517152345,48,48
1517160279,49,49
1517162183,50,50
1517164120,42,42
1517166088,40,40
1517167969,41,41
1517169869,42,42
1517171801,42,42
1517175625,43,43
1517179467,46,46
1517181560,48,48
1517183548,51,51
1517185462,49,49
1517187395,50,50
1517189299,53,53
1517191284,55,55
1517195074,56,56
1517196986,56,56
1517198907,57,57
1517200818,58,58
1517202762,57,57
1517204665,58,58
1517206595,59,59
1517208505,59,59
1517220932,58,58
1517222920,60,60
1517226762,61,61
1517232525,58,58
1517234486,61,61
1517236359,61,61
1517238263,60,60
1517242126,59,59
1517245961,58,58
1517250034,56,56
1517251956,57,57
1517254131,59,59
1517256238,59,59
1517258174,58,58
1517260113,59,59
1517262011,61,61
1517264196,60,60
1517266106,57,57
1517268712,55,55
1517270917,54,54
1517272824,59,59
1517274757,57,57
1517276681,57,57
1517278598,54,54
