DateTime,Entries,UniqueIPs
1516939315,1264,1264
1516941161,1255,1255
1516943148,1255,1255
1516944975,1316,1316
1516946965,1320,1320
1516948839,974,974
1516950860,976,976
1516952895,975,975
1516954741,975,975
1516956733,976,976
1516958653,1111,1111
1516962376,1112,1112
1516964193,1112,1112
1516966188,1112,1112
1516968281,1110,1110
1516970432,1111,1111
1516974277,1112,1112
1516976204,1111,1111
1516978120,1112,1112
1516980028,1119,1119
1516981937,1120,1120
1516983882,1124,1124
1516986089,1080,1080
1516987969,971,971
1516989893,930,930
1516991800,932,932
1516993950,935,935
1516995859,937,937
1516997806,938,938
1516999700,940,940
1517001627,938,938
1517003561,770,770
1517005479,773,773
1517008035,773,773
1517010055,773,773
1517012206,774,774
1517016029,773,773
1517018201,773,773
1517020184,775,775
1517022083,776,776
1517024053,777,777
1517027885,778,778
1517029710,778,778
1517031728,722,722
1517033562,728,728
1517035597,712,712
1517037618,712,712
1517041471,715,715
1517043686,715,715
1517045537,723,723
1517047482,724,724
1517049402,723,723
1517051322,725,725
1517053219,726,726
1517055250,725,725
1517057057,884,884
1517059188,1532,1532
1517061150,1799,1799
1517062962,1799,1799
1517064867,1800,1800
1517067014,1795,1795
1517068886,1793,1793
1517070866,1670,1670
1517072903,2515,2515
1517074939,2517,2517
1517076741,2533,2533
1517078968,2529,2529
1517080837,2529,2529
1517082879,2529,2529
1517084686,2526,2526
1517086677,2534,2534
1517088500,2552,2552
1517092369,2535,2535
1517094476,2539,2539
1517096445,2542,2542
1517098486,2542,2542
1517100515,2570,2570
1517102671,2571,2571
1517104581,2570,2570
1517106507,2571,2571
1517108480,2571,2571
1517110349,2809,2809
1517114199,2815,2815
1517116107,2814,2814
1517118034,2944,2944
1517119969,2936,2936
1517121865,3368,3368
1517125725,3369,3369
1517127647,3369,3369
1517129798,3366,3366
1517131698,3374,3374
1517134510,3376,3376
1517136497,3371,3371
1517138413,3372,3372
1517140331,3491,3491
1517142252,3492,3492
1517144169,3356,3356
1517146093,2627,2627
1517148080,2463,2463
1517150196,2545,2545
1517152345,2546,2546
1517154283,2545,2545
1517156449,2545,2545
1517158345,1879,1879
1517160280,1688,1688
1517162183,1684,1684
1517164120,1683,1683
1517166091,1685,1685
1517167970,1685,1685
1517169869,1686,1686
1517171801,1837,1837
1517173703,1836,1836
1517175626,1828,1828
1517177561,1843,1843
1517179468,1846,1846
1517181561,1841,1841
1517183549,1845,1845
1517185462,1847,1847
1517187395,1847,1847
1517189299,1847,1847
1517191284,1846,1846
1517193154,1844,1844
1517195074,1827,1827
1517196987,1627,1627
1517200818,1622,1622
1517202762,1621,1621
1517204666,1543,1543
1517206596,1544,1544
1517208505,1546,1546
1517210454,1571,1571
1517212344,1570,1570
1517214268,1571,1571
1517216306,1594,1594
1517218369,1461,1461
1517220932,1460,1460
1517222920,1459,1459
1517224822,1458,1458
1517226763,1328,1328
1517228688,1327,1327
1517230598,1317,1317
1517232525,1320,1320
1517234486,1319,1319
1517236359,1280,1280
1517238263,1280,1280
1517240201,1283,1283
1517242126,1282,1282
1517244044,1284,1284
1517245961,1282,1282
1517248121,1381,1381
1517250034,1777,1777
1517251956,1776,1776
1517254132,1774,1774
1517256239,1774,1774
1517258174,1629,1629
1517262011,1623,1623
1517264196,1615,1615
1517266106,1628,1628
1517268712,1627,1627
1517270919,1627,1627
1517272824,1609,1609
1517274758,1608,1608
1517276681,1610,1610
1517278598,1611,1611
1517280498,1610,1610
1517282432,1610,1610
1517284364,1615,1615
1517286275,1616,1616
1517290103,1611,1611
1517292079,1598,1598
1517293968,1597,1597
1517295863,1588,1588
1517297784,1587,1587
1517299724,1589,1589
1517301631,1589,1589
1517303663,1566,1566
1517306341,1568,1568
1517308341,1569,1569
1517310336,1688,1688
1517312209,1688,1688
1517314338,1699,1699
1517318208,1697,1697
1517320110,1714,1714
1517322095,1712,1712
1517323959,1711,1711
1517325952,1784,1784
1517328158,1781,1781
1517330026,1778,1778
1517333925,1777,1777
1517335727,1779,1779
1517337758,1689,1689
1517339560,1663,1663
1517341536,1661,1661
1517345329,1662,1662
1517347224,1644,1644
1517349419,1646,1646
1517351303,1656,1656
1517353351,1630,1630
1517355409,1351,1351
1517357319,1351,1351
1517359233,1349,1349
1517361140,1350,1350
1517363074,1351,1351
1517365046,1353,1353
1517366909,1356,1356
1517368885,1357,1357
1517370767,1353,1353
1517372742,1359,1359
1517374597,1360,1360
1517376596,1309,1309
1517378483,1300,1300
1517380396,1074,1074
1517382327,864,864
1517384322,816,816
1517386351,815,815
1517388280,815,815
1517390189,842,842
1517392343,846,846
1517394260,845,845
1517396079,659,659
1517398141,796,796
1517400121,786,786
1517401948,864,864
1517403888,1305,1305
1517407740,1308,1308
1517409862,1308,1308
1517411808,1309,1309
1517415647,1310,1310
1517417559,1312,1312
1517419685,1313,1313
1517421679,1716,1716
1517423791,1643,1643
1517425705,1665,1665
1517427621,1665,1665
1517429567,1666,1666
1517431470,1782,1782
1517433403,1867,1867
1517435307,1836,1836
1517437221,1814,1814
1517439148,1813,1813
1517441378,1812,1812
1517443299,1810,1810
1517445136,1812,1812
1517447079,1811,1811
1517449222,1811,1811
1517451146,1994,1994
1517453065,1992,1992
1517454997,1991,1991
1517456904,2000,2000
1517458829,1994,1994
1517460743,2245,2245
1517462665,2245,2245
1517464598,2262,2262
1517466499,3548,3548
1517468477,4212,4212
1517470351,4213,4213
1517472288,4225,4225
1517474184,4483,4483
1517476120,4482,4482
1517478019,4483,4483
1517479943,4484,4484
1517481862,4489,4489
1517483794,4487,4487
1517485707,4790,4790
1517487882,4781,4781
1517489775,4248,4248
1517491724,4226,4226
1517493681,4244,4244
1517495709,4246,4246
1517497709,4246,4246
1517501571,4246,4246
1517503480,4246,4246
1517505409,4247,4247
1517507292,3957,3957
1517509237,3958,3958
1517511134,3936,3936
1517513074,3934,3934
1517515000,3935,3935
1517516914,3936,3936
1517518976,3779,3779
1517521224,3805,3805
1517523148,3806,3806
1517525086,3807,3807
1517528905,3856,3856
1517530820,3855,3855
1517532730,3855,3855
1517534663,3859,3859
1517536570,3674,3674
1517538511,3672,3672
1517541488,3672,3672
1517543555,3664,3664
1517545386,3666,3666
1517547375,3412,3412
1517549572,3400,3400
1517551473,3390,3390
1517553405,1417,1417
1517555306,1420,1420
1517557224,1401,1401
1517559171,1675,1675
1517561069,1644,1644
1517562990,1643,1643
1517567300,1623,1623
1517569445,1622,1622
1517571642,1619,1619
1517573715,1621,1621
1517575694,1608,1608
1517577632,1609,1609
1517579531,1598,1598
1517581475,1597,1597
1517583374,1598,1598
1517585551,1599,1599
1517587478,1600,1600
1517589424,1598,1598
1517591335,1601,1601
1517593247,1602,1602
1517595166,2410,2410
1517597082,2409,2409
1517598987,2410,2410
1517600928,2412,2412
1517602832,2422,2422
1517604739,2424,2424
1517606682,2385,2385
1517608619,2385,2385
1517610532,2385,2385
1517612549,2450,2450
1517614927,2392,2392
1517616740,2392,2392
1517618669,2393,2393
1517620619,2404,2404
1517622512,2407,2407
1517624431,2409,2409
1517626368,2410,2410
1517630482,2408,2408
1517632366,2409,2409
1517634288,2410,2410
1517636199,2399,2399
1517638125,2380,2380
1517640041,2384,2384
1517641939,2383,2383
1517643886,2385,2385
1517645792,2106,2106
1517647721,1842,1842
1517649624,1838,1838
1517651562,1847,1847
1517653701,1936,1936
1517657566,1937,1937
1517659498,1936,1936
1517661627,1933,1933
1517663551,1936,1936
1517665479,1936,1936
1517667388,2051,2051
1517669301,1889,1889
1517671492,1888,1888
1517673401,1887,1887
1517675409,1889,1889
1517677296,1890,1890
1517679165,1886,1886
1517681071,1880,1880
1517683006,1881,1881
1517684937,1881,1881
1517687325,1880,1880
1517689224,1879,1879
1517691167,1876,1876
1517693062,1875,1875
1517695282,1890,1890
1517697157,1471,1471
1517699480,1063,1063
1517701699,1351,1351
1517703649,1418,1418
1517705730,1417,1417
1517707956,1434,1434
1517710136,1432,1432
1517712024,1434,1434
1517713962,1435,1435
1517715875,1436,1436
1517717798,1434,1434
1517719717,1434,1434
1517721641,1438,1438
1517723558,1510,1510
1517725469,1509,1509
1517727385,1712,1712
1517729304,1712,1712
1517732172,1712,1712
1517734350,1711,1711
1517736262,1719,1719
1517738178,1713,1713
1517740101,1633,1633
1517743937,1633,1633
1517745890,1635,1635
1517747781,1638,1638
1517749703,1638,1638
1517751621,1636,1636
1517753790,1528,1528
1517755700,1642,1642
1517759548,1641,1641
1517761466,1642,1642
1517763373,1641,1641
1517765310,1647,1647
1517770033,1650,1650
1517772160,1651,1651
1517776037,1652,1652
1517778087,1654,1654
1517779912,1647,1647
1517781857,1649,1649
1517783663,1660,1660
1517785466,1660,1660
1517787632,1629,1629
1517789809,1280,1280
1517793891,1283,1283
1517797967,1280,1280
1517801807,1278,1278
1517803735,1279,1279
1517805647,1278,1278
1517807566,1421,1421
1517809467,1396,1396
1517811417,1681,1681
1517813332,1726,1726
1517815469,1785,1785
1517818849,1783,1783
1517820732,1785,1785
1517824885,1784,1784
1517826997,1781,1781
1517828902,1784,1784
1517830834,1789,1789
1517832691,1803,1803
1517834663,1785,1785
1517836582,1784,1784
1517838513,1784,1784
1517840426,1785,1785
1517842341,1799,1799
1517844264,1794,1794
1517848350,1793,1793
1517852748,1786,1786
1517854571,1784,1784
1517856642,1785,1785
