DateTime,Entries,UniqueIPs
1517008035,2909,2909
1517010056,2910,2910
1517012206,2910,2910
1517014125,2912,2912
1517016029,2911,2911
1517018202,2911,2911
1517020185,2914,2914
1517022086,2913,2913
1517024054,2088,2088
1517025866,865,865
1517027886,865,865
1517029711,865,865
1517031728,811,811
1517033562,816,816
1517035597,798,798
1517037619,798,798
1517039466,797,797
1517041472,802,802
1517043687,807,807
1517045537,814,814
1517047483,812,812
1517049403,812,812
1517051322,816,816
1517053219,818,818
1517055250,821,821
1517057058,975,975
1517059188,1623,1623
1517061150,1888,1888
1517062963,1889,1889
1517064867,1888,1888
1517067014,1881,1881
1517068886,1876,1876
1517070866,1752,1752
1517072903,2597,2597
1517074939,2598,2598
1517076741,2612,2612
1517078968,2609,2609
1517080837,2605,2605
1517082880,2602,2602
1517084686,2598,2598
1517086678,2594,2594
1517088500,2610,2610
1517090562,2609,2609
1517092369,2591,2591
1517094476,2592,2592
1517096445,2593,2593
1517098487,2594,2594
1517100516,2621,2621
1517102671,2620,2620
1517104581,2618,2618
1517106507,2620,2620
1517108481,2622,2622
1517110349,2855,2855
1517112289,2856,2856
1517114200,2862,2862
1517116108,2861,2861
1517118034,2991,2991
1517119969,2982,2982
1517121865,3414,3414
1517123896,3412,3412
1517125725,3413,3413
1517127647,3412,3412
1517129799,3405,3405
1517131698,3416,3416
1517134510,3418,3418
1517136498,3409,3409
1517138414,3410,3410
1517140332,3528,3528
1517142253,3527,3527
1517144169,3392,3392
1517146094,2663,2663
1517148080,2501,2501
1517150196,2583,2583
1517152346,2585,2585
1517154284,2583,2583
1517156449,2589,2589
1517158345,1922,1922
1517160280,1730,1730
1517162183,1725,1725
1517164121,1725,1725
1517166092,1725,1725
1517167970,1725,1725
1517169869,1727,1727
1517171801,1878,1878
1517173704,1877,1877
1517175626,1870,1870
1517177561,1884,1884
1517179468,1887,1887
1517181561,1886,1886
1517183550,1895,1895
1517185463,1901,1901
1517187396,1900,1900
1517189300,1902,1902
1517191285,1902,1902
1517193154,1898,1898
1517195075,1880,1880
1517196987,1682,1682
1517198908,1681,1681
1517200819,1678,1678
1517202762,1677,1677
1517204666,1600,1600
1517206596,1601,1601
1517208506,1605,1605
1517210455,1629,1629
1517212344,1630,1630
1517214269,1630,1630
1517216307,1652,1652
1517218370,1517,1517
1517220933,1515,1515
1517222920,1513,1513
1517224823,1512,1512
1517226763,1381,1381
1517228688,1382,1382
1517230599,1370,1370
1517232525,1373,1373
1517234487,1373,1373
1517236360,1333,1333
1517238264,1332,1332
1517240201,1336,1336
1517242127,1330,1330
1517244044,1332,1332
1517245962,1331,1331
1517248122,1430,1430
1517250035,1825,1825
1517251957,1825,1825
1517254132,1825,1825
1517256239,1825,1825
1517258175,1681,1681
1517262012,1674,1674
1517264197,1666,1666
1517266106,1678,1678
1517268713,1672,1672
1517270919,1668,1668
1517272825,1649,1649
1517274758,1648,1648
1517276682,1648,1648
1517278598,1649,1649
1517280498,1649,1649
1517282433,1647,1647
1517284365,1652,1652
1517286275,1654,1654
1517288184,1652,1652
1517290103,1651,1651
1517292079,1640,1640
1517293969,1637,1637
1517295864,1628,1628
1517297784,1625,1625
1517299725,1628,1628
1517301631,1628,1628
1517303663,1604,1604
1517306342,1608,1608
1517308341,1612,1612
1517310336,1732,1732
1517312210,1731,1731
1517314338,1742,1742
1517316267,1743,1743
1517318209,1742,1742
1517320111,1758,1758
1517322095,1762,1762
1517323959,1761,1761
1517325952,1835,1835
1517328158,1834,1834
1517330026,1832,1832
1517331865,1829,1829
1517333925,1829,1829
1517335727,1831,1831
1517337758,1740,1740
1517339561,1714,1714
1517341536,1716,1716
1517343385,1720,1720
1517345329,1720,1720
1517347224,1701,1701
1517349419,1704,1704
1517351303,1716,1716
1517353352,1690,1690
1517355410,1411,1411
1517357319,1414,1414
1517359233,1412,1412
1517361141,1414,1414
1517363075,1416,1416
1517365046,1419,1419
1517366910,1423,1423
1517368885,1423,1423
1517370768,1419,1419
1517372743,1424,1424
1517374597,1428,1428
1517376596,1374,1374
1517378483,1366,1366
1517380396,1139,1139
1517382327,929,929
1517384322,882,882
1517386352,880,880
1517388280,883,883
1517390189,911,911
1517392343,914,914
1517394260,914,914
1517396080,725,725
1517398142,860,860
1517400122,851,851
1517401948,926,926
