DateTime,Entries,UniqueIPs
1517018202,1346,1346
1517020185,1347,1347
1517022087,1378,1378
1517024054,1391,1391
1517025867,1415,1415
1517027886,1456,1456
1517029711,1492,1492
1517031728,1533,1533
1517033562,1556,1556
1517035597,1564,1564
1517037619,1576,1576
1517039467,1581,1581
1517041472,1607,1607
1517043687,1646,1646
1517045537,1677,1677
1517047483,1686,1686
1517049403,1719,1719
1517051323,1696,1696
1517053219,1701,1701
1517055251,1704,1704
1517057058,1671,1671
1517059189,1674,1674
1517061150,1677,1677
1517062964,1647,1647
1517064867,1657,1657
1517067015,1669,1669
1517068887,1655,1655
1517070867,1666,1666
1517072904,1664,1664
1517074939,1680,1680
1517076741,1679,1679
1517078968,1689,1689
1517080838,1701,1701
1517082880,1690,1690
1517084686,1690,1690
1517086678,1710,1710
1517088501,1713,1713
1517090562,1712,1712
1517092369,1740,1740
1517094476,1726,1726
1517096445,1731,1731
1517098487,1696,1696
1517100516,1711,1711
1517102671,1698,1698
1517104582,1681,1681
1517106508,1681,1681
1517108481,1660,1660
1517110350,1659,1659
1517112289,1654,1654
1517114200,1639,1639
1517116108,1632,1632
1517118034,1646,1646
1517119970,1620,1620
1517121866,1656,1656
1517123897,1652,1652
1517125726,1681,1681
1517127648,1646,1646
1517129799,1626,1626
1517131699,1627,1627
1517134510,1612,1612
1517136498,1611,1611
1517138414,1620,1620
1517140332,1634,1634
1517142253,1625,1625
1517144170,1636,1636
1517146094,1633,1633
1517148080,1620,1620
1517150196,1645,1645
1517152346,1639,1639
1517154284,1642,1642
1517156450,1657,1657
1517158346,1643,1643
1517160280,1627,1627
1517162184,1631,1631
1517164121,1633,1633
1517166092,1644,1644
1517167970,1630,1630
1517169870,1668,1668
1517171802,1663,1663
1517173704,1638,1638
1517175626,1625,1625
1517177562,1636,1636
1517179468,1643,1643
1517181561,1646,1646
1517183550,1641,1641
1517185463,1661,1661
1517187396,1659,1659
1517189300,1664,1664
1517191285,1677,1677
1517193155,1712,1712
1517195075,1711,1711
1517196987,1746,1746
1517198909,1744,1744
1517200819,1743,1743
1517202763,1753,1753
1517204666,1728,1728
1517206597,1720,1720
1517208506,1697,1697
1517210455,1713,1713
1517212345,1697,1697
1517214269,1686,1686
1517216307,1693,1693
1517218370,1662,1662
1517220933,1693,1693
1517222921,1674,1674
1517224823,1655,1655
1517226763,1640,1640
1517228688,1646,1646
1517230599,1648,1648
1517232526,1640,1640
1517234487,1632,1632
1517236360,1590,1590
1517238264,1567,1567
1517240202,1548,1548
1517242127,1528,1528
1517244044,1505,1505
1517245962,1503,1503
1517248122,1512,1512
1517250035,1481,1481
1517251957,1464,1464
1517254133,1412,1412
1517256240,1331,1331
1517258175,1320,1320
1517260114,1288,1288
1517262012,1278,1278
1517264197,1257,1257
1517266107,1246,1246
1517268713,1292,1292
1517270919,1302,1302
1517272825,1274,1274
1517274759,1285,1285
1517276682,1312,1312
1517278599,1301,1301
1517280499,1291,1291
1517282433,1296,1296
1517284365,1290,1290
1517286275,1309,1309
1517288185,1329,1329
1517290104,1314,1314
1517292080,1320,1320
1517293969,1302,1302
1517295864,1310,1310
1517297785,1295,1295
1517299725,1308,1308
1517301632,1309,1309
1517303663,1313,1313
1517306343,1287,1287
1517308342,1290,1290
1517310337,1292,1292
1517312210,1291,1291
1517314338,1274,1274
1517316267,1255,1255
1517318209,1239,1239
1517320111,1226,1226
1517322096,1217,1217
1517323959,1207,1207
1517325952,1209,1209
1517328159,1210,1210
1517330027,1199,1199
1517331866,1196,1196
1517333926,1146,1146
1517335727,1141,1141
1517337759,1106,1106
1517339561,1099,1099
1517341537,1085,1085
1517343386,1071,1071
1517345330,1028,1028
1517347225,1002,1002
1517349420,978,978
1517351303,939,939
1517353352,902,902
1517355410,881,881
1517357320,876,876
1517359233,878,878
1517361141,877,877
1517363075,852,852
1517365046,853,853
1517366910,849,849
1517368886,840,840
1517370768,812,812
1517372744,784,784
1517374598,757,757
1517376597,736,736
1517378484,725,725
1517380397,714,714
1517382328,696,696
1517384322,671,671
1517386352,640,640
