DateTime,AddedIPs,RemovedIPs
1513428496,0,1
1513436491,1,0
1513452270,1,0
1513456122,0,1
1513459973,1,0
1513463789,1,0
1513490926,0,1
1513510128,1,0
1513517779,1,0
1513521648,1,0
1513523568,0,1
1513531233,1,0
1513539150,0,1
1513547084,0,1
1513549247,0,1
1513568676,1,0
1513597965,0,1
1513603967,0,1
1513607797,0,1
1513617426,0,1
1513623722,2,0
1513648975,1,0
1513654690,0,1
1513656510,1,0
1513675987,1,0
1513696377,1,0
1513708132,0,1
1513710099,0,1
1513736292,0,1
1513743928,0,1
1513762069,0,1
1513778206,1,0
1513782102,0,1
1513793668,1,0
1513802480,1,0
1513852613,1,0
1513862225,1,0
1513864380,1,1
1513868487,1,0
1513876354,1,0
1513878310,1,1
1513880186,1,0
1513882356,1,0
1513888676,0,1
1513895532,1,0
1513897348,1,0
1513908288,1,0
1513912376,1,0
1513914277,1,0
1513916196,1,0
1513918591,1,0
1513920500,1,0
1513924376,2,0
1513928194,1,0
1513930378,1,0
1513932272,1,0
1513934386,1,0
1513936391,1,0
1513938215,1,1
1513940296,1,0
1513942385,1,0
1513944295,1,0
1513950041,2,2
1513952026,1,0
1513953869,1,1
1513959682,1,0
1513961558,0,1
1513963543,1,1
1513965414,1,0
1513967381,0,1
1513969287,0,1
1513982750,0,1
1513984863,1,1
1513992985,0,1
1513997063,1,1
1514000914,0,1
1514002826,0,1
1514004742,1,1
1514006681,0,1
1514010503,0,1
1514012486,1,1
1514014362,0,1
1514016268,0,1
1514018189,0,1
1514020102,0,1
1514022022,0,1
1514025867,0,1
1514027795,1,1
1514029713,0,1
1514031886,0,1
1514035713,0,1
1514037685,0,2
1514039557,0,1
1514043391,1,0
1514047222,0,1
1514049148,0,1
1514051067,0,1
1514070183,0,1
1514077971,1,0
1514084209,1,1
1514091889,0,1
1514099819,0,1
1514116004,0,1
1514121689,2,0
1514129394,0,1
1514149507,1,0
1514163239,0,1
1514165074,1,0
1514170904,0,1
1514196284,1,0
1514208606,0,2
1514210572,1,0
1514230840,1,0
1514234685,0,1
1514249922,0,1
1514253742,1,0
1514255579,1,0
1514283102,0,1
1514300547,1,0
1514302368,1,0
1514304361,1,0
1514317015,0,1
1514328737,1,0
1514340147,0,1
1514342196,0,1
1514354496,0,1
1514364025,1,0
1514380114,2,0
1514388285,0,2
1514390210,1,0
1514392120,0,1
1514405819,1,0
1514415410,0,1
1514435324,1,0
1514449229,0,1
1514465450,0,2
1514473708,1,0
1514475563,0,1
1514483529,1,0
1514493411,0,1
1514503087,1,0
1514514785,1,0
1514520520,0,1
1514539918,1,0
1514555529,1,0
1514559691,0,1
1514569983,0,1
1514583626,1,0
1514589991,1,1
1514600127,0,1
1514603946,1,0
1514625409,0,1
1514636859,1,0
1514642914,0,1
1514669868,1,1
1514675809,0,1
1514685881,1,0
1514688123,1,0
1514691885,0,1
1514723568,0,1
1514727407,1,0
1514754526,0,1
1514758969,1,0
1514773233,1,1
1514775517,0,1
1514815009,1,1
1514845969,0,1
1514857945,1,0
1514859875,1,1
1514883685,1,0
1514900435,0,1
1514908376,1,0
1514912572,1,0
1514914782,1,0
1514937161,1,0
1514939077,1,0
1514942923,1,0
1514944928,0,2
1514958537,1,0
1514962363,1,0
1514964288,1,0
1514970083,0,1
1514991398,1,0
1514995287,0,1
1514999101,0,1
1515001012,0,1
1515012769,1,0
1515133540,31,8
1515135390,1,1
1515137383,0,1
1515139312,1,0
1515141182,1,2
1515143175,2,0
1515147017,1,0
1515148951,2,0
1515152788,1,2
1515154759,2,0
1515158914,1,2
1515160884,2,1
1515162775,0,1
1515164695,2,1
1515166608,0,1
1515168849,1,0
1515170666,1,1
1515174755,0,2
1515178597,0,1
1515180522,0,1
1515182484,2,1
1515184404,0,1
1515188250,1,1
1515190126,0,1
1515194277,2,1
1515196621,0,1
1515200514,0,2
1515202365,1,0
1515204286,1,2
1515208115,0,1
1515210027,1,1
1515214140,0,1
1515216044,0,1
1515221800,1,1
1515225698,0,1
1515227808,763,0
1515230099,3944,0
1515233900,1,0
1515247606,1,0
1515249603,2,0
1515255321,1,0
1515257495,1,0
1515261290,1,0
1515266969,1,0
1515272823,1,0
1515278507,1,0
1515288214,2,0
1515294152,1,0
1515304358,1,0
1515313793,0,431
1515315723,0,2247
1515317755,0,2054
1515319590,0,1
1515331117,1,0
1515335000,1,1
1515336953,0,2
1515342637,0,1
1515344510,0,1
1515348431,0,1
1515352611,0,1
1515358371,0,1
1515364864,0,1
1515370915,1,0
1515374823,2,2
1515380671,0,1
1515390735,0,1
1515417699,0,1
1515421589,0,1
1515425668,1,0
1515454488,1,0
1515456506,0,1
1515462480,0,2
1515478425,3,0
1515505245,1,0
1515511248,1,1
1515513199,1,0
1515541061,0,1
1515548936,1,0
1515564562,1,1
1515566452,0,2
1515592119,0,1
1515595820,1,0
1515597845,0,1
1515599661,0,1
1515615312,1,0
1515635536,0,1
1515643290,1,0
1515651607,0,1
1515669855,1,0
1515681231,0,1
1515689573,1,0
1515693907,1,0
1515695808,1,0
1515701558,0,1
1515723867,1,0
1515729681,0,1
1515755327,1,1
1515770907,1,0
1515774772,0,1
1515778582,1,0
1515780538,0,1
1515782675,0,1
1515809076,0,1
1515818905,1,0
1515832613,1,0
1515840742,0,1
1515848489,1,0
1515852289,1,0
1515858300,0,1
1515862176,1,0
1515865956,0,1
1515870089,1,0
1515874195,1,0
1515889516,1,0
1515897264,1,0
1515904958,1812,1
1515906777,2958,0
1515936272,0,1
1515938198,1,0
1515953568,1,0
1515984276,1,0
1515990167,1,496
1515991968,0,2227
1515994014,0,2054
1516025481,0,1
1516027457,1,0
1516037328,1,0
1516039285,1,0
1516041169,0,1
1516067083,2,0
1516070925,0,1
1516072830,1,0
1516076681,0,1
1516088215,1,0
1516106197,1,0
1516112216,0,1
1516117969,1,0
1516122535,0,1
1516124435,1,0
1516126376,0,1
1516143723,1,0
1516153991,0,2
1516159703,0,1
1516163557,1,0
1516171728,1,0
1516173642,0,1
1516177486,1,0
1516179689,1,0
1516193881,0,1
1516201544,1,0
1516203531,1,0
1516205397,0,1
1516211573,1,1
1516231705,0,1
1516244950,1,0
1516249030,1,1
1516258934,0,1
1516262910,0,1
1516264741,0,1
1516274929,1,0
1516284829,1,0
1516288709,0,1
1516290748,0,1
1516297002,0,1
1516332520,0,1
1516337093,0,1
1516356999,1,0
1516360824,0,1
1516372848,0,1
1516391018,1,0
1516399324,1,0
1516412915,1,0
1516428547,1,0
1516436456,672,0
1516438373,2989,0
1516440510,1142,0
1516456890,2,0
1516459028,1,0
1516472449,1,0
1516487779,1,0
1516501235,1,0
1516524274,0,5
1516526218,0,1
1516542035,0,656
1516543958,0,2488
1516545877,0,1661
1516549708,1,0
1516559301,0,1
1516570820,1,0
1516574688,0,1
1516586515,1,0
1516588348,0,1
1516628797,1,0
1516636366,1,1
1516642370,1,0
1516644272,1,0
1516656614,0,1
1516671876,0,1
1516681476,1,0
1516691071,1,0
1516716137,0,1
1516718216,1,0
1516723963,1,1
1516730758,0,2
1516744368,1,0
1516768148,0,1
1516770103,1,0
1516777729,0,1
1516787559,1,0
1516805115,0,1
1516810852,0,1
1516814933,1,0
1516816933,1,0
1516830269,0,1
1516855473,0,1
1516872808,0,1
1516891987,1,0
1516899688,0,1
1516903504,0,1
1516921708,1,0
1516943150,1,0
1516972354,1,0
1516978125,1,0
1516980031,0,1
1517008037,0,1
1517029714,1,1
1517059194,0,1
1517064871,0,1
1517084689,1,0
1517100519,1,0
1517116110,1,1
1517121867,1,0
1517160282,1,0
1517167972,1,0
1517171804,1,1
1517181564,1,0
1517187398,1,1
1517202766,0,1
1517208509,0,1
1517228691,1,0
1517240205,1,0
1517248125,1,1
1517254136,0,1
1517258178,0,1
1517268715,0,1
1517272828,0,1
1517276684,1,0
1517282435,1,0
1517314341,1,0
1517316270,0,1
1517325956,0,1
1517331869,1,0
1517333929,0,1
1517353355,1,0
1517363078,0,1
1517368888,0,1
1517380399,1,0
1517382330,1,0
1517401950,1,1
1517411810,1,0
1517419688,0,1
1517427623,1,0
1517441381,0,1
1517466502,0,1
1517468482,0,1
1517478023,1,0
1517487887,0,1
1517497712,0,1
1517507295,1,0
1517513077,0,1
1517541490,1,0
1517562992,0,1
1517581481,1,0
1517583379,1,0
1517589428,1,0
1517593251,0,1
1517604742,1,0
1517628531,1,1
1517630486,1,0
1517641943,1,0
1517645795,1,0
1517653704,1,0
1517669304,0,2
1517675412,0,1
1517691172,0,1
1517710141,1,0
1517713966,1,1
1517715880,0,1
1517725471,2,0
1517727388,0,1
1517731285,0,1
1517741335,0,1
1517756677,1,0
1517762530,1,0
1517796088,0,1
1517799878,0,1
1517811421,0,2
1517813336,1,0
1517843554,0,1
1517845479,1,0
1517849304,0,1
1517857471,1,0
1517884606,1,0
1517898022,0,1
1517901875,1,0
1517916394,1,0
1517930208,1,0
1517932289,0,1
1517944356,0,1
1517950115,1,0
1517971235,0,1
1517988507,1,1
1518002525,0,1
