DateTime,Entries,UniqueIPs
1517005482,296,296
1517008038,297,297
1517010058,298,298
1517012209,292,292
1517014128,289,289
1517016033,286,286
1517018205,273,273
1517020187,269,269
1517022089,268,268
1517024057,260,260
1517025870,257,257
1517027890,265,265
1517029715,264,264
1517031735,262,262
1517033566,259,259
1517035601,262,262
1517037622,262,262
1517039470,256,256
1517041475,248,248
1517043690,245,245
1517045542,242,242
1517047487,254,254
1517049407,256,256
1517051327,255,255
1517053224,189,189
1517055255,181,181
1517057062,181,181
1517059194,181,181
1517061154,173,173
1517062968,170,170
1517064872,169,169
1517067023,169,169
1517068891,169,169
1517070871,169,169
1517072910,169,169
1517074944,167,167
1517076746,168,168
1517078973,164,164
1517080842,166,166
1517082884,168,168
1517084689,166,166
1517086681,167,167
1517088504,165,165
1517090565,165,165
1517092373,164,164
1517094480,162,162
1517096452,160,160
1517098490,163,163
1517100520,162,162
1517102674,158,158
1517104584,163,163
1517106511,164,164
1517108485,165,165
1517110353,166,166
1517112292,168,168
1517114202,161,161
1517116110,161,161
1517118036,161,161
1517119972,158,158
1517121868,161,161
1517123900,156,156
1517125728,153,153
1517127651,151,151
1517129803,148,148
1517131702,147,147
1517134513,133,133
1517136501,133,133
1517138417,130,130
1517140335,130,130
1517142256,131,131
1517144172,129,129
1517146098,129,129
1517148084,130,130
1517150201,129,129
1517152350,129,129
1517154287,127,127
1517156452,126,126
1517158348,129,129
1517160283,129,129
1517162186,128,128
1517164124,131,131
1517166095,134,134
1517167973,135,135
1517169873,134,134
1517171805,135,135
1517173708,134,134
1517175630,135,135
1517177565,135,135
1517179472,136,136
1517181564,137,137
1517183556,178,178
1517185466,178,178
1517187399,177,177
1517189303,181,181
1517191288,183,183
1517193157,182,182
1517195077,179,179
1517196991,178,178
1517198912,183,183
1517200822,188,188
1517202766,187,187
1517204670,187,187
1517206601,187,187
1517208510,186,186
1517210459,192,192
1517212349,194,194
1517214273,196,196
1517216311,197,197
1517218374,197,197
1517220938,196,196
1517222925,193,193
1517224828,193,193
1517226769,192,192
1517228692,189,189
1517230603,195,195
1517232530,198,198
1517234491,197,197
1517236366,196,196
1517238268,197,197
1517240206,199,199
1517242131,200,200
1517244048,199,199
1517245966,198,198
