DateTime,Entries,UniqueIPs
1517020188,1540,1540
1517022089,1570,1570
1517024058,1584,1584
1517025870,1609,1609
1517027890,1651,1651
1517029715,1691,1691
1517031735,1738,1738
1517033566,1763,1763
1517035601,1769,1769
1517037622,1781,1781
1517039470,1791,1791
1517041475,1814,1814
1517043690,1854,1854
1517045543,1887,1887
1517047487,1895,1895
1517049408,1926,1926
1517051328,1905,1905
1517053224,1911,1911
1517055255,1914,1914
1517057062,1878,1878
1517059195,1878,1878
1517061155,1879,1879
1517062968,1843,1843
1517064872,1846,1846
1517067023,1858,1858
1517068891,1843,1843
1517070871,1853,1853
1517072910,1850,1850
1517074946,1860,1860
1517076747,1857,1857
1517078973,1863,1863
1517080843,1873,1873
1517082885,1860,1860
1517084690,1857,1857
1517086682,1878,1878
1517088504,1879,1879
1517090566,1880,1880
1517092373,1904,1904
1517094480,1895,1895
1517096452,1900,1900
1517098491,1871,1871
1517100520,1882,1882
1517102675,1871,1871
1517104585,1853,1853
1517106511,1854,1854
1517108486,1832,1832
1517110353,1826,1826
1517112292,1823,1823
1517114203,1804,1804
1517116111,1795,1795
1517118037,1808,1808
1517119973,1781,1781
1517121868,1817,1817
1517123900,1812,1812
1517125729,1839,1839
1517127652,1800,1800
1517129804,1777,1777
1517131702,1777,1777
1517134514,1762,1762
1517136501,1759,1759
1517138417,1766,1766
1517140335,1783,1783
1517142256,1768,1768
1517144173,1780,1780
1517146098,1772,1772
1517148085,1760,1760
1517150201,1784,1784
1517152350,1780,1780
1517154287,1777,1777
1517156453,1795,1795
1517158349,1780,1780
1517160283,1765,1765
1517162188,1770,1770
1517164124,1774,1774
1517166095,1784,1784
1517167974,1763,1763
1517169873,1806,1806
1517171805,1797,1797
1517173709,1773,1773
1517175631,1760,1760
1517177565,1768,1768
1517179472,1773,1773
1517181565,1781,1781
1517183556,1774,1774
1517185466,1797,1797
1517187399,1796,1796
1517189304,1797,1797
1517191288,1816,1816
1517193158,1852,1852
1517195078,1856,1856
1517196991,1893,1893
1517198912,1890,1890
1517200823,1890,1890
1517202767,1902,1902
1517204670,1876,1876
1517206601,1873,1873
1517208510,1852,1852
1517210460,1872,1872
1517212349,1856,1856
1517214274,1849,1849
1517216312,1857,1857
1517218374,1827,1827
1517220939,1860,1860
1517222925,1841,1841
1517224829,1825,1825
1517226769,1811,1811
1517228693,1827,1827
1517230603,1840,1840
1517232530,1835,1835
1517234492,1829,1829
1517236366,1795,1795
1517238269,1773,1773
1517240207,1760,1760
1517242132,1744,1744
1517244048,1730,1730
1517245966,1731,1731
1517248127,1740,1740
1517250039,1711,1711
1517251961,1697,1697
1517254138,1648,1648
1517256244,1564,1564
1517258179,1557,1557
1517260119,1527,1527
1517262017,1515,1515
1517264201,1494,1494
1517266110,1483,1483
1517268716,1525,1525
1517270927,1528,1528
1517272829,1503,1503
1517274762,1516,1516
1517276685,1541,1541
1517278602,1528,1528
1517280502,1517,1517
1517282437,1518,1518
1517284369,1514,1514
1517286279,1531,1531
1517288188,1549,1549
