DateTime,AddedIPs,RemovedIPs
1517020190,34,43
1517022090,41,38
1517024058,30,63
1517025872,27,30
1517027891,42,94
1517029716,43,29
1517031736,46,40
1517033567,47,54
1517035602,46,75
1517037623,49,62
1517039471,44,79
1517041476,61,73
1517043691,62,72
1517045544,36,63
1517047487,42,80
1517049408,80,37
1517051328,56,58
1517053225,1169,48
1517055256,49,49
1517057063,53,47
1517059195,62,55
1517061155,58,56
1517062969,61,49
1517064873,61,50
1517067024,65,64
1517068892,67,53
1517070872,54,56
1517072911,58,55
1517074947,50,46
1517076747,54,44
1517078974,73,53
1517080843,45,41
1517082885,51,42
1517084690,34,52
1517086682,40,75
1517088505,42,43
1517090566,61,46
1517092373,44,59
1517094481,43,35
1517096453,62,35
1517098492,65,43
1517100521,53,56
1517102675,42,33
1517104585,56,28
1517106512,48,36
1517108486,55,42
1517110354,48,32
1517112293,51,26
1517114203,52,38
1517116112,39,45
1517118038,51,40
1517119973,55,55
1517121869,50,45
1517123901,39,47
1517125729,130,47
1517127652,350,56
1517129805,294,56
1517131703,357,39
1517134515,403,91
1517136502,445,52
1517138418,395,717
1517140336,454,517
1517142257,367,54
1517144174,498,48
1517146099,351,63
1517148086,574,59
1517150202,438,67
1517152351,522,63
1517154288,429,70
1517156453,498,71
1517158349,392,49
1517160284,416,45
1517162190,344,60
1517164125,488,60
1517166096,340,61
1517167975,406,35
1517169874,299,46
1517171806,293,43
1517173710,295,42
1517175631,380,54
1517177566,315,34
1517179473,277,29
1517181566,290,49
1517183557,404,41
1517185467,272,59
1517187400,89,31
1517189304,203,42
1517191289,214,36
1517193159,215,44
1517195079,294,45
1517196992,302,49
1517198913,231,41
1517200824,285,38
1517202768,292,45
1517204671,271,42
1517206602,332,43
1517208511,325,50
1517210461,268,31
1517212350,358,144
1517214275,293,243
1517216313,307,250
1517218375,388,324
1517220940,468,350
1517222926,312,432
1517224830,318,358
1517226770,394,436
1517228694,251,361
1517230604,308,480
1517232531,384,337
1517234493,283,545
1517236367,324,359
1517238270,387,497
1517240208,290,329
1517242133,298,523
1517244049,342,345
1517245967,155,484
1517248128,350,365
1517250040,200,446
1517251962,260,344
1517254139,206,446
1517256246,148,350
1517258180,265,285
1517260120,97,298
1517262018,99,369
1517264202,315,346
1517266111,144,275
1517268717,148,420
1517270928,239,447
1517272830,155,120
1517274763,135,94
1517276687,291,311
