DateTime,Entries,UniqueIPs
1517020190,2471,2471
1517022090,2474,2474
1517024058,2441,2441
1517025872,2438,2438
1517027891,2386,2386
1517029716,2400,2400
1517031736,2406,2406
1517033567,2399,2399
1517035602,2370,2370
1517037623,2357,2357
1517039471,2322,2322
1517041476,2310,2310
1517043691,2300,2300
1517045544,2273,2273
1517047487,2235,2235
1517049408,2278,2278
1517051328,2276,2276
1517053225,3397,3397
1517055256,3397,3397
1517057063,3403,3403
1517059195,3410,3410
1517061155,3412,3412
1517062969,3424,3424
1517064873,3435,3435
1517067024,3436,3436
1517068892,3450,3450
1517070872,3448,3448
1517072911,3451,3451
1517074947,3455,3455
1517076747,3465,3465
1517078974,3485,3485
1517080843,3489,3489
1517082885,3498,3498
1517084690,3480,3480
1517086682,3445,3445
1517088505,3444,3444
1517090566,3459,3459
1517092373,3444,3444
1517094481,3452,3452
1517096453,3479,3479
1517098492,3501,3501
1517100521,3498,3498
1517102675,3507,3507
1517104585,3535,3535
1517106512,3547,3547
1517108486,3560,3560
1517110354,3576,3576
1517112293,3601,3601
1517114203,3615,3615
1517116112,3609,3609
1517118038,3620,3620
1517119973,3620,3620
1517121869,3625,3625
1517123901,3617,3617
1517125729,3700,3700
1517127652,3994,3994
1517129805,4232,4232
1517131703,4550,4550
1517134515,4862,4862
1517136502,5255,5255
1517138418,4933,4933
1517140336,4870,4870
1517142257,5183,5183
1517144174,5633,5633
1517146099,5921,5921
1517148086,6436,6436
1517150202,6807,6807
1517152351,7266,7266
1517154288,7625,7625
1517156453,8052,8052
1517158349,8395,8395
1517160284,8766,8766
1517162190,9050,9050
1517164125,9478,9478
1517166096,9757,9757
1517167975,10128,10128
1517169874,10381,10381
1517171806,10631,10631
1517173710,10884,10884
1517175631,11210,11210
1517177566,11491,11491
1517179473,11739,11739
1517181566,11980,11980
1517183557,12343,12343
1517185467,12556,12556
1517187400,12614,12614
1517189304,12775,12775
1517191289,12953,12953
1517193159,13124,13124
1517195079,13373,13373
1517196992,13626,13626
1517198913,13816,13816
1517200824,14063,14063
1517202768,14310,14310
1517204671,14539,14539
1517206602,14828,14828
1517208511,15103,15103
1517210461,15340,15340
1517212350,15554,15554
1517214275,15604,15604
1517216313,15661,15661
1517218375,15725,15725
1517220940,15843,15843
1517222926,15723,15723
1517224830,15683,15683
1517226770,15641,15641
1517228694,15531,15531
1517230604,15359,15359
1517232531,15406,15406
1517234493,15144,15144
1517236367,15109,15109
1517238270,14999,14999
1517240208,14960,14960
1517242133,14735,14735
1517244049,14732,14732
1517245967,14403,14403
1517248128,14388,14388
1517250040,14142,14142
1517251962,14058,14058
1517254139,13818,13818
1517256246,13616,13616
1517258180,13596,13596
1517260120,13395,13395
1517262018,13125,13125
1517264202,13094,13094
1517266111,12963,12963
1517268717,12691,12691
1517270928,12483,12483
1517272830,12518,12518
1517274763,12559,12559
1517276687,12539,12539
1517278603,12559,12559
1517280503,12572,12572
1517282438,12562,12562
1517284369,12515,12515
1517286280,12586,12586
1517288189,12567,12567
1517290108,12553,12553
1517292084,12675,12675
1517293973,12667,12667
1517295868,12658,12658
1517297789,12601,12601
1517299729,12674,12674
1517301636,12689,12689
1517303667,12610,12610
1517306347,12596,12596
1517308347,12609,12609
1517310342,12554,12554
1517312216,12502,12502
1517314344,12496,12496
1517316273,12472,12472
1517318215,12367,12367
1517320117,12422,12422
1517322102,12444,12444
1517323965,12301,12301
1517325959,12328,12328
1517328165,12271,12271
1517330033,12158,12158
1517331871,12219,12219
1517333931,12105,12105
1517335732,12111,12111
1517337763,11982,11982
1517339566,12058,12058
1517341542,12065,12065
1517343390,11973,11973
1517345335,12013,12013
1517347231,12037,12037
1517349424,11970,11970
1517351308,11904,11904
1517353357,11944,11944
1517355415,11943,11943
1517357325,11809,11809
1517359238,11877,11877
1517361147,11871,11871
1517363080,11718,11718
1517365050,11779,11779
1517366913,11595,11595
1517368892,11687,11687
1517370771,11619,11619
1517372748,11505,11505
1517374601,11573,11573
1517376626,11561,11561
1517378488,11433,11433
1517380401,11379,11379
1517382332,11378,11378
1517384327,11401,11401
1517386357,11392,11392
1517388285,11316,11316
1517390194,11342,11342
1517392347,11350,11350
1517394265,11343,11343
1517396084,11345,11345
1517398146,11373,11373
1517400126,11383,11383
1517401952,11399,11399
1517403893,11426,11426
1517405786,11448,11448
1517407747,11440,11440
1517409868,11432,11432
1517411812,11518,11518
1517413833,11579,11579
1517415651,11617,11617
1517417563,11718,11718
1517419690,11691,11691
1517421683,11797,11797
1517423798,11822,11822
1517425710,11871,11871
1517427625,11882,11882
1517429571,11932,11932
1517431474,11894,11894
1517433409,11883,11883
1517435312,11966,11966
1517437226,11974,11974
1517439154,11861,11861
1517441383,11881,11881
1517443304,12020,12020
1517445144,11936,11936
1517447083,11886,11886
1517449228,12041,12041
1517451150,11904,11904
1517453069,12093,12093
1517455002,11964,11964
1517456910,12063,12063
1517458835,12054,12054
1517460749,12029,12029
1517462671,12110,12110
1517464604,12211,12211
1517466505,12195,12195
1517468484,12203,12203
1517470357,12278,12278
1517472293,12319,12319
1517474190,12305,12305
1517476128,12345,12345
1517478025,12300,12300
1517479949,12189,12189
1517481869,12158,12158
1517483801,11993,11993
1517485714,11915,11915
1517487890,11849,11849
1517489782,11714,11714
1517491729,11538,11538
1517493686,11575,11575
1517495714,11350,11350
1517497715,11276,11276
1517499613,11180,11180
1517501576,11058,11058
1517503485,10969,10969
1517505415,10865,10865
1517507297,10800,10800
1517509242,10687,10687
1517511141,10749,10749
1517513079,10589,10589
1517515006,10595,10595
1517516919,10556,10556
1517518981,10519,10519
1517521229,10454,10454
1517523152,10416,10416
1517525091,10391,10391
1517526992,10394,10394
1517528909,10341,10341
1517530825,10298,10298
1517532734,10316,10316
1517534670,10283,10283
1517536577,10223,10223
1517538515,10252,10252
1517540484,10112,10112
1517542594,10092,10092
1517544507,10032,10032
1517546436,9896,9896
1517548338,9785,9785
1517550273,9688,9688
1517552181,9550,9550
1517554123,9423,9423
1517556010,9271,9271
1517557929,9168,9168
1517559874,9125,9125
1517561770,8962,8962
1517563949,8869,8869
1517566019,8948,8948
1517568059,8888,8888
1517570206,8922,8922
1517572106,8897,8897
1517574039,8931,8931
1517575948,8877,8877
1517577864,8966,8966
1517579781,8882,8882
1517581701,8921,8921
1517583680,8832,8832
1517585556,8885,8885
1517587484,8857,8857
1517589430,8860,8860
1517591340,8914,8914
1517593253,8855,8855
1517595172,8860,8860
1517597087,8819,8819
1517598991,8863,8863
1517600933,8897,8897
1517602837,8764,8764
1517604745,8808,8808
1517606687,8800,8800
1517608624,8780,8780
1517610537,8753,8753
1517612554,8748,8748
1517614932,8699,8699
1517616745,8675,8675
1517618673,8676,8676
1517620625,8602,8602
1517622518,8583,8583
1517624436,8463,8463
1517626373,8443,8443
1517628533,8295,8295
1517630488,8283,8283
1517632372,8221,8221
1517634294,8222,8222
1517636206,8174,8174
1517638131,8096,8096
1517640046,8100,8100
1517641945,8093,8093
1517643891,7989,7989
1517645797,7875,7875
1517647726,7791,7791
1517649630,7684,7684
1517651567,7589,7589
1517653706,7505,7505
1517655693,7469,7469
1517657571,7329,7329
1517659503,7218,7218
1517661632,7091,7091
1517663556,7009,7009
1517665483,6903,6903
1517667392,6849,6849
1517669307,6738,6738
1517671496,6642,6642
1517673405,6566,6566
1517675415,6484,6484
1517677301,6401,6401
1517679169,6364,6364
1517681075,6298,6298
1517683010,6232,6232
1517684942,6140,6140
1517687330,6051,6051
1517689229,5997,5997
1517691174,5944,5944
1517693068,5924,5924
1517695290,5824,5824
1517697163,5816,5816
1517699487,5741,5741
1517701705,5706,5706
1517703656,5654,5654
1517705737,5596,5596
1517707963,5536,5536
1517710143,5511,5511
1517712030,5460,5460
1517713968,5433,5433
1517715882,5389,5389
1517717802,5351,5351
1517719721,5287,5287
1517721645,5229,5229
1517723562,5167,5167
1517725473,5061,5061
1517727389,4974,4974
1517729309,4944,4944
1517731287,4885,4885
1517733396,4808,4808
1517735307,4747,4747
1517737233,4669,4669
1517739166,4647,4647
1517741337,4765,4765
1517743227,4900,4900
1517745165,5040,5040
1517747082,5165,5165
1517748998,5309,5309
1517750924,5430,5430
1517752884,5532,5532
1517754749,5654,5654
1517756679,5816,5816
1517758588,5959,5959
1517760541,6125,6125
1517762532,6244,6244
1517764623,6402,6402
1517766510,6535,6535
1517770038,6810,6810
1517772165,6980,6980
1517773969,7094,7094
1517776042,7281,7281
1517778091,7405,7405
1517779917,7556,7556
1517781861,7727,7727
1517783668,7870,7870
1517785470,8014,8014
1517787636,8193,8193
1517789813,8342,8342
1517791973,8321,8321
1517793899,8324,8324
1517796090,8273,8273
1517797972,8244,8244
1517799880,8214,8214
1517801812,8188,8188
1517803739,8152,8152
1517805651,8104,8104
1517807572,8065,8065
1517809473,8006,8006
1517811423,7978,7978
1517813338,7948,7948
1517815475,7893,7893
1517817685,7845,7845
1517819563,7809,7809
1517821471,7763,7763
1517823418,7774,7774
1517825331,7715,7715
1517827491,7498,7498
1517829850,7231,7231
1517831773,7052,7052
1517833695,6857,6857
1517835678,6652,6652
1517837485,6477,6477
1517839459,6257,6257
1517841394,6073,6073
1517843556,5857,5857
1517845481,5621,5621
1517847395,5417,5417
1517849306,5212,5212
1517851227,5028,5028
1517853385,4812,4812
1517855552,4613,4613
1517857474,4443,4443
1517859408,4252,4252
1517861538,4060,4060
1517863490,3871,3871
1517865386,3704,3704
1517867324,3532,3532
1517869227,3351,3351
1517871174,3168,3168
1517873072,3003,3003
1517875003,2855,2855
1517876919,2797,2797
1517878927,2815,2815
1517880762,2790,2790
1517882670,2822,2822
1517884607,2828,2828
1517886531,2824,2824
1517888419,2830,2830
1517890363,2837,2837
1517892259,2841,2841
1517894207,2848,2848
1517896129,2845,2845
1517898023,2848,2848
1517899959,2820,2820
1517901877,2827,2827
1517903798,2837,2837
1517905694,2842,2842
1517907708,2841,2841
1517909539,2837,2837
1517911481,2857,2857
1517913375,2886,2886
1517916396,2907,2907
1517918253,2861,2861
1517920109,2848,2848
1517922207,2838,2838
1517924182,2857,2857
1517926003,2856,2856
1517928012,2856,2856
1517930210,2836,2836
1517932291,2825,2825
1517934521,2811,2811
1517936491,2806,2806
1517938398,2807,2807
1517940270,2799,2799
1517942439,2790,2790
1517944358,2800,2800
1517946272,2815,2815
1517948191,2826,2826
1517950117,2818,2818
1517952027,2827,2827
1517953953,2815,2815
1517955867,2808,2808
1517957825,2784,2784
1517959705,2796,2796
1517961699,2772,2772
1517963546,2766,2766
1517965474,2772,2772
1517967390,2773,2773
1517969328,2774,2774
1517971237,2776,2776
1517973147,2761,2761
1517975085,2776,2776
1517976990,2774,2774
1517978906,2759,2759
1517980837,2737,2737
1517982769,2737,2737
1517984667,2746,2746
1517986605,2755,2755
1517988509,2735,2735
1517990481,2755,2755
1517992358,2773,2773
1517994297,2791,2791
1517996364,2788,2788
1517998609,2770,2770
1518000527,2781,2781
1518002527,2779,2779
