DateTime,Entries,UniqueIPs
1513463791,14,14
1513479398,13,13
1513481316,12,12
1513485170,11,11
1513496687,9,9
1513513962,8,8
1513523570,8,8
1513537294,7,7
1513551155,7,7
1513576371,8,8
1513580213,9,9
1513588155,10,10
1513597968,11,11
1513605881,12,12
1513609702,11,11
1513615461,12,12
1513625584,11,11
1513633484,12,12
1513645115,13,13
1513656513,14,14
1513662362,14,14
1513673795,13,13
1513686387,14,14
1513688490,13,13
1513692530,12,12
1513702127,11,11
1513720979,10,10
1513731524,9,9
1513742933,8,8
1513754477,7,7
1513756356,9,9
1513767162,10,10
1513772967,9,9
1513784498,8,8
1513804390,9,9
1513817074,8,8
1513818993,9,9
1513824690,10,10
1513834607,11,11
1513842266,9,9
1513854536,8,8
1513872296,10,10
1513895535,9,9
1513908760,8,8
1513912818,7,7
1513922508,6,6
1513938217,5,5
1513948240,6,6
1513957733,4,4
1513961562,5,5
1513965416,6,6
1513971226,8,8
1513975062,9,9
1513976927,10,10
1513986992,11,11
1513988936,12,12
1513991057,13,13
1514029716,14,14
1514047225,13,13
1514051069,12,12
1514056831,11,11
1514062594,10,10
1514064524,9,9
1514066489,11,11
1514072212,10,10
1514076058,10,10
1514077973,9,9
1514080036,10,10
1514082275,11,11
1514105852,12,12
1514107799,13,13
1514116006,12,12
1514137480,13,13
1514151651,12,12
1514153565,11,11
1514163242,10,10
1514167095,8,8
1514168916,9,9
1514180458,10,10
1514192491,9,9
1514194377,8,8
1514196286,9,9
1514200137,10,10
1514221289,11,11
1514225073,10,10
1514238436,13,13
1514255581,12,12
1514267086,11,11
1514277280,12,12
1514283104,11,11
1514286998,10,10
1514306215,10,10
1514310534,11,11
1514324949,8,8
1514326865,9,9
1514346293,10,10
1514364028,10,10
1514373886,11,11
1514384230,12,12
1514386365,13,13
1514392123,12,12
1514395987,12,12
1514397800,11,11
1514403865,12,12
1514413401,11,11
1514431269,10,10
1514437487,11,11
1514441545,12,12
1514445389,11,11
1514451160,10,10
1514461241,9,9
1514471822,8,8
1514483531,7,7
1514493414,6,6
1514497226,5,5
1514499148,6,6
1514509005,5,5
1514510923,7,7
1514516679,8,8
1514520522,9,9
1514522708,8,8
1514528433,9,9
1514536116,10,10
1514549715,11,11
1514557793,12,12
1514569985,13,13
1514585836,12,12
1514598151,11,11
1514600129,12,12
1514607764,12,12
1514609741,10,10
1514615548,9,9
1514636862,8,8
1514644844,8,8
1514657316,7,7
1514665469,6,6
1514667539,5,5
1514672034,6,6
1514685883,5,5
1514694047,5,5
1514697875,4,4
1514699804,5,5
1514707727,4,4
1514731248,3,3
1514750556,4,4
1514754528,6,6
1514779504,5,5
1514781415,4,4
1514785478,4,4
1514799161,5,5
1514803239,6,6
1514823142,7,7
1514836886,6,6
1514840675,5,5
1514865882,6,6
1514871880,5,5
1514885806,4,4
1514887964,3,3
1514890296,3,3
1514892262,4,4
1514898398,5,5
1514908378,4,4
1514921068,5,5
1514952751,4,4
1514968118,5,5
1514975807,4,4
1514977746,3,3
1514981672,9,9
1514983473,8,8
1515006767,7,7
1515016592,8,8
1515133542,11,11
1515137385,7,7
1515139314,8,8
1515145036,7,7
1515160886,8,8
1515174758,7,7
1515192065,6,6
1515196624,5,5
1515198514,4,4
1515208119,3,3
1515217949,4,4
1515230103,5,5
1515235926,4,4
1515247611,3,3
1515263265,4,4
1515300146,5,5
1515317759,4,4
1515344513,5,5
1515346368,4,4
1515350428,3,3
1515376900,5,5
1515378739,6,6
1515382752,7,7
1515386932,7,7
1515415859,8,8
1515439435,14,14
1515450490,13,13
1515462483,11,11
1515464438,10,10
1515468274,10,10
1515472369,9,9
1515474457,10,10
1515489881,11,11
1515501438,10,10
1515505258,11,11
1515515066,12,12
1515525192,6,6
1515527076,7,7
1515547010,8,8
1515554675,7,7
1515556926,8,8
1515560784,7,7
1515576073,6,6
1515577960,7,7
1515590133,6,6
1515597848,7,7
1515599665,8,8
1515603527,7,7
1515613408,6,6
1515633671,5,5
1515643293,5,5
1515645155,6,6
1515659688,5,5
1515675465,6,6
1515687344,5,5
1515691696,6,6
1515693910,7,7
1515695811,8,8
1515711533,8,8
1515719335,7,7
1515723416,9,9
1515725302,10,10
1515729176,10,10
1515731333,9,9
1515735410,10,10
1515752931,11,11
1515758683,13,13
1515762762,13,13
1515772887,14,14
1515776689,15,15
1515778585,14,14
1515780542,13,13
1515784594,15,15
1515790894,16,16
1515794573,17,17
1515798748,17,17
1515802896,18,18
1515809079,17,17
1515811119,18,18
1515817020,19,19
1515820841,20,20
1515824926,21,21
1515826912,22,22
1515828765,21,21
1515836683,22,22
1515838837,21,21
1515844622,19,19
1515848492,18,18
1515854211,19,19
1515858303,18,18
1515862179,19,19
1515865959,18,18
1515870092,17,17
1515872229,16,16
1515876059,15,15
1515877991,16,16
1515881875,16,16
1515885663,16,16
1515887576,17,17
1515889519,16,16
1515893363,17,17
1515897266,15,15
1515902992,15,15
1515904963,15,15
1515906780,14,14
1515908758,15,15
1515910650,14,14
1515912861,13,13
1515922592,14,14
1515924434,13,13
1515932104,14,14
1515943967,15,15
1515947821,14,14
1515951632,13,13
1515955493,14,14
1515959340,15,15
1515964105,15,15
1515967893,15,15
1515972379,15,15
1515974600,16,16
1515978396,15,15
1515990171,15,15
1515991971,14,14
1515994020,13,13
1516009972,12,12
1516017525,11,11
1516027460,10,10
1516029293,10,10
1516037331,11,11
1516041172,10,10
1516045005,9,9
1516047397,10,10
1516049313,9,9
1516053158,10,10
1516057299,11,11
1516059292,10,10
1516061344,10,10
1516067087,11,11
1516070929,12,12
1516076684,11,11
1516080525,13,13
1516086287,14,14
1516088218,15,15
1516090138,17,17
1516110281,18,18
1516114137,16,16
1516116056,17,17
1516117973,18,18
1516124438,17,17
1516128276,18,18
1516134041,17,17
1516139797,15,15
1516143726,14,14
1516147704,13,13
1516153997,13,13
1516157814,12,12
1516165746,11,11
1516167645,12,12
1516171731,11,11
1516173645,10,10
1516177490,8,8
1516179693,10,10
1516189754,9,9
1516197754,8,8
1516203535,6,6
1516211577,7,7
1516213479,7,7
1516241182,6,6
1516252963,4,4
1516258938,5,5
1516262914,7,7
1516264745,6,6
1516266597,5,5
1516279126,6,6
1516288713,7,7
1516299215,6,6
1516303513,7,7
1516305560,8,8
1516309671,9,9
