DateTime,Entries,UniqueIPs
1517018208,417,417
1517020191,420,420
1517022092,421,421
1517024060,413,413
1517025873,414,414
1517027892,404,404
1517029717,403,403
1517031741,403,403
1517033568,392,392
1517035603,377,377
1517037624,378,378
1517039472,350,350
1517041478,353,353
1517043692,352,352
1517045545,353,353
1517047489,349,349
1517049410,350,350
1517051330,351,351
1517053226,350,350
1517055257,337,337
1517057064,336,336
1517059197,339,339
1517061157,340,340
1517062970,352,352
1517064875,351,351
1517067026,348,348
1517068893,348,348
1517070873,345,345
1517072912,345,345
1517074949,347,347
1517076978,348,348
1517078975,352,352
1517080844,354,354
1517082886,362,362
1517084692,355,355
1517086684,348,348
1517088506,348,348
1517090568,365,365
1517092375,333,333
1517094482,333,333
1517096456,340,340
1517098493,348,348
1517100523,361,361
1517102677,366,366
1517104587,374,374
1517106513,371,371
1517108488,373,373
1517110355,377,377
1517112294,376,376
1517114205,374,374
1517116113,369,369
1517118039,364,364
1517119975,360,360
1517121871,362,362
1517123902,362,362
1517125731,358,358
1517127654,355,355
1517129807,351,351
1517131704,351,351
1517134516,369,369
1517136504,454,454
1517138420,530,530
1517140337,615,615
1517142258,679,679
1517144175,676,676
1517146101,669,669
1517148087,661,661
1517150204,651,651
1517152353,652,652
1517154290,644,644
1517156455,647,647
1517158351,647,647
1517160286,639,639
1517162191,631,631
1517164126,629,629
1517166098,624,624
1517167976,627,627
1517169876,619,619
1517171808,612,612
1517173712,612,612
1517175633,597,597
1517177568,595,595
1517179475,598,598
1517181567,599,599
1517183560,598,598
1517185469,592,592
1517187402,592,592
1517189306,588,588
1517191291,587,587
1517193163,589,589
1517195080,586,586
1517196994,581,581
1517198915,584,584
1517200826,588,588
1517202770,631,631
1517204673,638,638
1517206604,637,637
1517208513,635,635
1517210463,633,633
1517212352,632,632
1517214276,633,633
1517216314,636,636
1517218378,635,635
1517220942,617,617
1517222928,530,530
1517224832,453,453
1517226772,366,366
1517228697,304,304
1517230606,303,303
1517232533,306,306
1517234495,310,310
1517236369,309,309
1517238272,310,310
1517240210,305,305
1517242135,304,304
1517244051,307,307
1517245969,309,309
1517248129,309,309
1517250042,314,314
1517251964,312,312
1517254141,314,314
1517256247,314,314
1517258182,321,321
1517260122,320,320
1517262019,323,323
1517264205,338,338
1517266113,332,332
1517268719,340,340
1517270931,351,351
1517272832,365,365
1517274765,375,375
1517276688,370,370
1517278605,387,387
1517280505,387,387
1517282440,390,390
1517284372,389,389
1517286282,386,386
1517288191,368,368
1517290110,349,349
1517292086,349,349
1517293975,347,347
1517295870,348,348
1517297790,351,351
1517299731,356,356
1517301638,359,359
1517303669,353,353
1517306350,357,357
1517308349,353,353
1517310344,360,360
1517312218,364,364
1517314346,363,363
1517316274,358,358
1517318217,359,359
1517320119,356,356
1517322103,369,369
1517323967,369,369
1517325960,370,370
1517328167,379,379
1517330034,380,380
1517331873,381,381
1517333933,380,380
1517335734,380,380
1517337765,384,384
1517339567,386,386
1517341543,385,385
1517343392,396,396
1517345336,394,394
1517347233,393,393
1517349426,379,379
1517351310,381,381
1517353358,373,373
1517355416,366,366
1517357326,361,361
1517359240,346,346
1517361149,338,338
1517363082,339,339
1517365052,323,323
1517366915,319,319
1517368893,316,316
1517370773,317,317
1517372750,316,316
1517374603,316,316
1517376643,315,315
1517378490,325,325
1517380403,329,329
1517382334,336,336
1517384329,332,332
1517386359,330,330
1517388287,327,327
1517392349,323,323
1517394266,320,320
1517396085,317,317
1517398147,314,314
1517400127,308,308
1517401954,308,308
1517403895,304,304
1517405787,307,307
