DateTime,Entries,UniqueIPs
1517020191,1234,1234
1517022091,1232,1232
1517024060,1220,1220
1517025873,1215,1215
1517027892,1216,1216
1517029717,1224,1224
1517031741,1226,1226
1517033568,1227,1227
1517035603,1210,1210
1517037624,1203,1203
1517039472,1200,1200
1517041477,1186,1186
1517043692,1174,1174
1517045545,1147,1147
1517047489,1126,1126
1517049409,1138,1138
1517051329,1139,1139
1517053226,2258,2258
1517055256,2263,2263
1517057064,2269,2269
1517059196,2282,2282
1517061156,2286,2286
1517062970,2284,2284
1517064874,2298,2298
1517067025,2297,2297
1517068893,2305,2305
1517070873,2307,2307
1517072912,2305,2305
1517074949,2315,2315
1517076978,2314,2314
1517078975,2329,2329
1517080844,2334,2334
1517082886,2345,2345
1517084691,2351,2351
1517086683,2350,2350
1517088506,2348,2348
1517090568,2335,2335
1517092375,2331,2331
1517094482,2337,2337
1517096454,2337,2337
1517098493,2350,2350
1517100522,2341,2341
1517102676,2337,2337
1517104587,2336,2336
1517106513,2332,2332
1517108487,2327,2327
1517110355,2326,2326
1517112294,2333,2333
1517114204,2323,2323
1517116113,2317,2317
1517118039,2324,2324
1517119974,2318,2318
1517121870,2317,2317
1517123902,2303,2303
1517125731,2375,2375
1517127654,2629,2629
1517129806,2842,2842
1517131704,3106,3106
1517134516,3361,3361
1517136503,3631,3631
1517138419,3195,3195
1517140337,3001,3001
1517142258,3230,3230
1517144175,3625,3625
1517146100,3881,3881
1517148087,4354,4354
1517150204,4719,4719
1517152353,5142,5142
1517154289,5475,5475
1517156455,5873,5873
1517158351,6194,6194
1517160286,6528,6528
1517162191,6792,6792
1517164126,7190,7190
1517166097,7463,7463
1517167976,7796,7796
1517169875,8025,8025
1517171807,8250,8250
1517173712,8484,8484
1517175633,8798,8798
1517177568,9046,9046
1517179474,9278,9278
1517181567,9501,9501
1517183559,9823,9823
1517185469,9997,9997
1517187402,10048,10048
1517189306,10182,10182
1517191291,10326,10326
1517193162,10478,10478
1517195080,10702,10702
1517196994,10912,10912
1517198915,11044,11044
1517200825,11253,11253
1517202769,11424,11424
1517204672,11598,11598
1517206604,11846,11846
1517208513,12074,12074
1517210462,12260,12260
1517212352,12433,12433
1517214276,12486,12486
1517216314,12510,12510
1517218377,12576,12576
1517220941,12693,12693
1517222928,12648,12648
1517224831,12650,12650
1517226772,12675,12675
1517228696,12617,12617
1517230606,12445,12445
1517232533,12461,12461
1517234495,12187,12187
1517236369,12118,12118
1517238272,11986,11986
1517240209,11933,11933
1517242134,11711,11711
1517244051,11686,11686
1517245969,11375,11375
1517248129,11338,11338
1517250042,11097,11097
1517251964,11015,11015
1517254140,10781,10781
1517256247,10595,10595
1517258182,10547,10547
1517260122,10358,10358
1517262019,10086,10086
1517264204,10041,10041
1517266112,9894,9894
1517268719,9628,9628
1517270929,9448,9448
1517272832,9461,9461
1517274764,9488,9488
1517276688,9486,9486
1517278605,9489,9489
1517280504,9475,9475
1517282439,9473,9473
1517284371,9445,9445
1517286281,9507,9507
1517288191,9497,9497
1517290110,9502,9502
1517292086,9618,9618
1517293975,9615,9615
1517295869,9612,9612
1517297790,9566,9566
1517299731,9625,9625
1517301637,9634,9634
1517303669,9566,9566
1517306349,9556,9556
1517308348,9579,9579
1517310343,9525,9525
1517312218,9466,9466
1517314345,9465,9465
1517316274,9433,9433
1517318217,9333,9333
1517320119,9392,9392
1517322103,9340,9340
1517323967,9204,9204
1517325960,9241,9241
1517328167,9174,9174
1517330034,9051,9051
1517331872,9113,9113
1517333932,9018,9018
1517335733,9012,9012
