DateTime,AddedIPs,RemovedIPs
1516954748,4,3
1516956739,8,1
1516958659,4,1
1516960579,4,2
1516962382,0,1
1516964200,2,1
1516966197,2,0
1516968288,0,3
1516970439,1,1
1516972357,1,2
1516974285,5,1
1516976212,2,0
1516978128,2,3
1516980035,1,3
1516981944,0,1
1516983890,1,1
1516986101,0,1
1516987977,1,3
1516989901,1,1
1516991808,1,2
1516993958,1,2
1516995867,0,3
1516997815,1,2
1516999708,1,1
1517001635,2,0
1517003568,1,2
1517005485,0,2
1517008041,3,1
1517010061,3,2
1517014131,3,1
1517016035,3,0
1517018208,3,4
1517020192,2,3
1517022092,2,2
1517024060,1,2
1517025874,1,0
1517027892,6,1
1517031741,2,2
1517033568,4,1
1517035603,4,1
1517037625,2,3
1517039473,1,7
1517041478,1,5
1517043693,3,6
1517045546,2,4
1517047489,1,4
1517049410,3,0
1517051330,1,2
1517053226,1,1
1517055257,0,2
1517057065,3,0
1517059197,1,1
1517061157,3,6
1517062970,0,2
1517064875,1,0
1517067026,4,2
1517068894,1,1
1517070874,1,1
1517072912,0,1
1517074949,0,2
1517076978,0,1
1517080845,2,1
1517082887,1,0
1517084692,0,2
1517086684,3,0
1517088507,0,2
1517090568,1,1
1517092375,1,1
1517094483,1,2
1517096457,1,2
1517098493,3,0
1517100523,2,4
1517102677,1,3
1517104587,4,2
1517106513,2,1
1517108488,4,2
1517110356,2,2
1517112295,1,1
1517114205,1,5
1517116113,1,0
1517118039,4,1
1517119975,1,3
1517121871,4,2
1517123903,1,2
1517125731,5,1
1517127654,1,1
1517129807,1,3
1517131705,2,2
1517134517,6,2
1517136504,2,2
1517138420,0,3
1517140338,2,0
1517142259,4,0
1517144176,0,2
1517146101,1,2
1517148088,1,2
1517150204,3,2
1517152354,0,1
1517154290,2,3
1517156455,2,2
1517158351,3,0
1517160286,1,0
1517164127,1,0
1517166098,2,0
1517167977,2,1
1517169876,1,1
1517171808,1,2
1517173712,1,1
1517175634,1,1
1517177568,1,1
1517179475,1,0
1517181568,2,1
1517183562,0,3
1517185470,2,2
1517187402,2,3
1517189307,4,0
1517191291,5,5
1517193163,1,1
1517195081,2,4
1517196994,4,2
1517198915,6,1
1517200826,4,2
1517202770,4,2
1517204673,2,3
1517206605,2,2
1517208514,4,3
1517210463,5,1
1517212352,4,5
1517214277,2,1
1517216315,1,1
1517218378,1,2
1517220942,4,6
1517222929,2,4
1517224832,1,0
1517226773,2,3
1517228697,0,4
