DateTime,Entries,UniqueIPs
1516954748,78,78
1516956739,85,85
1516958659,88,88
1516960579,90,90
1516962382,89,89
1516964200,90,90
1516966197,92,92
1516968288,89,89
1516970439,89,89
1516972357,88,88
1516974285,92,92
1516976212,94,94
1516978128,93,93
1516980035,91,91
1516981944,90,90
1516983890,90,90
1516986101,89,89
1516987977,87,87
1516989901,87,87
1516991808,86,86
1516993958,85,85
1516995867,82,82
1516997815,81,81
1516999708,81,81
1517001635,83,83
1517003568,82,82
1517005485,80,80
1517008041,82,82
1517010061,83,83
1517014131,85,85
1517016035,88,88
1517018208,87,87
1517020192,86,86
1517022092,86,86
1517024060,85,85
1517025874,86,86
1517027892,91,91
1517031741,91,91
1517033568,94,94
1517035603,97,97
1517037625,96,96
1517039473,90,90
1517041478,86,86
1517043693,83,83
1517045546,81,81
1517047489,78,78
1517049410,81,81
1517051330,80,80
1517053226,80,80
1517055257,78,78
1517057065,81,81
1517059197,81,81
1517061157,78,78
1517062970,76,76
1517064875,77,77
1517067026,79,79
1517068894,79,79
1517070874,79,79
1517072912,78,78
1517074949,76,76
1517076978,75,75
1517080845,76,76
1517082887,77,77
1517084692,75,75
1517086684,78,78
1517088507,76,76
1517090568,76,76
1517092375,76,76
1517094483,75,75
1517096457,74,74
1517098493,77,77
1517100523,75,75
1517102677,73,73
1517104587,75,75
1517106513,76,76
1517108488,78,78
1517110356,78,78
1517112295,78,78
1517114205,74,74
1517116113,75,75
1517118039,78,78
1517119975,76,76
1517121871,78,78
1517123903,77,77
1517125731,81,81
1517127654,81,81
1517129807,79,79
1517131705,79,79
1517134517,83,83
1517136504,83,83
1517138420,80,80
1517140338,82,82
1517142259,86,86
1517144176,84,84
1517146101,83,83
1517148088,82,82
1517150204,83,83
1517152354,82,82
1517154290,81,81
1517156455,81,81
1517158351,84,84
1517160286,85,85
1517164127,86,86
1517166098,88,88
1517167977,89,89
1517169876,89,89
1517171808,88,88
1517173712,88,88
1517175634,88,88
1517177568,88,88
1517179475,89,89
1517181568,90,90
1517183562,87,87
1517185470,87,87
1517187402,86,86
1517189307,90,90
1517191291,90,90
1517193163,90,90
1517195081,88,88
1517196994,90,90
1517198915,95,95
1517200826,97,97
1517202770,99,99
1517204673,98,98
1517206605,98,98
1517208514,99,99
1517210463,103,103
1517212352,102,102
1517214277,103,103
1517216315,103,103
1517218378,102,102
1517220942,100,100
1517222929,98,98
1517224832,99,99
1517226773,98,98
1517228697,94,94
1517230606,95,95
1517232533,94,94
1517234495,93,93
1517238272,95,95
1517240210,97,97
1517242135,98,98
1517244052,96,96
1517245970,97,97
1517248130,98,98
1517250042,98,98
1517251965,101,101
1517254141,100,100
1517256248,100,100
1517258183,100,100
1517260122,101,101
1517262020,101,101
1517264205,101,101
1517266113,100,100
1517268719,99,99
1517270932,100,100
1517272832,100,100
1517274765,99,99
1517276689,99,99
1517278605,101,101
1517280505,103,103
1517282440,104,104
1517284372,104,104
1517286282,113,113
1517288191,112,112
1517290111,108,108
1517292086,106,106
1517293976,108,108
1517295870,110,110
1517297791,111,111
1517299732,108,108
1517301638,116,116
1517303669,121,121
1517306350,124,124
1517308349,127,127
1517310344,127,127
1517312219,126,126
1517314346,131,131
1517316275,132,132
1517318217,133,133
1517320120,134,134
1517323967,135,135
1517325961,133,133
1517328167,132,132
1517330035,133,133
1517331873,134,134
1517333933,131,131
1517335734,132,132
1517337765,128,128
1517339568,128,128
1517341544,130,130
1517343392,132,132
1517345337,130,130
1517347233,129,129
1517349426,128,128
1517351310,127,127
1517353359,126,126
1517355416,127,127
1517357327,125,125
1517359240,122,122
1517361149,119,119
1517363082,116,116
1517365052,112,112
1517366915,109,109
1517368894,105,105
1517370773,104,104
1517372751,103,103
1517374603,89,89
1517376643,91,91
1517378490,90,90
1517380403,86,86
1517382334,84,84
1517384329,80,80
1517386359,78,78
1517388287,72,72
1517390196,69,69
1517392349,67,67
1517394266,65,65
1517396086,64,64
1517398148,63,63
1517400128,62,62
1517401954,60,60
1517403895,58,58
1517405788,56,56
1517407749,55,55
1517411814,55,55
1517413836,55,55
1517415653,54,54
1517417565,53,53
1517419692,52,52
1517421685,51,51
1517423800,52,52
1517425712,53,53
1517427627,51,51
1517429573,50,50
1517431476,50,50
1517433412,49,49
1517437228,50,50
1517439157,51,51
1517441385,52,52
1517443306,52,52
1517445149,52,52
1517447085,52,52
1517449230,51,51
1517451153,52,52
1517455004,51,51
1517456912,50,50
1517458837,52,52
1517460751,53,53
1517462673,55,55
1517464606,55,55
1517466507,55,55
1517468486,56,56
1517470359,53,53
1517472295,52,52
1517474192,53,53
1517476130,52,52
1517478027,50,50
1517479952,46,46
1517481871,44,44
1517483803,46,46
1517485717,44,44
1517487892,43,43
1517489784,42,42
1517491731,43,43
1517493688,45,45
1517497717,44,44
1517499615,45,45
1517501578,47,47
1517507299,49,49
1517509244,50,50
1517511143,48,48
1517513081,52,52
1517515008,53,53
1517516920,54,54
1517518983,54,54
1517521231,56,56
1517525093,55,55
1517526994,55,55
1517528911,56,56
1517530827,53,53
1517532736,52,52
1517534672,53,53
1517536579,54,54
1517538517,57,57
1517540486,57,57
1517542596,59,59
1517544509,59,59
1517546438,58,58
1517548340,57,57
1517550275,57,57
1517552183,56,56
1517554125,55,55
1517556012,58,58
1517557931,63,63
1517559876,61,61
1517561772,63,63
1517563950,64,64
1517566021,66,66
1517568061,68,68
1517570208,68,68
1517572109,68,68
1517574041,70,70
1517575950,69,69
1517577866,69,69
1517579783,70,70
1517581703,71,71
1517585559,69,69
1517587486,70,70
1517589432,69,69
1517591343,70,70
1517593255,71,71
1517595174,71,71
1517597089,72,72
1517598993,71,71
1517600935,70,70
1517602839,69,69
1517606689,68,68
1517608626,70,70
1517610540,71,71
1517612557,70,70
1517614934,69,69
1517616748,70,70
1517618676,72,72
1517620628,74,74
1517622520,75,75
1517624438,74,74
1517626375,73,73
1517628535,74,74
1517630490,75,75
1517632374,73,73
1517634296,75,75
1517636208,76,76
1517638133,77,77
1517640049,76,76
1517641946,76,76
1517643893,75,75
1517645799,73,73
1517647728,75,75
1517649633,74,74
1517651568,77,77
1517653708,76,76
1517655695,73,73
1517657572,73,73
1517659504,73,73
1517661634,73,73
1517663558,72,72
1517665485,71,71
1517667394,73,73
1517669308,76,76
1517673407,75,75
1517675417,77,77
1517677303,80,80
1517679171,82,82
1517681077,81,81
1517683012,80,80
1517684944,81,81
1517687332,80,80
1517693070,80,80
1517695292,79,79
1517697165,80,80
1517699489,81,81
1517701707,80,80
1517703658,82,82
1517705738,84,84
1517707965,80,80
1517710145,76,76
1517712032,80,80
1517713970,81,81
1517715883,82,82
1517717804,78,78
1517719723,79,79
1517721647,76,76
1517723564,76,76
1517725475,75,75
1517727391,73,73
1517729310,70,70
1517731289,69,69
1517733398,70,70
1517735309,69,69
1517737235,67,67
1517739168,67,67
1517741339,68,68
1517743229,67,67
1517745167,66,66
1517747084,66,66
1517749000,67,67
1517750926,68,68
1517752886,68,68
1517754750,66,66
1517756681,64,64
1517758590,66,66
1517760543,67,67
1517762534,65,65
1517764625,63,63
1517766512,61,61
1517770040,60,60
1517772167,62,62
1517773972,61,61
1517776044,63,63
1517779918,62,62
1517781863,63,63
1517783670,62,62
1517785472,61,61
1517789815,60,60
1517791975,55,55
1517796092,54,54
1517797974,51,51
1517799882,53,53
1517801814,52,52
1517805653,51,51
1517807574,53,53
1517809475,54,54
1517811425,55,55
1517813340,59,59
1517815477,61,61
1517817688,58,58
1517819565,59,59
1517821473,62,62
1517823420,63,63
1517825333,62,62
1517827492,61,61
1517829852,64,64
1517831775,67,67
1517833697,66,66
1517835680,66,66
1517837486,64,64
1517839460,66,66
1517841396,68,68
1517845483,67,67
1517847397,66,66
1517849308,67,67
1517851229,65,65
1517855554,65,65
1517859410,65,65
1517863492,67,67
1517865387,68,68
1517867326,66,66
1517869229,67,67
1517871176,67,67
1517873073,69,69
1517875005,71,71
