DateTime,AddedIPs,RemovedIPs
1516576634,0,1
1516584510,0,1
1516586519,0,1
1516590287,1,0
1516592202,1,1
1516594109,1,1
1516597966,1,0
1516599886,0,1
1516601799,1,1
1516605629,1,2
1516607547,1,1
1516613312,1,0
1516615287,78,0
1516617140,2,1
1516619239,0,1
1516621217,0,1
1516623043,0,1
1516628801,3,0
1516632536,1,3
1516634426,1,1
1516638534,0,1
1516640490,0,2
1516644276,1,0
1516646183,2,0
1516656619,1,0
1516662290,1,1
1516664096,1,0
1516669960,2,0
1516673801,1,0
1516675711,0,1
1516677663,2,0
1516679546,1,2
1516683400,1,1
1516685311,2,0
1516689202,0,1
1516691075,2,1
1516694908,0,1
1516696830,1,0
1516698759,4,1
1516700696,0,61
1516702590,1,18
1516704511,77,0
1516708348,0,1
1516714167,2,0
1516716140,2,1
1516718220,1,2
1516720115,1,0
1516722041,0,1
1516730762,1,1
1516732850,0,2
1516738650,0,1
1516742500,2,1
1516746314,1,0
1516748240,0,1
1516750754,1,0
1516754685,1,1
1516756603,1,1
1516760424,0,1
1516764284,0,2
1516766178,0,1
1516768151,0,1
1516770107,2,0
1516771975,2,2
1516775814,0,1
1516777732,0,2
1516783698,0,1
1516785707,2,4
1516787563,2,0
1516789500,0,78
1516791406,8,0
1516793355,1,0
1516795324,1,0
1516799329,1,0
1516801293,1,3
1516803253,0,1
1516805120,0,1
1516807007,2,0
1516810858,1,0
1516812797,2,0
1516814937,1,1
1516828396,0,2
1516836078,1,0
1516838253,1,0
1516840118,1,1
1516842129,0,1
1516843957,2,0
1516845913,1,0
1516855478,1,0
1516857453,2,3
1516859318,2,1
1516861264,1,0
1516868951,1,0
1516870896,0,1
1516872812,1,1
1516874688,1,2
1516876630,2,4
1516878517,0,4
1516880449,0,1
1516886197,0,2
1516888140,1,0
1516891991,1,1
1516893868,0,1
1516895851,1,0
1516897712,0,1
1516899694,0,2
1516901555,0,1
1516907374,1,0
1516911144,1,0
1516913085,1,1
1516915026,2,0
1516918876,1,0
1516921714,1,1
1516923695,1,0
1516925541,0,1
1516927538,0,1
1516929649,0,1
1516931651,0,2
1516935444,1,0
1516941168,0,1
1516943154,1,2
1516944982,2,1
1516946972,0,1
1516948846,0,1
1516952902,1,1
1516954748,4,0
1516956739,3,1
1516958660,0,1
1516962383,0,3
1516964200,3,0
1516972358,1,0
1516974286,0,1
1516976212,1,0
1516978128,2,1
1516980035,1,0
1516981945,1,1
1516983890,1,1
1516986101,1,0
1516987977,2,0
1516991808,2,0
1516993958,2,0
1516995867,0,1
1516997815,1,1
1516999708,1,1
1517001636,1,2
1517005486,1,2
1517008042,1,1
1517010061,1,1
1517014131,1,0
1517018208,1,0
1517022092,0,1
1517024060,1,0
1517027893,2,0
1517029717,2,2
1517031742,1,1
1517033568,1,0
1517035604,2,0
1517037625,3,0
1517041478,1,5
1517043693,3,3
1517045546,1,0
1517049410,1,1
1517051330,1,2
1517053227,1,0
1517055257,2,0
1517057065,1,1
1517059197,0,1
1517062971,2,1
1517064875,0,2
1517067026,1,0
1517068894,0,1
1517070874,1,1
1517072913,0,1
1517074949,1,1
1517076979,1,1
1517078976,1,4
1517080845,1,0
1517082887,0,1
1517084692,0,1
1517088507,1,1
1517092376,0,2
1517096458,1,1
1517098494,1,0
1517100523,1,1
1517104588,3,1
1517110356,2,1
1517112295,4,0
1517114205,0,2
1517116114,1,2
1517118040,0,1
1517119975,1,1
1517121871,1,1
1517123903,0,3
1517125732,3,0
1517127655,0,1
1517129807,0,2
1517134517,0,1
1517136504,0,1
1517138420,0,1
1517140338,0,2
1517142259,0,1
1517144176,0,1
1517146101,0,1
1517148088,2,0
1517150205,0,3
1517152354,1,0
1517156456,1,1
1517160287,1,1
1517162192,0,1
1517166098,2,0
1517167977,0,1
1517171808,3,0
1517173713,0,1
1517177569,1,0
1517179475,2,0
1517183563,0,1
1517185471,0,1
1517187403,0,1
1517189307,1,0
1517191292,0,3
1517196995,1,4
1517198916,0,3
1517200826,1,0
1517202770,0,1
1517204673,2,0
1517206605,1,2
1517208514,0,2
1517210463,2,2
1517212353,2,1
1517214277,1,0
1517216315,1,0
1517220943,1,0
1517224832,1,0
1517234496,3,1
1517245970,1,2
1517251965,0,1
1517254141,0,1
1517258183,0,2
1517264205,1,1
1517266114,0,2
1517268720,0,2
1517272833,1,0
1517274766,1,1
1517282440,0,1
1517288192,1,1
1517290111,0,1
1517292087,0,1
1517295871,1,2
1517299732,0,1
1517301638,0,1
1517303670,15,0
1517306350,0,1
1517308349,1,1
1517310344,1,1
1517314346,2,0
1517320120,0,1
1517322104,0,3
1517325961,1,0
1517330035,1,0
1517331873,0,1
1517335735,1,0
1517337766,1,0
1517341544,2,0
1517343393,1,0
1517345337,1,0
1517349427,1,0
1517351311,1,0
1517355417,2,0
1517359240,0,1
1517361150,1,1
1517368894,2,0
1517374604,0,1
1517378491,1,0
1517382335,0,2
1517384330,1,0
1517386360,2,0
1517390196,0,14
1517394267,0,1
1517396086,0,1
1517400128,1,1
1517403895,1,1
1517405788,2,0
1517407749,2,0
1517409870,1,0
1517411814,1,1
1517413836,2,0
