DateTime,AddedIPs,RemovedIPs
1517020193,1,6
1517022093,3,6
1517024061,5,17
1517025875,2,8
1517027893,5,40
1517029718,7,1
1517031746,5,9
1517033569,5,7
1517035605,3,5
1517037626,3,10
1517039474,2,4
1517041479,11,21
1517043694,10,15
1517045547,0,6
1517047490,8,21
1517049411,2,2
1517051331,6,6
1517053227,2,5
1517055258,4,5
1517057066,4,5
1517059198,3,6
1517061158,1,4
1517062971,4,4
1517064876,4,6
1517067027,3,8
1517068895,5,2
1517070875,6,7
1517072913,13,13
1517074950,1,1
1517076980,6,3
1517078976,6,5
1517080846,4,12
1517082888,5,3
1517084693,3,3
1517086685,4,13
1517088508,3,4
1517090569,1,2
1517092376,6,3
1517094484,2,8
1517096460,5,3
1517098494,7,9
1517100524,4,23
1517102678,4,7
1517104589,5,5
1517106515,11,2
1517108489,8,6
1517110357,4,5
1517112296,15,2
1517114206,12,5
1517116114,9,6
1517118040,1,5
1517119976,1,6
1517121872,7,3
1517123904,1,3
1517125732,1,11
1517127655,8,11
1517129808,2,11
1517131706,4,1
1517134518,19,7
1517136505,2,1
1517138421,3,3
1517140339,4,6
1517142260,3,3
1517144177,5,2
1517146102,7,3
1517148089,7,1
1517150206,5,5
1517152355,8,4
1517154291,8,3
1517156457,7,10
1517158352,5,12
1517160288,6,2
1517162193,4,4
1517164128,7,5
1517166099,4,3
1517167978,7,4
1517169877,6,5
1517171809,4,4
1517173714,7,6
1517175635,6,3
1517177569,10,5
1517179476,8,3
1517181569,7,1
1517183565,5,9
1517185472,6,3
1517187403,6,5
1517189308,9,3
1517191292,10,6
1517193164,6,9
1517195082,2,9
1517196995,16,7
1517198917,18,13
1517200827,3,10
1517202771,5,10
1517204674,7,1
1517206606,5,1
1517208515,12,7
1517210464,6,2
1517212353,8,1
1517214278,4,7
1517216316,7,2
1517218379,4,3
1517220943,12,17
1517222930,6,1
1517224833,5,1
1517226774,5,4
1517228698,10,2
1517230607,5,4
1517232534,5,5
1517234496,12,3
1517236371,6,5
1517238273,5,4
1517240211,4,3
1517242136,10,6
1517244053,4,5
1517245971,6,5
1517248131,7,4
1517250043,2,4
1517251966,1,5
1517254142,3,7
1517256249,6,7
1517258184,7,4
1517260123,1,6
1517262021,10,5
1517264206,3,12
1517266114,27,7
1517268720,23,9
1517270935,5,8
1517272834,2,5
1517274766,3,7
1517276690,1,9
1517278607,10,10
1517280506,6,4
1517282441,3,9
1517284374,9,20
1517286283,5,8
1517288193,6,3
1517290112,10,2
1517292088,3,4
1517293977,8,8
1517295871,5,8
1517297792,7,8
1517299733,5,4
