DateTime,AddedIPs,RemovedIPs
1515536972,1,0
1515543191,0,1
1515545104,0,1
1515547013,1,0
1515554678,0,1
1515556929,1,0
1515564568,1,0
1515566458,1,1
1515570280,1,0
1515574111,0,1
1515577963,1,1
1515584057,0,1
1515587838,1,0
1515601687,1,1
1515605504,0,1
1515607319,1,0
1515611334,0,1
1515613414,1,1
1515621101,0,1
1515633674,0,1
1515635552,0,1
1515643295,0,1
1515647573,3,0
1515651612,0,3
1515663883,0,1
1515669862,1,3
1515675467,0,1
1515679334,1,0
1515681236,0,1
1515687346,0,1
1515689578,0,2
1515693913,1,0
1515699649,0,1
1515707570,1,0
1515717177,2,0
1515723418,0,1
1515729179,0,1
1515731335,1,0
1515735412,0,1
1515745243,0,1
1515750996,0,1
1515762764,1,0
1515764853,0,1
1515778588,0,1
1515780545,1,0
1515782680,1,0
1515794575,0,1
1515798751,0,1
1515802899,0,1
1515805007,0,1
1515817022,0,1
1515834647,1,0
1515842672,1,0
1515858306,1,0
1515862181,1,0
1515864030,1,0
1515867891,0,1
1515870094,0,1
1515872232,0,1
1515874200,0,1
1515879897,1,0
1515881877,1,0
1515883741,1,0
1515889522,1,0
1515904966,1,0
1515910653,1,1
1515914710,1,0
1515920624,0,1
1515930057,0,1
1515932107,1,0
1515936278,1,0
1515943970,0,2
1515947824,0,1
1515949750,0,1
1515953575,0,1
1515959343,1,0
1515962127,2,1
1515964109,1,0
1515966079,0,1
1515967896,0,1
1515976593,1,0
1515980219,1,1
1515990174,0,1
1515996088,0,1
1516001957,0,1
1516003941,1,0
1516005872,1,0
1516015715,2,0
1516017528,1,0
1516023179,0,1
1516025487,1,0
1516043088,1,0
1516045008,1,1
1516047400,1,1
1516049316,0,1
1516051144,1,0
1516053162,1,0
1516055076,1,0
1516059295,1,0
1516063241,1,0
1516065171,0,2
1516067090,1,0
1516072837,1,0
1516078603,1,0
1516084369,1,0
1516090142,0,1
1516092052,0,1
1516094228,1,0
1516102376,0,1
1516104305,1,1
1516108378,1,0
1516110285,2,0
1516112223,0,1
1516114140,1,0
1516117976,1,0
1516132110,0,2
1516141739,1,1
