DateTime,AddedIPs,RemovedIPs
1517020195,76,69
1517022095,54,65
1517024063,71,4342
1517025876,58,1261
1517027895,78,78
1517029720,61,101
1517031748,77,92
1517033571,88,64
1517035607,71,133
1517037627,118,75
1517039475,61,78
1517041481,75,88
1517043695,96,91
1517045548,55,61
1517047492,83,68
1517049413,75,66
1517051333,68,94
1517053229,73,78
1517055260,74,75
1517057067,71,71
1517059200,92,123
1517061160,87,99
1517062975,69,90
1517064880,83,92
1517067031,94,78
1517068897,69,55
1517070877,79,96
1517072916,74,84
1517074953,70,83
1517076982,110,87
1517078979,64,123
1517080849,101,58
1517082890,74,81
1517084696,56,61
1517086688,75,76
1517088511,118,72
1517090572,73,82
1517092379,54,69
1517094486,70,74
1517096463,174,79
1517098496,72,60
1517100526,70,69
1517102680,2458,92
1517104590,3042,70
1517106517,72,81
1517108491,78,47
1517110359,66,69
1517112298,65,54
1517114208,57,64
1517116116,57,60
1517118042,52,81
1517119978,60,89
1517121874,101,136
1517123906,64,111
1517125734,95,58
1517127657,53,55
1517129810,73,102
1517131708,70,68
1517134520,98,125
1517136508,43,74
1517138423,75,60
1517140341,57,80
1517142263,70,74
1517144180,73,68
1517146105,69,83
1517148092,98,76
1517150208,99,87
1517152358,72,94
1517154294,89,75
1517156459,63,77
1517158354,49,73
1517160290,68,61
1517162195,69,79
1517164130,91,101
1517166101,101,67
1517167980,69,102
1517169879,107,64
1517171811,69,65
1517173716,70,113
1517175637,63,77
1517177571,132,57
1517179478,169,51
1517181571,131,67
1517183568,473,146
1517185474,1691,70
1517187405,938,60
1517189309,79,2949
1517191294,86,2287
1517193166,78,59
1517195083,98,79
1517196997,160,58
1517198919,79,65
1517200830,64,58
1517202774,57,53
1517204676,77,51
1517206608,83,67
1517208517,79,104
1517210466,100,62
1517212355,74,92
1517214280,2413,63
1517216318,1304,83
1517218381,96,84
1517220946,141,84
1517222932,72,48
1517224835,46,60
1517226776,74,64
1517228700,69,63
1517230610,71,66
1517232537,1305,66
1517234499,1382,92
1517236373,1939,80
1517238276,1225,79
1517240214,74,86
1517242139,83,65
1517244055,139,59
1517245973,74,56
1517248133,87,80
1517250046,80,76
1517251969,82,93
1517254147,113,85
1517256252,78,98
1517258187,86,73
1517260127,91,69
1517262024,66,59
1517264209,85,102
1517266118,78,78
1517268724,77,116
1517270939,67,1085
1517272836,51,1710
1517274769,72,96
1517276692,86,72
1517278609,57,83
1517280508,84,87
1517282444,92,78
1517284376,77,139
1517286286,96,80
1517288195,64,60
1517290114,59,65
1517292090,84,68
1517293979,60,61
1517295873,74,109
1517297794,69,77
1517299735,129,61
1517301641,64,107
1517303672,118,150
1517306353,79,108
1517308353,60,107
1517310348,78,67
1517312222,72,60
1517314351,70,80
1517316279,354,64
1517318223,79,3264
1517320124,86,640
1517322107,81,2079
1517323971,81,1887
1517325964,106,128
1517328171,182,87
1517330039,82,87
1517331877,93,147
1517333937,73,88
1517335738,82,905
1517337770,89,1246
1517339572,81,78
1517341548,103,97
1517343396,73,88
1517345341,68,108
1517347237,85,73
1517349430,98,102
1517351316,75,76
1517353363,71,80
1517355420,85,78
1517357330,72,63
1517359244,74,62
1517361153,129,85
1517363086,117,82
1517365055,100,59
1517366918,110,86
1517368897,104,103
1517370776,96,84
1517372755,115,102
1517374606,104,58
1517376648,85,70
1517378493,90,79
1517380406,87,68
1517382337,125,77
1517384332,103,85
1517386362,100,150
1517388290,72,72
1517390199,100,118
1517392353,96,79
1517394270,120,65
1517396089,329,67
1517398151,790,71
1517400131,1043,68
1517401957,85,157
1517403898,87,312
1517405791,78,79
1517407753,56,72
1517409874,82,117
1517411818,83,102
1517413841,86,164
1517415657,79,85
1517417569,121,89
1517419695,116,92
1517421688,122,72
1517423803,82,75
1517425715,91,82
1517427631,104,87
1517429577,68,78
1517431480,114,71
1517433415,74,84
1517435318,85,76
1517437231,107,95
1517439162,85,66
1517441389,91,89
1517443309,79,66
1517445155,63,70
1517447088,60,69
1517449233,81,97
1517451157,64,76
1517453074,94,85
1517455008,109,79
1517456915,63,92
1517458840,62,92
1517460754,77,94
1517462678,100,80
1517464611,60,67
1517466512,56,70
1517468491,100,116
1517470364,73,93
1517472298,60,72
1517474195,45,81
1517476133,99,75
1517478031,62,74
1517479955,68,98
1517481874,119,94
1517483807,69,77
1517485720,64,105
1517487894,96,89
1517489787,61,92
1517491733,47,71
1517493690,57,291
1517495719,174,1810
1517497720,338,76
1517499617,76,78
1517501580,73,100
1517503489,88,123
1517505423,80,99
1517507302,65,142
1517509246,93,105
1517511146,70,71
1517513083,72,104
1517515010,69,97
1517516924,55,57
1517518986,73,121
1517521234,82,92
1517523157,62,110
1517525096,103,96
1517526998,65,77
1517528915,66,80
1517530830,58,90
1517532740,74,78
1517534674,65,66
1517536581,56,77
1517538520,61,56
1517540489,54,173
1517542599,4609,67
1517544512,1148,68
1517546441,65,75
1517548343,62,71
1517550277,75,84
1517552185,63,51
1517554127,65,69
1517556014,55,63
1517557934,59,84
1517559879,55,50
1517561774,54,144
1517563953,1970,84
1517566024,1775,81
1517568064,71,120
1517570211,123,66
1517572112,88,60
1517574045,48,68
1517575953,61,82
1517577870,64,54
1517579788,47,59
1517581708,50,104
1517583687,68,348
1517585563,56,118
1517587491,63,62
1517589437,73,95
1517591347,86,71
1517593260,78,67
1517595179,58,100
1517597093,84,48
1517598997,65,67
1517600939,64,67
1517602842,73,65
1517604750,59,73
1517606692,57,66
1517608629,67,62
1517610543,107,62
1517612560,127,113
1517614937,120,79
1517616751,67,60
1517618679,54,80
1517620632,64,60
1517622523,66,61
1517624441,47,61
1517626378,65,54
1517628538,59,2920
1517630493,71,1631
1517632377,66,62
1517634299,50,62
1517636211,60,74
1517638136,42,72
1517640052,69,72
1517641949,52,59
1517643896,63,56
1517645803,53,52
1517647733,50,51
1517649637,50,1587
1517651573,59,2656
1517653711,57,856
1517655698,53,119
1517657575,62,91
1517659507,55,64
1517661637,77,62
1517663560,55,95
1517665488,65,59
1517667397,60,58
1517669311,100,66
1517671501,83,92
1517673409,71,70
1517675420,65,76
1517677306,61,77
1517679174,75,68
1517681079,68,64
1517683015,75,63
1517684947,73,63
1517687334,88,80
1517689233,78,84
1517691178,66,66
1517693072,69,64
1517695294,83,133
1517697168,71,66
1517699492,99,143
1517701710,91,139
1517703661,69,66
1517705742,65,71
1517707969,69,73
1517710149,72,71
1517712035,56,69
1517713973,62,54
1517715887,120,52
1517717806,57,87
1517719725,119,67
1517721650,67,60
1517723566,89,53
1517725477,63,58
1517727394,73,82
1517729313,73,63
1517731292,85,57
1517733401,67,51
1517735311,71,55
1517737237,2169,49
1517739171,87,52
1517741342,83,68
1517743232,85,55
1517745170,82,46
1517747087,88,63
1517749003,72,57
1517750929,114,53
1517752889,107,62
1517754753,90,87
1517756684,81,63
1517758592,77,70
1517760547,78,69
1517762537,66,60
1517764630,91,74
1517766516,79,66
1517770044,131,113
1517772171,77,82
1517773976,63,59
1517776048,90,84
1517778097,97,66
1517779923,87,66
1517781865,72,61
1517783673,68,62
1517785475,52,82
1517787641,91,77
1517789819,75,92
1517791978,74,61
1517793910,57,43
1517796095,73,77
1517797977,58,54
1517799884,70,51
1517801817,73,123
1517803744,38,60
1517805656,70,102
1517807577,81,84
1517809478,68,77
1517811428,71,72
1517813343,67,71
1517815481,78,70
1517817692,75,83
1517819568,640,53
1517821476,3010,53
1517823423,111,49
1517825338,66,77
1517827497,71,77
1517829856,171,97
1517831779,91,83
1517833700,83,85
1517835683,88,63
1517837489,68,121
1517839463,96,1484
1517841399,182,80
1517843561,80,83
1517845486,77,78
1517847400,74,61
1517849311,77,65
1517851231,80,60
1517853390,114,75
1517855556,105,80
1517857478,75,61
1517859413,68,57
1517861543,57,94
1517863494,50,79
1517865390,61,84
1517867329,73,77
1517869232,107,80
1517871179,73,70
1517873076,126,64
1517875008,71,65
1517876924,1595,75
1517878932,1189,58
1517880770,63,63
1517882675,52,59
1517884613,57,59
1517886536,55,89
1517888425,62,54
1517890368,78,45
1517892264,49,74
1517894213,70,92
1517896134,74,70
1517898029,75,79
1517899964,99,63
1517901881,65,63
1517903803,63,63
1517905698,2700,78
1517907712,3906,2835
1517909544,3179,67
1517911485,217,112
1517913380,118,74
1517916402,149,181
1517918258,73,79
1517920115,71,68
1517922212,73,91
1517924190,75,69
1517926007,56,153
1517928016,55,73
1517930215,66,76
1517932296,67,71
1517934526,88,70
1517936496,72,88
1517938403,70,107
1517940275,61,85
1517942444,79,92
1517944363,108,75
1517946279,61,51
1517948201,61,53
1517950122,53,55
1517952032,93,48
1517953958,49,60
1517955871,106,104
1517957830,119,77
1517959710,62,105
1517961704,111,201
1517963551,62,1630
1517965479,59,960
1517967394,65,61
1517969333,60,67
1517971241,58,61
1517973152,41,56
1517975089,53,62
1517976995,45,63
1517978911,49,49
1517980842,41,158
1517982774,51,87
1517984671,56,65
1517986610,52,93
1517988514,59,81
1517990488,65,60
1517992363,58,3206
1517994301,58,4355
1517996369,71,3908
1517998615,100,141
1518000532,65,87
1518002533,57,72
