DateTime,Entries,UniqueIPs
1517020195,10830,10830
1517022095,10819,10819
1517024063,6548,6548
1517025876,5345,5345
1517027895,5345,5345
1517029720,5305,5305
1517031748,5290,5290
1517033571,5314,5314
1517035607,5252,5252
1517037627,5295,5295
1517039475,5278,5278
1517041481,5265,5265
1517043695,5270,5270
1517045548,5264,5264
1517047492,5279,5279
1517049413,5288,5288
1517051333,5262,5262
1517053229,5257,5257
1517055260,5256,5256
1517057067,5256,5256
1517059200,5225,5225
1517061160,5213,5213
1517062975,5192,5192
1517064880,5183,5183
1517067031,5199,5199
1517068897,5213,5213
1517070877,5196,5196
1517072916,5186,5186
1517074953,5173,5173
1517076982,5196,5196
1517078979,5137,5137
1517080849,5180,5180
1517082890,5173,5173
1517084696,5168,5168
1517086688,5167,5167
1517088511,5213,5213
1517090572,5204,5204
1517092379,5189,5189
1517094486,5185,5185
1517096463,5280,5280
1517098496,5292,5292
1517100526,5293,5293
1517102680,7659,7659
1517104590,10631,10631
1517106517,10622,10622
1517108491,10653,10653
1517110359,10650,10650
1517112298,10661,10661
1517114208,10654,10654
1517116116,10651,10651
1517118042,10622,10622
1517119978,10593,10593
1517121874,10558,10558
1517123906,10511,10511
1517125734,10548,10548
1517127657,10546,10546
1517129810,10517,10517
1517131708,10519,10519
1517134520,10492,10492
1517136508,10461,10461
1517138423,10476,10476
1517140341,10453,10453
1517142263,10449,10449
1517144180,10454,10454
1517146105,10440,10440
1517148092,10462,10462
1517150208,10474,10474
1517152358,10452,10452
1517154294,10466,10466
1517156459,10452,10452
1517158354,10428,10428
1517160290,10435,10435
1517162195,10425,10425
1517164130,10415,10415
1517166101,10449,10449
1517167980,10416,10416
1517169879,10459,10459
1517171811,10463,10463
1517173716,10420,10420
1517175637,10406,10406
1517177571,10481,10481
1517179478,10599,10599
1517181571,10663,10663
1517183568,10990,10990
1517185474,12611,12611
1517187405,13489,13489
1517189309,10619,10619
1517191294,8418,8418
1517193166,8437,8437
1517195083,8456,8456
1517196997,8558,8558
1517198919,8572,8572
1517200830,8578,8578
1517202774,8582,8582
1517204676,8608,8608
1517206608,8624,8624
1517208517,8599,8599
1517210466,8637,8637
1517212355,8619,8619
1517214280,10969,10969
1517216318,12190,12190
1517218381,12202,12202
1517220946,12259,12259
1517222932,12283,12283
1517224835,12269,12269
1517226776,12279,12279
1517228700,12285,12285
1517230610,12290,12290
1517232537,13529,13529
1517234499,14819,14819
1517236373,16678,16678
1517238276,17824,17824
1517240214,17812,17812
1517242139,17830,17830
1517244055,17910,17910
1517245973,17928,17928
1517248133,17935,17935
1517250046,17939,17939
1517251969,17928,17928
1517254147,17956,17956
1517256252,17936,17936
1517258187,17949,17949
1517260127,17971,17971
1517262024,17978,17978
1517264209,17961,17961
1517266118,17961,17961
1517268724,17922,17922
1517270939,16904,16904
1517272836,15245,15245
1517274769,15221,15221
1517276692,15235,15235
1517278609,15209,15209
1517280508,15206,15206
1517282444,15220,15220
1517284376,15158,15158
1517286286,15174,15174
1517288195,15178,15178
1517290114,15172,15172
1517292090,15188,15188
1517293979,15187,15187
1517295873,15152,15152
1517297794,15144,15144
1517299735,15212,15212
1517301641,15169,15169
1517303672,15137,15137
1517306353,15108,15108
1517308353,15061,15061
1517310348,15072,15072
1517312222,15084,15084
1517314351,15074,15074
1517316279,15364,15364
1517318223,12179,12179
1517320124,11625,11625
1517322107,9627,9627
1517323971,7821,7821
1517325964,7799,7799
1517328171,7894,7894
1517330039,7889,7889
1517331877,7835,7835
1517333937,7820,7820
1517335738,6997,6997
1517337770,5840,5840
1517339572,5843,5843
1517341548,5849,5849
1517343396,5834,5834
1517345341,5794,5794
1517347237,5806,5806
1517349430,5802,5802
1517351316,5801,5801
1517353363,5792,5792
1517355420,5799,5799
1517357330,5808,5808
1517359244,5820,5820
1517361153,5864,5864
1517363086,5899,5899
1517365055,5940,5940
1517366918,5964,5964
1517368897,5965,5965
1517370776,5977,5977
1517372755,5990,5990
1517374606,6036,6036
1517376648,6051,6051
1517378493,6062,6062
1517380406,6081,6081
1517382337,6129,6129
1517384332,6147,6147
1517386362,6097,6097
1517388290,6097,6097
1517390199,6079,6079
1517392353,6096,6096
1517394270,6151,6151
1517396089,6413,6413
1517398151,7132,7132
1517400131,8107,8107
1517401957,8035,8035
1517403898,7810,7810
1517405791,7809,7809
1517407753,7793,7793
1517409874,7758,7758
1517411818,7739,7739
1517413841,7661,7661
1517415657,7655,7655
1517417569,7687,7687
1517419695,7711,7711
1517421688,7761,7761
1517423803,7768,7768
1517425715,7777,7777
1517427631,7794,7794
1517429577,7784,7784
1517431480,7827,7827
1517433415,7817,7817
1517435318,7826,7826
1517437231,7838,7838
1517439162,7857,7857
1517441389,7859,7859
1517443309,7872,7872
1517445155,7865,7865
1517447088,7856,7856
1517449233,7840,7840
1517451157,7828,7828
1517453074,7837,7837
1517455008,7867,7867
1517456915,7838,7838
1517458840,7808,7808
1517460754,7791,7791
1517462678,7811,7811
1517464611,7804,7804
1517466512,7790,7790
1517468491,7774,7774
1517470364,7754,7754
1517472298,7742,7742
1517474195,7706,7706
1517476133,7730,7730
1517478031,7718,7718
1517479955,7688,7688
1517481874,7713,7713
1517483807,7705,7705
1517485720,7664,7664
1517487894,7671,7671
1517489787,7640,7640
1517491733,7616,7616
1517493690,7382,7382
1517495719,5746,5746
1517497720,6008,6008
1517499617,6006,6006
1517501580,5979,5979
1517503489,5944,5944
1517505423,5925,5925
1517507302,5848,5848
1517509246,5836,5836
1517511146,5835,5835
1517513083,5803,5803
1517515010,5775,5775
1517516924,5773,5773
1517518986,5725,5725
1517521234,5715,5715
1517523157,5667,5667
1517525096,5674,5674
1517526998,5662,5662
1517528915,5648,5648
1517530830,5616,5616
1517532740,5612,5612
1517534674,5611,5611
1517536581,5590,5590
1517538520,5595,5595
1517540489,5476,5476
1517542599,10018,10018
1517544512,11098,11098
1517546441,11088,11088
1517548343,11079,11079
1517550277,11070,11070
1517552185,11082,11082
1517554127,11078,11078
1517556014,11070,11070
1517557934,11045,11045
1517559879,11050,11050
1517561774,10960,10960
1517563953,12846,12846
1517566024,14540,14540
1517568064,14491,14491
1517570211,14548,14548
1517572112,14576,14576
1517574045,14556,14556
1517575953,14535,14535
1517577870,14545,14545
1517579788,14533,14533
1517581708,14479,14479
1517583687,14199,14199
1517585563,14137,14137
1517587491,14138,14138
1517589437,14116,14116
1517591347,14131,14131
1517593260,14142,14142
1517595179,14100,14100
1517597093,14136,14136
1517598997,14134,14134
1517600939,14131,14131
1517602842,14139,14139
1517604750,14125,14125
1517606692,14116,14116
1517608629,14121,14121
1517610543,14166,14166
1517612560,14180,14180
1517614937,14221,14221
1517616751,14228,14228
1517618679,14202,14202
1517620632,14206,14206
1517622523,14211,14211
1517624441,14197,14197
1517626378,14208,14208
1517628538,11347,11347
1517630493,9787,9787
1517632377,9791,9791
1517634299,9779,9779
1517636211,9765,9765
1517638136,9735,9735
1517640052,9732,9732
1517641949,9725,9725
1517643896,9732,9732
1517645803,9733,9733
1517647733,9732,9732
1517649637,8195,8195
1517651573,5598,5598
1517653711,4799,4799
1517655698,4733,4733
1517657575,4704,4704
1517659507,4695,4695
1517661637,4710,4710
1517663560,4670,4670
1517665488,4676,4676
1517667397,4678,4678
1517669311,4712,4712
1517671501,4703,4703
1517673409,4704,4704
1517675420,4693,4693
1517677306,4677,4677
1517679174,4684,4684
1517681079,4688,4688
1517683015,4700,4700
1517684947,4710,4710
1517687334,4718,4718
1517689233,4712,4712
1517691178,4712,4712
1517693072,4717,4717
1517695294,4667,4667
1517697168,4672,4672
1517699492,4628,4628
1517701710,4580,4580
1517703661,4583,4583
1517705742,4577,4577
1517707969,4573,4573
1517710149,4574,4574
1517712035,4561,4561
1517713973,4569,4569
1517715887,4637,4637
1517717806,4607,4607
1517719725,4659,4659
1517721650,4666,4666
1517723566,4702,4702
1517725477,4707,4707
1517727394,4698,4698
1517729313,4708,4708
1517731292,4736,4736
1517733401,4752,4752
1517735311,4768,4768
1517737237,6888,6888
1517739171,6923,6923
1517741342,6938,6938
1517743232,6968,6968
1517745170,7004,7004
1517747087,7029,7029
1517749003,7044,7044
1517750929,7105,7105
1517752889,7150,7150
1517754753,7153,7153
1517756684,7171,7171
1517758592,7178,7178
1517760547,7187,7187
1517762537,7193,7193
1517764630,7210,7210
1517766516,7223,7223
1517770044,7241,7241
1517772171,7236,7236
1517773976,7240,7240
1517776048,7246,7246
1517778097,7277,7277
1517779923,7298,7298
1517781865,7309,7309
1517783673,7315,7315
1517785475,7285,7285
1517787641,7299,7299
1517789819,7282,7282
1517791978,7295,7295
1517793910,7309,7309
1517796095,7305,7305
1517797977,7309,7309
1517799884,7328,7328
1517801817,7278,7278
1517803744,7256,7256
1517805656,7224,7224
1517807577,7221,7221
1517809478,7212,7212
1517811428,7211,7211
1517813343,7207,7207
1517815481,7215,7215
1517817692,7207,7207
1517819568,7794,7794
1517821476,10751,10751
1517823423,10813,10813
1517825338,10802,10802
1517827497,10796,10796
1517829856,10870,10870
1517831779,10878,10878
1517833700,10876,10876
1517835683,10901,10901
1517837489,10848,10848
1517839463,9460,9460
1517841399,9562,9562
1517843561,9559,9559
1517845486,9558,9558
1517847400,9571,9571
1517849311,9583,9583
1517851231,9603,9603
1517853390,9642,9642
1517855556,9667,9667
1517857478,9681,9681
1517859413,9692,9692
1517861543,9655,9655
1517863494,9626,9626
1517865390,9603,9603
1517867329,9599,9599
1517869232,9626,9626
1517871179,9629,9629
1517873076,9691,9691
1517875008,9697,9697
1517876924,11217,11217
1517878932,12348,12348
1517880770,12348,12348
1517882675,12341,12341
1517884613,12339,12339
1517886536,12305,12305
1517888425,12313,12313
1517890368,12346,12346
1517892264,12321,12321
1517894213,12299,12299
1517896134,12303,12303
1517898029,12299,12299
1517899964,12335,12335
1517901881,12337,12337
1517903803,12337,12337
1517905698,14959,14959
1517907712,16030,16030
1517909544,19142,19142
1517911485,19247,19247
1517913380,19291,19291
1517916402,19259,19259
1517918258,19253,19253
1517920115,19256,19256
1517922212,19238,19238
1517924190,19244,19244
1517926007,19147,19147
1517928016,19129,19129
1517930215,19119,19119
1517932296,19115,19115
1517934526,19133,19133
1517936496,19117,19117
1517938403,19080,19080
1517940275,19056,19056
1517942444,19043,19043
1517944363,19076,19076
1517946279,19086,19086
1517948201,19094,19094
1517950122,19092,19092
1517952032,19137,19137
1517953958,19126,19126
1517955871,19128,19128
1517957830,19170,19170
1517959710,19127,19127
1517961704,19037,19037
1517963551,17469,17469
1517965479,16568,16568
1517967394,16572,16572
1517969333,16565,16565
1517971241,16562,16562
1517973152,16547,16547
1517975089,16538,16538
1517976995,16520,16520
1517978911,16520,16520
1517980842,16403,16403
1517982774,16367,16367
1517984671,16358,16358
1517986610,16317,16317
1517988514,16295,16295
1517990488,16300,16300
1517992363,13152,13152
1517994301,8855,8855
1517996369,5018,5018
1517998615,4977,4977
1518000532,4955,4955
1518002533,4940,4940
