DateTime,Entries,UniqueIPs
1517020196,1247,1247
1517022096,1245,1245
1517024064,1250,1250
1517025877,1239,1239
1517027896,1232,1232
1517029721,1226,1226
1517031748,1217,1217
1517033572,1220,1220
1517035607,1216,1216
1517037628,1234,1234
1517039476,1241,1241
1517041482,1236,1236
1517043696,1239,1239
1517045549,1237,1237
1517047493,1245,1245
1517049414,1240,1240
1517051333,1238,1238
1517053230,1242,1242
1517055261,1235,1235
1517057068,1243,1243
1517059200,1220,1220
1517061160,1233,1233
1517062975,1229,1229
1517064881,1232,1232
1517067032,1230,1230
1517068898,1227,1227
1517070878,1223,1223
1517072917,1204,1204
1517074953,1198,1198
1517076983,1190,1190
1517078980,1185,1185
1517080849,1193,1193
1517082891,1176,1176
1517084697,1183,1183
1517086689,1185,1185
1517088511,1186,1186
1517090572,1187,1187
1517092380,1181,1181
1517094487,1183,1183
1517096465,1178,1178
1517098497,1188,1188
1517100527,1205,1205
1517102681,1180,1180
1517104591,1175,1175
1517106517,1176,1176
1517108492,1178,1178
1517110359,1163,1163
1517112298,1176,1176
1517114209,1182,1182
1517116117,1185,1185
1517118043,1186,1186
1517119979,1185,1185
1517121875,1058,1058
1517123907,1047,1047
1517125735,1045,1045
1517127658,1046,1046
1517129811,1045,1045
1517131709,1041,1041
1517134521,1032,1032
1517136508,1018,1018
1517138424,1025,1025
1517140342,1036,1036
1517142264,1033,1033
1517144181,1025,1025
1517146106,1031,1031
1517148093,1017,1017
1517150209,1035,1035
1517152359,1034,1034
1517154295,1045,1045
1517156460,1048,1048
1517158355,1044,1044
1517160291,1041,1041
1517162196,1043,1043
1517164131,1041,1041
1517166102,1037,1037
1517167981,1036,1036
1517169880,1050,1050
1517171812,1048,1048
1517173717,1047,1047
1517175638,1046,1046
1517177572,1081,1081
1517179479,1113,1113
1517181572,1143,1143
1517183571,1163,1163
1517185475,1175,1175
1517187406,1173,1173
1517189311,1183,1183
1517191295,1201,1201
1517193166,1199,1199
1517195084,1220,1220
1517196998,1238,1238
1517198920,1247,1247
1517200831,1247,1247
1517202774,1264,1264
1517204677,1274,1274
1517206610,1280,1280
1517208518,1282,1282
1517210466,1296,1296
1517212356,1289,1289
1517214281,3930,3930
1517216319,5380,5380
1517218382,5388,5388
1517220947,5408,5408
1517222933,5413,5413
1517224837,5415,5415
1517226777,5406,5406
1517228701,5417,5417
1517230611,5413,5413
1517232538,6772,6772
1517234500,8161,8161
1517236374,10046,10046
1517238277,11230,11230
1517240215,11229,11229
1517242140,11229,11229
1517244057,11307,11307
1517245975,11306,11306
1517248134,11304,11304
1517250047,11306,11306
1517251970,11315,11315
1517254149,11314,11314
1517256253,11324,11324
1517258188,11333,11333
1517260128,11342,11342
1517262025,11360,11360
1517264211,11344,11344
1517266119,11343,11343
1517268725,11319,11319
1517270941,11315,11315
1517272837,11315,11315
1517274770,11312,11312
1517276694,11311,11311
1517278610,11308,11308
1517280510,11292,11292
1517282445,11302,11302
1517284377,11304,11304
1517286287,11314,11314
1517288196,11307,11307
1517290116,11293,11293
1517292091,11296,11296
1517293980,11286,11286
1517295875,11288,11288
1517297795,11293,11293
1517299736,11297,11297
1517301643,11298,11298
1517303673,11297,11297
1517306355,11292,11292
1517308354,11285,11285
1517310349,11286,11286
1517312224,11288,11288
1517314352,11289,11289
1517316280,11568,11568
1517318224,8233,8233
1517320125,7638,7638
1517322108,5608,5608
1517323972,3755,3755
1517325966,3710,3710
1517328172,3733,3733
1517330040,3729,3729
1517331878,3661,3661
1517333938,3656,3656
1517335739,2788,2788
1517337772,1552,1552
1517339573,1542,1542
1517341549,1546,1546
1517343397,1542,1542
1517345342,1537,1537
1517347240,1526,1526
1517349431,1519,1519
1517351317,1527,1527
1517353363,1528,1528
1517355421,1543,1543
1517357331,1551,1551
1517359245,1548,1548
1517361154,1555,1555
1517363087,1558,1558
1517365056,1554,1554
1517366919,1562,1562
1517368898,1547,1547
1517370777,1546,1546
1517372756,1543,1543
1517374607,1549,1549
1517376649,1552,1552
1517378494,1553,1553
1517380407,1567,1567
1517382338,1556,1556
1517384333,1556,1556
1517386363,1570,1570
1517388291,1578,1578
1517390200,1583,1583
1517392354,1581,1581
1517394270,1590,1590
1517396090,1851,1851
1517398152,2606,2606
1517400132,3695,3695
1517401958,3595,3595
1517403900,3363,3363
1517405792,3366,3366
1517407754,3363,3363
1517409875,3365,3365
1517411819,3371,3371
1517413842,3338,3338
1517415658,3353,3353
1517417570,3355,3355
1517419696,3357,3357
1517421689,3357,3357
1517423804,3354,3354
1517425715,3358,3358
1517427632,3348,3348
1517429578,3349,3349
1517431480,3350,3350
1517433416,3350,3350
1517435319,3349,3349
1517437232,3341,3341
1517439163,3337,3337
1517441390,3330,3330
1517443310,3316,3316
1517445157,3320,3320
1517447089,3325,3325
1517449234,3317,3317
1517451158,3312,3312
1517453075,3306,3306
1517455009,3307,3307
1517456916,3302,3302
1517458841,3292,3292
1517460755,3294,3294
1517462679,3304,3304
1517464612,3304,3304
1517466513,3293,3293
1517468491,3287,3287
1517470365,3281,3281
1517472299,3280,3280
1517474196,3271,3271
1517476134,3280,3280
1517478032,3275,3275
1517479956,3268,3268
1517481875,3268,3268
1517483808,3272,3272
1517485722,3249,3249
1517487895,3260,3260
1517489788,3254,3254
1517491734,3258,3258
1517493691,3003,3003
1517495720,1111,1111
1517497721,1101,1101
1517499618,1105,1105
1517501581,1089,1089
1517503490,1083,1083
1517505424,1084,1084
1517507303,1077,1077
1517509247,1074,1074
1517511146,1078,1078
1517513084,1068,1068
1517515011,1054,1054
1517516925,1046,1046
1517518987,1034,1034
1517521235,1037,1037
1517523158,1034,1034
1517525097,1037,1037
1517526999,1030,1030
1517528916,1037,1037
1517530831,1031,1031
1517532740,1027,1027
1517534675,1025,1025
1517536582,1019,1019
1517538521,1017,1017
1517540490,1020,1020
1517542600,1012,1012
1517544513,1017,1017
1517546442,1002,1002
1517548344,1000,1000
