DateTime,Entries,UniqueIPs
1517020196,447,447
1517022096,445,445
1517024064,452,452
1517025877,449,449
1517027896,463,463
1517029721,456,456
1517031749,459,459
1517033572,464,464
1517035608,461,461
1517037628,460,460
1517039476,467,467
1517041482,470,470
1517043696,463,463
1517045549,459,459
1517047493,463,463
1517049414,460,460
1517051334,461,461
1517053230,459,459
1517055261,463,463
1517057068,468,468
1517059201,469,469
1517061161,466,466
1517062975,461,461
1517064881,449,449
1517067033,448,448
1517068898,454,454
1517070878,460,460
1517072917,461,461
1517074954,466,466
1517076983,465,465
1517078980,458,458
1517080850,462,462
1517082891,462,462
1517084697,463,463
1517086689,462,462
1517088512,469,469
1517090573,464,464
1517092380,465,465
1517094487,459,459
1517096466,458,458
1517098497,459,459
1517100527,466,466
1517102681,469,469
1517104592,472,472
1517106518,472,472
1517108492,472,472
1517110360,473,473
1517112299,480,480
1517114209,470,470
1517116117,461,461
1517118043,456,456
1517119979,456,456
1517121875,459,459
1517123907,457,457
1517125735,455,455
1517127658,454,454
1517129811,456,456
1517131709,458,458
1517134522,453,453
1517136509,450,450
1517138424,457,457
1517140342,457,457
1517142264,452,452
1517144181,452,452
1517146107,442,442
1517148093,442,442
1517150210,437,437
1517152359,439,439
1517154295,442,442
1517156460,440,440
1517158356,435,435
1517160291,440,440
1517162196,444,444
1517164131,441,441
1517166103,447,447
1517167981,442,442
1517169880,440,440
1517171813,445,445
1517173717,448,448
1517175638,451,451
1517177572,446,446
1517179480,442,442
1517181573,448,448
1517183572,458,458
1517185475,462,462
1517187406,468,468
1517189311,472,472
1517191295,473,473
1517193167,473,473
1517195084,473,473
1517196998,477,477
1517198920,473,473
1517200831,475,475
1517202775,477,477
1517204678,482,482
1517206610,474,474
1517208518,474,474
1517210467,477,477
1517212356,482,482
1517214281,471,471
1517216319,476,476
1517218383,470,470
1517220948,478,478
1517222933,479,479
1517224837,474,474
1517226777,474,474
1517228702,478,478
1517230611,482,482
1517232538,484,484
1517234500,487,487
1517236375,488,488
1517238278,491,491
1517240215,490,490
1517242140,486,486
1517244057,481,481
1517245975,480,480
1517248135,476,476
1517250047,476,476
1517251970,471,471
1517254149,474,474
1517256254,480,480
1517258189,470,470
1517260129,467,467
1517262026,462,462
1517264211,468,468
1517266119,479,479
1517268725,471,471
1517270943,465,465
1517272838,449,449
1517274770,453,453
1517276694,447,447
1517278611,440,440
1517280510,441,441
1517282445,442,442
1517284378,440,440
1517286287,438,438
1517288196,436,436
1517290116,439,439
1517292091,440,440
1517293981,444,444
1517295875,439,439
1517297796,439,439
1517299737,445,445
1517301643,444,444
1517303674,446,446
1517306355,441,441
1517308354,435,435
1517310349,431,431
1517312224,429,429
1517314353,418,418
1517316281,419,419
1517318224,421,421
1517320126,411,411
1517322109,418,418
1517323972,416,416
1517325966,412,412
1517328173,415,415
1517330040,418,418
1517331878,417,417
1517333938,411,411
1517335740,412,412
1517337772,416,416
1517339573,418,418
1517341549,426,426
1517343398,422,422
1517345342,429,429
1517347240,431,431
1517349432,433,433
1517351317,435,435
1517353364,426,426
1517355422,424,424
1517357332,422,422
1517359245,423,423
1517361154,416,416
1517363087,421,421
1517365056,423,423
1517366919,420,420
1517368898,420,420
1517370778,426,426
1517372756,426,426
1517374608,428,428
1517376650,429,429
1517378494,424,424
1517380407,420,420
1517382338,425,425
1517384334,425,425
1517386364,420,420
1517388291,417,417
1517390200,413,413
1517392354,419,419
1517394271,417,417
1517396090,424,424
1517398152,429,429
1517400132,430,430
1517401958,433,433
1517403900,433,433
1517405792,439,439
1517407755,435,435
1517409876,431,431
1517411819,428,428
1517413842,424,424
1517415659,424,424
1517417570,425,425
1517419696,435,435
1517421689,435,435
1517423804,432,432
1517425716,430,430
1517427632,424,424
1517429578,427,427
1517431481,428,428
1517433416,425,425
1517435319,425,425
1517437232,419,419
1517439163,428,428
1517441391,435,435
1517443310,438,438
1517445158,439,439
1517447090,441,441
1517449235,431,431
1517451158,430,430
1517453076,425,425
1517455010,427,427
1517456916,424,424
1517458841,418,418
1517460756,413,413
1517462679,420,420
1517464612,416,416
1517466513,416,416
1517468492,409,409
1517470365,410,410
1517472299,411,411
1517474197,408,408
1517476134,409,409
1517478032,403,403
1517479956,407,407
1517481875,401,401
1517483808,400,400
1517485723,394,394
1517487896,396,396
1517489788,397,397
1517491735,388,388
1517493692,394,394
1517495720,390,390
1517497721,388,388
1517499619,386,386
1517501582,390,390
1517503490,389,389
1517505424,383,383
1517507303,373,373
1517509248,372,372
1517511147,378,378
1517513084,373,373
1517515011,370,370
1517516925,372,372
1517518987,366,366
1517521235,362,362
1517523159,363,363
1517525097,358,358
1517526999,351,351
1517528916,350,350
1517530831,345,345
1517532741,345,345
1517534675,347,347
1517536582,353,353
1517538521,355,355
1517540490,352,352
1517542600,348,348
1517544513,354,354
1517546442,356,356
1517548344,354,354
1517550279,352,352
1517552186,352,352
1517554128,352,352
1517556015,354,354
1517557935,354,354
1517559880,359,359
1517561776,361,361
1517563955,365,365
1517566025,363,363
1517568065,362,362
1517570213,362,362
1517572113,369,369
1517574050,364,364
1517575955,364,364
1517577872,368,368
1517579789,366,366
1517581709,364,364
1517583688,364,364
1517585564,365,365
1517587492,366,366
1517589438,364,364
1517591348,371,371
1517593261,375,375
1517595180,377,377
1517597095,372,372
1517598999,373,373
1517600941,378,378
1517602843,379,379
1517604751,372,372
1517606694,371,371
1517608631,370,370
1517610545,367,367
1517612562,367,367
1517614938,367,367
1517616752,372,372
1517618680,366,366
1517620633,365,365
