DateTime,Entries,UniqueIPs
1517020196,246,246
1517022096,240,240
1517024065,244,244
1517025878,242,242
1517027896,241,241
1517029721,239,239
1517031749,244,244
1517033572,244,244
1517035608,246,246
1517037628,246,246
1517039477,247,247
1517041482,233,233
1517043697,225,225
1517045550,223,223
1517047493,229,229
1517049414,229,229
1517051334,226,226
1517053231,224,224
1517055261,220,220
1517057069,215,215
1517059201,214,214
1517061161,217,217
1517062976,214,214
1517064881,217,217
1517067034,214,214
1517068898,211,211
1517070878,212,212
1517072918,217,217
1517074954,217,217
1517076983,224,224
1517078980,226,226
1517080850,225,225
1517082892,227,227
1517084697,226,226
1517086689,234,234
1517088512,232,232
1517090573,229,229
1517092380,228,228
1517094487,229,229
1517096467,223,223
1517098497,224,224
1517100527,226,226
1517102682,215,215
1517104592,213,213
1517106518,209,209
1517108492,210,210
1517110360,209,209
1517112299,210,210
1517114209,208,208
1517116118,210,210
1517118044,204,204
1517119979,207,207
1517121875,207,207
1517123907,203,203
1517125736,206,206
1517127659,205,205
1517129811,207,207
1517131710,205,205
1517134522,202,202
1517136509,200,200
1517138425,201,201
1517140342,202,202
1517142265,208,208
1517144181,207,207
1517146107,201,201
1517148094,196,196
1517150210,201,201
1517152359,199,199
1517154295,200,200
1517156460,201,201
1517158356,201,201
1517160292,198,198
1517162196,196,196
1517164131,200,200
1517166103,201,201
1517167982,204,204
1517169881,200,200
1517171813,198,198
1517173718,193,193
1517175639,197,197
1517177573,203,203
1517179480,207,207
1517181573,213,213
1517183573,212,212
1517185475,219,219
1517187407,226,226
1517189311,238,238
1517191296,244,244
1517193167,256,256
1517195085,263,263
1517196999,262,262
1517198921,272,272
1517200831,278,278
1517202775,279,279
1517204678,281,281
1517206611,288,288
1517208519,288,288
1517210467,295,295
1517212357,293,293
1517214281,293,293
1517216319,297,297
1517218383,297,297
1517220949,306,306
1517222934,311,311
1517224837,311,311
1517226778,311,311
1517228702,313,313
1517230611,316,316
1517232539,320,320
1517234501,321,321
1517236375,317,317
1517238278,322,322
1517240216,325,325
1517242141,325,325
1517244057,323,323
1517245975,321,321
1517248135,322,322
1517250048,315,315
1517251971,315,315
1517254150,315,315
1517256254,316,316
1517258189,316,316
1517260129,321,321
1517262026,320,320
1517264212,322,322
1517266120,312,312
1517268726,300,300
1517270943,300,300
1517272838,290,290
1517274771,287,287
1517276694,280,280
1517278611,275,275
1517280510,270,270
1517282446,277,277
1517284378,274,274
1517286288,270,270
1517288197,271,271
1517290116,264,264
1517292092,262,262
1517293981,258,258
1517295875,256,256
1517297796,260,260
1517299737,260,260
1517301643,258,258
1517303674,257,257
1517306355,252,252
1517308355,249,249
1517310350,249,249
1517312224,248,248
1517314353,243,243
1517316281,242,242
1517318224,243,243
1517320126,246,246
1517322109,247,247
1517323973,243,243
1517325966,237,237
1517328173,238,238
1517330041,242,242
1517331879,245,245
1517333939,244,244
1517335740,244,244
1517337773,252,252
1517339573,249,249
1517341549,251,251
1517343398,249,249
1517345343,250,250
1517347240,245,245
1517349432,238,238
1517351318,238,238
1517353364,246,246
1517355422,247,247
1517357332,243,243
1517359245,244,244
1517361155,240,240
1517363087,246,246
1517365057,247,247
1517366920,248,248
1517368898,239,239
1517370778,240,240
1517372756,249,249
1517374608,250,250
1517376650,254,254
1517378495,256,256
1517380408,261,261
1517382339,258,258
1517384334,258,258
1517386364,261,261
1517388292,262,262
1517390200,258,258
1517392354,262,262
1517394271,267,267
1517396090,269,269
1517398153,269,269
1517400132,271,271
1517401959,271,271
1517403900,269,269
1517405793,261,261
1517407755,261,261
1517409877,262,262
1517411820,266,266
1517413843,265,265
1517415659,267,267
1517417571,268,268
1517419697,267,267
1517421689,262,262
1517423805,254,254
1517425716,251,251
1517427632,258,258
1517429578,258,258
1517431481,259,259
1517433417,262,262
1517435320,260,260
1517437233,266,266
1517439164,263,263
1517441392,266,266
1517443311,264,264
1517445159,264,264
1517447090,266,266
1517449235,265,265
1517451158,262,262
1517453076,264,264
1517455010,259,259
1517456917,262,262
1517458842,256,256
1517460756,252,252
1517462680,246,246
1517464612,247,247
1517466514,243,243
1517468492,243,243
1517470366,247,247
1517472300,244,244
1517474197,243,243
1517476134,246,246
1517478032,242,242
1517479957,236,236
1517481876,232,232
1517483809,227,227
1517485723,228,228
1517487896,227,227
1517489788,225,225
1517491735,227,227
1517493692,230,230
1517495721,226,226
1517497721,226,226
1517499619,221,221
1517501582,219,219
1517503490,213,213
1517505425,219,219
1517507303,220,220
1517509248,224,224
1517511147,223,223
1517513085,223,223
1517515012,217,217
1517516926,213,213
1517518987,212,212
1517521236,214,214
1517523159,209,209
1517525098,209,209
1517526999,210,210
1517528916,209,209
1517530832,208,208
1517532741,208,208
1517534676,211,211
1517536583,210,210
1517538521,204,204
1517540490,206,206
1517542601,211,211
1517544513,210,210
1517546443,205,205
1517548345,208,208
1517550279,212,212
1517552187,214,214
1517554129,211,211
1517556016,215,215
1517557935,212,212
1517559881,215,215
1517561776,207,207
1517563955,212,212
1517566026,213,213
1517568066,219,219
1517570213,222,222
1517572113,211,211
1517574051,212,212
