DateTime,Entries,UniqueIPs
1516775818,49,49
1516777738,50,50
1516781765,50,50
1516783703,48,48
1516785713,47,47
1516787569,49,49
1516789506,48,48
1516791412,47,47
1516793361,48,48
1516795330,47,47
1516797428,49,49
1516807014,48,48
1516808951,49,49
1516814944,47,47
1516816942,48,48
1516818774,46,46
1516820703,46,46
1516824541,44,44
1516826431,46,46
1516828402,45,45
1516830278,46,46
1516834062,44,44
1516836083,45,45
1516838258,47,47
1516840125,48,48
1516842134,50,50
1516845918,47,47
1516847842,48,48
1516853603,48,48
1516857458,47,47
1516859324,47,47
1516861270,46,46
1516863160,45,45
1516865119,44,44
1516866995,45,45
1516868957,44,44
1516870902,45,45
1516872817,44,44
1516874693,43,43
1516876635,41,41
1516880453,41,41
1516882369,40,40
1516884309,41,41
1516891995,42,42
1516895855,41,41
1516901560,39,39
1516903512,38,38
1516905392,37,37
1516907377,36,36
1516913089,37,37
1516915030,36,36
1516916908,35,35
1516918880,38,38
1516921720,40,40
1516923700,37,37
1516925546,40,40
1516927543,39,39
1516929653,41,41
1516933490,42,42
1516935448,41,41
1516937305,42,42
1516943160,43,43
1516944987,44,44
1516946977,47,47
1516948851,49,49
1516950871,48,48
1516952907,47,47
1516956744,48,48
1516960584,47,47
1516964205,46,46
1516966247,46,46
1516968293,47,47
1516972363,48,48
1516974291,49,49
1516976217,50,50
1516978134,49,49
1516983896,59,59
1516989907,60,60
1516991813,59,59
1516993963,63,63
1516995873,65,65
1516997820,67,67
1516999713,67,67
1517001640,67,67
1517003573,72,72
1517005490,71,71
1517008047,71,71
1517010066,73,73
1517012217,73,73
1517014136,71,71
1517016042,68,68
1517018214,69,69
1517020197,69,69
1517024065,70,70
1517027897,71,71
1517029722,70,70
1517031750,69,69
1517033573,67,67
1517035609,65,65
1517039477,66,66
1517041483,65,65
1517043697,66,66
1517045550,67,67
1517051335,67,67
1517055262,66,66
1517059202,63,63
1517062976,62,62
1517064882,62,62
1517067034,64,64
1517068899,63,63
1517070879,59,59
1517072918,58,58
1517074955,59,59
1517076984,58,58
1517078981,64,64
1517080851,63,63
1517082892,60,60
1517084698,61,61
1517086690,60,60
1517088513,58,58
1517092381,56,56
1517094488,55,55
1517096468,56,56
1517098498,57,57
1517100528,58,58
1517102683,60,60
1517104592,59,59
1517106519,58,58
1517108493,59,59
1517110361,59,59
1517112300,61,61
1517114210,62,62
1517116118,64,64
1517121876,64,64
1517125736,63,63
1517129812,62,62
1517131711,62,62
1517134523,61,61
1517138426,61,61
1517140343,62,62
1517142265,62,62
1517144182,61,61
1517146108,63,63
1517148095,64,64
1517150211,65,65
1517152360,63,63
1517156461,65,65
1517158357,64,64
1517160292,66,66
1517162197,67,67
1517164132,60,60
1517166104,59,59
1517167982,61,61
1517169881,62,62
1517171814,61,61
1517173718,62,62
1517175639,65,65
1517179481,66,66
1517181574,70,70
1517183575,72,72
1517185476,70,70
1517187407,73,73
1517189312,76,76
1517191296,78,78
1517195086,80,80
1517196999,80,80
1517198921,81,81
1517200832,81,81
1517202776,80,80
1517204679,81,81
1517206611,82,82
1517208519,82,82
1517214282,83,83
1517218384,82,82
1517220950,80,80
1517222934,82,82
1517226778,84,84
1517232539,81,81
1517234501,84,84
1517236376,84,84
1517238279,83,83
1517242142,81,81
1517245976,80,80
1517250048,78,78
1517251972,78,78
1517254151,81,81
