DateTime,AddedIPs,RemovedIPs
1515901088,2,0
1515902999,1,0
1515904971,1857,2
1515906794,1023,0
1515910658,0,1
1515912869,0,1
1515914718,0,1
1515916767,1,1
1515920630,2,0
1515922600,1,0
1515926247,1,0
1515932113,0,2
1515934142,1,0
1515951641,1,0
1515957427,1,0
1515962133,0,1
1515964115,0,1
1515966085,2,0
1515978404,2,1
1515982282,1,0
1515986316,1,2
1515988141,0,1
1515990178,1,510
1515992169,0,2369
1515996093,1,0
1516001961,1,0
1516003945,0,2
1516005876,4,0
1516007814,1,2
1516011887,1,1
1516013801,1,0
1516019336,0,1
1516035413,0,1
1516037340,1,2
1516045013,5,1
1516047406,0,1
1516049322,1,0
1516051152,1,1
1516053168,0,1
1516063247,0,1
1516065176,0,1
1516067096,0,1
1516069019,0,1
1516072843,0,1
1516076694,1,1
1516082497,0,1
1516086296,1,0
1516088226,0,1
1516092057,1,3
1516094233,0,2
1516096124,1,0
1516098057,0,1
1516100186,0,1
1516102381,1,0
1516117982,1,0
1516124447,0,1
1516132116,0,5
1516134050,0,1
1516135983,0,1
1516139805,1,0
1516159716,1,0
1516161701,2,0
1516163569,0,1
1516171740,0,1
1516175576,1,0
1516177499,1,0
1516179702,0,1
1516182031,0,1
1516187957,0,1
1516189762,1,0
1516197761,3,0
1516201555,1,0
1516203543,1,0
1516205410,0,1
1516209650,1,0
1516217340,1,0
1516223609,1,0
1516225642,0,1
1516227683,1,0
1516231718,1,0
1516244965,0,1
1516247146,0,2
1516258950,1,0
1516260969,1,1
1516264756,0,1
1516266609,1,0
1516268543,1,0
1516276951,0,1
1516282838,67,0
1516284844,0,3
1516286677,1,1
1516290763,0,1
1516297016,0,1
1516303526,0,1
1516307814,1,0
1516309684,0,1
1516318162,0,1
1516320108,2,0
1516326070,1,0
1516328325,1,0
1516341160,1,0
1516345299,0,1
1516347166,1,1
1516353161,0,1
1516355076,0,1
1516370954,0,67
1516372859,0,1
1516378859,1,0
1516388841,5,0
1516392988,0,1
1516395184,1,0
1516397343,1,0
1516399336,1,0
1516401183,0,1
1516407170,0,1
1516411011,1,0
1516412928,0,2
1516416763,1,0
1516418735,1,0
1516420596,1,0
1516424527,2,0
1516426620,0,1
1516428557,1,0
1516432363,1,1
1516436467,688,0
1516438385,2217,0
1516447182,1,0
1516476306,0,3
1516482101,1,0
1516485898,0,1
1516491669,1,0
1516499337,1,0
1516503164,0,1
1516505098,1,1
1516507004,1,1
1516510909,0,2
1516516648,2,0
1516518517,0,1
1516522389,2,3
1516524285,0,6
1516530244,1,0
1516532214,0,1
1516542045,51,664
1516543967,0,2223
1516563155,5,0
1516565080,1,0
1516567015,1,0
1516568913,1,1
1516578459,0,1
1516584516,1,1
1516586525,1,0
1516592209,1,1
1516594115,0,1
1516597972,1,0
1516601804,0,1
1516603720,0,1
1516605634,2,0
1516607552,0,1
1516609485,1,1
1516617145,0,1
1516621222,2,0
1516623048,2,0
1516628806,0,67
1516630618,1,0
1516634431,1,0
1516640496,1,0
1516642379,1,0
1516648143,1,3
1516650058,0,2
1516651977,0,2
1516656625,4,1
1516660395,67,0
1516664101,1,0
1516668034,3,0
1516669965,3,0
1516671884,0,2
1516673807,0,1
1516675716,1,0
1516677669,3,1
1516679551,2,0
1516685316,0,1
1516689207,1,0
1516691080,1,0
1516692995,4,2
1516694914,1,1
1516696836,1,0
1516700702,1,0
1516704517,1,0
1516708353,1,3
1516710314,0,1
1516712188,1,0
1516718225,0,1
1516720120,3,1
1516725895,1,1
1516730768,0,1
1516736686,1,0
1516742504,1,3
1516744376,0,1
1516748245,1,0
1516750760,1,1
1516752781,1,67
1516754691,0,3
1516756617,0,3
1516760429,0,1
1516762343,1,0
1516764290,1,3
1516766183,1,2
1516768156,1,0
1516770113,1,1
1516771980,1,0
1516773911,2,0
1516775819,0,1
1516777738,0,1
1516779875,1,4
1516781765,0,1
1516783703,3,1
1516785713,1,1
1516787569,1,0
1516789507,1,0
1516791412,0,1
1516795330,0,1
1516799336,0,1
1516801299,1,0
1516807014,0,3
1516810864,0,1
1516816942,1,0
1516820704,1,0
1516822612,3,1
1516824541,1,0
1516828402,1,1
1516832258,1,0
1516836083,1,1
1516838259,1,1
1516840126,1,0
1516842135,1,0
1516843963,1,0
1516845918,2,0
1516847842,4,1
1516849752,0,1
1516851632,3,1
1516853603,2,1
1516855483,2,0
1516857458,2,2
1516859324,0,1
1516861270,2,1
1516863160,2,0
1516865120,1,0
1516866995,2,1
1516868958,2,1
1516870902,1,2
