DateTime,Entries,UniqueIPs
1517020198,828,828
1517022098,839,839
1517024066,856,856
1517025879,871,871
1517027898,894,894
1517029722,917,917
1517031750,951,951
1517033573,971,971
1517035609,990,990
1517037630,1003,1003
1517039478,1021,1021
1517041484,1044,1044
1517043698,1070,1070
1517045551,1090,1090
1517047494,1117,1117
1517049415,1148,1148
1517051335,1160,1160
1517053232,1181,1181
1517055262,1187,1187
1517057070,1194,1194
1517059203,1200,1200
1517061162,1204,1204
1517062977,1212,1212
1517064882,1218,1218
1517067035,1222,1222
1517068900,1229,1229
1517070880,1235,1235
1517072919,1236,1236
1517074955,1238,1238
1517076986,1234,1234
1517078981,1239,1239
1517080851,1254,1254
1517082893,1260,1260
1517084698,1262,1262
1517086690,1253,1253
1517088513,1257,1257
1517090574,1249,1249
1517092381,1245,1245
1517094489,1232,1232
1517096469,1228,1228
1517098498,1225,1225
1517100528,1226,1226
1517102683,1229,1229
1517104593,1226,1226
1517106519,1227,1227
1517108494,1225,1225
1517110361,1224,1224
1517112300,1227,1227
1517114211,1217,1217
1517116119,1212,1212
1517118045,1211,1211
1517119981,1208,1208
1517121877,1203,1203
1517123908,1196,1196
1517125737,1201,1201
1517127660,1191,1191
1517129813,1185,1185
1517131711,1179,1179
1517134524,1164,1164
1517136510,1145,1145
1517138426,1138,1138
1517140344,1134,1134
1517142266,1125,1125
1517144183,1120,1120
1517146108,1114,1114
1517148096,1097,1097
1517150211,1088,1088
1517152361,1075,1075
1517154297,1070,1070
1517156462,1063,1063
1517158357,1061,1061
1517160293,1042,1042
1517162198,1043,1043
1517164134,1038,1038
1517166104,1020,1020
1517167983,1019,1019
1517169882,1023,1023
1517171814,1018,1018
1517173719,1024,1024
1517175640,1027,1027
1517177574,1034,1034
1517179481,1040,1040
1517181574,1059,1059
1517183575,1070,1070
1517185477,1073,1073
1517187408,1084,1084
1517189313,1087,1087
1517191297,1098,1098
1517193168,1100,1100
1517195086,1099,1099
1517197000,1103,1103
1517198922,1095,1095
1517200833,1091,1091
1517202777,1095,1095
1517204679,1085,1085
1517206612,1086,1086
1517208520,1085,1085
1517210468,1081,1081
1517212358,1075,1075
1517214283,1065,1065
1517216321,1061,1061
1517218384,1054,1054
1517220952,1059,1059
1517222935,1057,1057
1517224839,1053,1053
1517226779,1054,1054
1517228704,1055,1055
1517230612,1062,1062
1517232540,1054,1054
1517234502,1048,1048
1517236377,1042,1042
1517238280,1033,1033
1517240217,1027,1027
1517242142,1019,1019
1517244059,1006,1006
1517245977,1007,1007
1517248137,1005,1005
1517250049,996,996
1517251972,986,986
1517254152,940,940
1517256256,895,895
1517258191,853,853
1517260130,823,823
1517262027,796,796
1517264213,764,764
1517266121,758,758
1517268727,780,780
1517270946,791,791
1517272839,792,792
1517274772,790,790
1517276696,804,804
1517278612,807,807
1517280512,803,803
1517282448,804,804
1517284379,804,804
1517286289,813,813
1517288198,840,840
1517290118,844,844
1517292093,847,847
1517293982,859,859
1517295877,871,871
1517297797,889,889
1517299738,904,904
1517301645,913,913
1517303675,918,918
1517306357,919,919
1517308356,923,923
1517310351,921,921
1517312226,916,916
1517314354,900,900
1517316282,893,893
1517318226,880,880
1517320128,869,869
1517322110,856,856
1517323974,845,845
1517325968,847,847
1517328174,845,845
1517330042,834,834
1517331880,824,824
1517333940,804,804
1517335742,798,798
1517337774,781,781
1517339574,774,774
1517341550,761,761
1517343399,748,748
1517345344,732,732
1517347242,721,721
1517349433,710,710
1517351319,699,699
1517353365,666,666
1517355423,668,668
1517357333,667,667
1517359247,666,666
1517361156,677,677
1517363088,669,669
1517365058,670,670
1517366921,679,679
1517368899,675,675
1517370779,677,677
1517372758,663,663
1517374609,640,640
1517376653,624,624
1517378496,616,616
1517380409,603,603
1517382340,585,585
1517384335,562,562
1517386365,532,532
1517388294,519,519
1517390202,513,513
1517392356,503,503
1517394272,494,494
1517396092,494,494
1517398154,506,506
1517400134,506,506
1517401960,514,514
1517403902,520,520
1517405794,537,537
1517407757,551,551
1517409878,553,553
1517411821,553,553
1517413844,558,558
1517415660,567,567
1517417572,571,571
1517419698,579,579
1517421691,588,588
1517423806,591,591
1517425719,593,593
1517427634,596,596
1517429580,605,605
1517431482,602,602
1517433418,602,602
1517435321,607,607
1517437234,613,613
1517439165,616,616
1517441394,616,616
1517443312,617,617
1517445163,632,632
1517447091,627,627
1517449236,613,613
1517451160,612,612
1517453077,607,607
1517455011,613,613
1517456918,618,618
1517458843,630,630
1517460757,635,635
1517462681,644,644
1517464614,663,663
1517466515,678,678
1517468493,689,689
1517470367,694,694
1517472301,701,701
1517474198,710,710
1517476136,719,719
1517478034,730,730
1517479958,743,743
1517481877,761,761
1517483810,764,764
1517485726,774,774
1517487898,772,772
1517489790,771,771
1517491737,778,778
1517493693,782,782
1517495722,792,792
1517497723,794,794
1517499620,798,798
1517501583,794,794
1517503492,797,797
1517505426,800,800
1517507305,796,796
1517509249,799,799
1517511148,797,797
1517513087,802,802
1517515013,809,809
1517516927,810,810
