DateTime,AddedIPs,RemovedIPs
1517580032,7,5
1517580744,5,5
1517581462,2,8
1517582196,5,6
1517583151,12,7
1517584118,8,8
1517585075,12,13
1517586024,13,6
1517587008,1,7
1517587954,5,6
1517588669,7,8
1517589627,4,9
1517590337,4,4
1517591320,5,5
1517592269,5,7
1517593234,9,6
1517594190,13,6
1517595152,4,5
1517596110,8,14
1517597069,6,2
1517598036,9,10
1517598739,7,4
1517599477,3,6
1517600180,10,8
1517600915,6,6
1517601623,5,11
1517602342,6,2
1517603062,5,13
1517603793,8,5
1517604505,5,9
1517605234,4,10
1517605939,6,4
1517606669,4,3
1517607625,9,9
1517608605,11,8
1517609556,3,8
1517610515,3,13
1517611470,7,8
1517612454,7,12
1517613144,3,0
1517613867,5,8
1517614907,4,15
1517615559,6,0
1517616513,9,13
1517617324,4,5
1517617935,3,0
1517618655,4,9
1517619378,5,5
1517620604,11,9
1517621545,11,8
1517622257,7,9
1517622974,5,0
1517623688,2,3
1517624419,4,11
1517625394,13,7
1517626355,14,28
1517627318,17,16
1517628025,9,5
1517628993,5,14
1517629699,7,0
1517630436,5,17
1517631149,5,5
1517631862,7,13
1517632580,5,0
1517633319,2,7
1517634276,6,5
1517635229,7,4
1517636186,2,12
1517636888,3,0
1517637619,8,3
1517638332,14,3
1517639073,5,9
1517640029,9,7
1517640740,5,0
1517641469,3,8
1517642190,3,6
1517642914,3,2
1517643875,7,11
1517644839,4,4
1517645541,4,0
1517646265,5,12
1517646979,8,0
1517647710,6,12
1517648427,3,5
1517649145,7,10
1517649860,10,0
1517650588,5,12
1517651551,4,8
1517652513,5,7
1517653317,8,9
1517653941,6,0
1517654913,8,9
1517655631,6,4
1517656604,8,8
1517657556,12,9
1517658516,7,6
1517659488,5,8
1517660113,2,5
1517660893,5,0
1517661617,8,15
1517662334,7,1
1517663058,8,17
1517663776,7,0
1517664509,6,5
1517665469,2,4
1517666180,5,5
1517666906,8,8
1517667621,7,4
1517668347,3,2
1517669060,8,8
1517669781,6,3
1517670748,9,8
1517671479,5,9
1517672428,11,14
1517673388,6,12
1517674354,5,8
1517675061,7,15
1517675783,4,0
1517676501,5,19
1517677239,6,7
1517678201,4,8
1517679155,6,8
1517679861,13,16
1517680588,4,0
1517681299,3,13
1517682036,6,4
1517682995,4,10
1517683951,13,6
1517684926,4,12
1517685870,6,9
1517686603,3,6
1517687314,8,0
1517688277,8,11
1517688985,1,8
1517689705,10,5
1517690418,4,0
1517691156,3,3
1517691864,10,8
1517692592,4,10
1517693298,6,10
1517694271,12,9
1517695242,9,19
1517696204,10,10
1517697147,2,0
1517698350,5,12
1517699320,1,5
1517700269,13,13
1517701038,6,8
1517702188,16,13
1517702898,1,0
1517703639,4,7
1517704591,4,12
1517705561,1,17
1517706513,12,8
1517707475,8,13
1517708429,5,8
1517709391,2,7
1517710118,8,8
1517710819,11,0
1517711556,7,16
1517712261,8,14
1517712980,14,12
1517713946,11,5
1517714665,3,0
1517715389,8,9
1517716347,10,10
1517717053,5,9
1517717781,5,6
1517718490,8,7
1517719232,3,13
1517720177,5,2
1517720888,6,12
1517721624,6,7
1517722334,5,0
1517723073,6,5
1517724040,5,6
1517724994,6,5
1517726198,13,12
1517727159,3,2
1517728113,5,0
1517728821,2,3
1517729542,2,5
1517730267,11,7
1517730997,11,8
1517731952,10,7
1517732911,4,2
1517733869,6,9
1517734834,10,3
1517735797,10,4
1517736755,4,16
1517737712,9,1
1517738420,12,13
1517739146,8,0
1517739862,5,2
1517740690,4,5
1517741317,9,12
1517742027,4,5
1517742756,5,1
1517743711,4,6
1517744421,9,12
1517745143,9,9
1517745880,8,5
1517746495,7,0
1517747538,11,13
1517748253,6,6
1517748977,6,11
1517749692,5,0
1517750411,5,5
1517751381,5,10
1517752351,7,2
1517753320,13,7
1517754269,9,7
1517755230,4,10
1517756193,16,2
1517757155,5,12
1517758112,11,6
1517759070,10,19
1517760039,3,7
1517760990,12,1
1517761952,4,17
1517762917,1,7
1517763623,3,12
1517764602,10,6
1517765299,11,9
1517766032,5,8
1517766989,11,13
1517767953,10,9
1517770605,29,34
1517771298,8,0
1517772037,11,15
1517772990,4,9
1517773951,12,5
1517774919,7,9
1517775871,10,19
1517776824,4,8
1517777538,3,4
1517778279,6,14
1517778987,2,0
1517779706,8,8
1517780666,7,10
1517781628,5,14
1517782595,12,4
1517783308,2,4
1517784030,3,7
1517784986,4,7
1517785698,2,0
1517786433,7,19
1517787398,3,5
1517788118,3,5
1517788837,3,3
1517789797,9,0
1517790499,4,13
1517791231,2,10
1517791956,5,5
1517792912,11,4
1517793876,5,8
1517794585,3,0
1517795544,10,15
1517796266,0,8
1517796989,6,6
1517797956,20,15
1517798914,10,10
1517799620,6,12
1517800346,9,10
1517801060,7,10
1517801793,6,12
1517802756,10,8
1517803722,8,18
1517804677,11,6
1517805634,9,8
1517806592,13,5
1517807552,8,11
1517808260,6,0
1517808982,4,2
