DateTime,AddedIPs,RemovedIPs
1517580032,44,54
1517580744,59,35
1517581462,33,34
1517582196,36,49
1517583151,64,62
1517584118,63,54
1517585075,71,46
1517586024,70,60
1517587008,56,48
1517587954,68,65
1517588669,52,43
1517589627,47,51
1517590337,33,47
1517591320,45,66
1517592269,55,37
1517593234,50,71
1517594190,82,63
1517595152,39,60
1517596110,81,70
1517597069,51,46
1517598036,67,53
1517598739,42,68
1517599477,74,80
1517600180,81,45
1517600915,51,43
1517601623,47,45
1517602342,49,45
1517603062,56,44
1517603793,55,31
1517604505,30,33
1517605234,37,59
1517605939,40,44
1517606669,27,49
1517607625,56,54
1517608605,48,59
1517609556,41,38
1517610515,62,58
1517611470,34,43
1517612454,52,61
1517613144,40,50
1517613867,51,39
1517614907,43,73
1517615559,63,56
1517616513,64,69
1517617324,31,33
1517617935,26,30
1517618655,41,49
1517619378,47,39
1517620604,63,65
1517621545,64,55
1517622257,46,48
1517622974,39,34
1517623688,29,45
1517624419,47,43
1517625394,54,62
1517626355,43,58
1517627318,84,63
1517628025,45,41
1517628993,32,43
1517629699,45,44
1517630436,31,54
1517631149,46,47
1517631862,42,49
1517632580,39,47
1517633319,31,52
1517634276,40,57
1517635229,73,62
1517636186,41,40
1517636888,41,38
1517637619,42,53
1517638332,52,57
1517639073,37,37
1517640029,63,39
1517640740,25,25
1517641469,44,64
1517642190,55,43
1517642914,52,32
1517643875,52,56
1517644839,66,36
1517645541,42,46
1517646265,46,49
1517646979,49,45
1517647710,51,46
1517648427,33,48
1517649145,60,61
1517649860,42,57
1517650588,59,45
1517651551,72,102
1517652513,88,51
1517653317,57,60
1517653941,74,53
1517654913,48,63
1517655631,58,53
1517656604,68,60
1517657556,84,77
1517658516,79,94
1517659488,63,52
1517660113,50,53
1517660893,53,47
1517661617,54,45
1517662334,45,72
1517663058,72,82
1517663776,72,58
1517664509,74,49
1517665469,45,48
1517666180,43,48
1517666906,59,57
1517667621,63,35
1517668347,49,63
1517669060,61,49
1517669781,50,51
1517670748,75,65
1517671479,48,53
1517672428,70,68
1517673388,68,68
1517674354,42,53
1517675061,59,60
1517675783,40,130
1517676501,137,53
1517677239,63,54
1517678201,61,60
1517679155,56,58
1517679861,61,62
1517680588,54,51
1517681299,46,48
1517682036,51,50
1517682995,36,57
1517683951,75,68
1517684926,80,62
1517685870,67,55
1517686603,45,34
1517687314,53,67
1517688277,76,67
1517688985,50,49
1517689705,44,45
1517690418,38,40
1517691156,42,36
1517691864,54,48
1517692592,37,45
1517693298,38,50
1517694271,60,54
1517695242,44,49
1517696204,39,51
1517697147,32,32
1517698350,62,68
1517699320,36,36
1517700269,44,52
1517701038,36,35
1517702188,78,62
1517702898,15,42
1517703639,34,51
1517704591,56,66
1517705561,35,73
1517706513,78,55
1517707475,54,43
1517708429,43,46
1517709391,34,49
1517710118,32,39
1517710819,54,41
1517711556,38,52
1517712261,54,44
1517712980,38,53
1517713946,53,52
1517714665,49,25
1517715389,33,34
1517716347,41,47
1517717053,34,46
1517717781,47,35
1517718490,35,32
1517719232,26,78
1517720177,66,31
1517720888,40,48
1517721624,55,36
1517722334,34,35
1517723073,38,38
1517724040,45,43
1517724994,49,52
1517726198,59,76
1517727159,52,40
1517728113,53,67
1517728821,54,27
1517729542,28,58
1517730267,69,40
1517730997,54,40
1517731952,59,43
1517732911,42,54
1517733869,50,62
1517734834,69,68
1517735797,56,62
1517736755,65,64
1517737712,49,65
1517738420,84,63
1517739146,65,34
1517739862,54,41
1517740690,62,62
1517741317,55,56
1517742027,45,46
1517742756,46,49
1517743711,61,37
1517744421,46,53
1517745143,59,61
1517745880,63,37
1517746495,40,46
1517747538,63,70
1517748253,47,28
1517748977,34,54
1517749692,59,33
1517750411,36,55
1517751381,50,63
1517752351,64,57
1517753320,74,60
1517754269,52,56
1517755230,47,73
1517756193,101,61
1517757155,49,58
1517758112,61,83
1517759070,79,103
