DateTime,Entries,UniqueIPs
1517580032,9806,9806
1517580744,9830,9830
1517581462,9829,9829
1517582196,9816,9816
1517583151,9818,9818
1517584118,9827,9827
1517585075,9852,9852
1517586024,9862,9862
1517587008,9870,9870
1517587954,9873,9873
1517588669,9882,9882
1517589627,9878,9878
1517590337,9864,9864
1517591320,9843,9843
1517592269,9861,9861
1517593234,9840,9840
1517594190,9859,9859
1517595152,9838,9838
1517596110,9849,9849
1517597069,9854,9854
1517598036,9868,9868
1517598739,9842,9842
1517599477,9836,9836
1517600180,9872,9872
1517600915,9880,9880
1517601623,9882,9882
1517602342,9886,9886
1517603062,9898,9898
1517603793,9922,9922
1517604505,9919,9919
1517605234,9897,9897
1517605939,9893,9893
1517606669,9871,9871
1517607625,9873,9873
1517608605,9862,9862
1517609556,9865,9865
1517610515,9869,9869
1517611470,9860,9860
1517612454,9851,9851
1517613144,9841,9841
1517613867,9853,9853
1517614907,9823,9823
1517615559,9830,9830
1517616513,9825,9825
1517617324,9823,9823
1517617935,9819,9819
1517618655,9811,9811
1517619378,9819,9819
1517620604,9817,9817
1517621545,9826,9826
1517622257,9824,9824
1517622974,9829,9829
1517623688,9813,9813
1517624419,9817,9817
1517625394,9809,9809
1517626355,9794,9794
1517627318,9815,9815
1517628025,9819,9819
1517628993,9808,9808
1517629699,9809,9809
1517630436,9786,9786
1517631149,9785,9785
1517631862,9778,9778
1517632580,9770,9770
1517633319,9749,9749
1517634276,9732,9732
1517635229,9743,9743
1517636186,9744,9744
1517636888,9747,9747
1517637619,9736,9736
1517638332,9731,9731
1517639073,9731,9731
1517640029,9755,9755
1517640740,9755,9755
1517641469,9735,9735
1517642190,9747,9747
1517642914,9767,9767
1517643875,9763,9763
1517644839,9793,9793
1517645541,9789,9789
1517646265,9786,9786
1517646979,9790,9790
1517647710,9795,9795
1517648427,9780,9780
1517649145,9779,9779
1517649860,9764,9764
1517650588,9778,9778
1517651551,9748,9748
1517652513,9785,9785
1517653317,9782,9782
1517653941,9803,9803
1517654913,9788,9788
1517655631,9793,9793
1517656604,9801,9801
1517657556,9808,9808
1517658516,9793,9793
1517659488,9804,9804
1517660113,9801,9801
1517660893,9807,9807
1517661617,9816,9816
1517662334,9789,9789
1517663058,9779,9779
1517663776,9793,9793
1517664509,9818,9818
1517665469,9815,9815
1517666180,9810,9810
1517666906,9812,9812
1517667621,9840,9840
1517668347,9826,9826
1517669060,9838,9838
1517669781,9837,9837
1517670748,9847,9847
1517671479,9842,9842
1517672428,9844,9844
1517673388,9844,9844
1517674354,9833,9833
1517675061,9832,9832
1517675783,9742,9742
1517676501,9826,9826
1517677239,9835,9835
1517678201,9836,9836
1517679155,9834,9834
1517679861,9833,9833
1517680588,9836,9836
1517681299,9834,9834
1517682036,9835,9835
1517682995,9814,9814
1517683951,9821,9821
1517684926,9839,9839
1517685870,9851,9851
1517686603,9862,9862
1517687314,9848,9848
1517688277,9857,9857
1517688985,9858,9858
1517689705,9857,9857
1517690418,9855,9855
1517691156,9861,9861
1517691864,9867,9867
1517692592,9859,9859
1517693298,9847,9847
1517694271,9853,9853
1517695242,9848,9848
1517696204,9836,9836
1517697147,9836,9836
1517698350,9830,9830
1517699320,9830,9830
1517700269,9822,9822
1517701038,9823,9823
1517702188,9839,9839
1517702898,9812,9812
1517703639,9795,9795
1517704591,9785,9785
1517705561,9747,9747
1517706513,9770,9770
1517707475,9781,9781
1517708429,9778,9778
1517709391,9763,9763
1517710118,9756,9756
1517710819,9769,9769
1517711556,9755,9755
1517712261,9765,9765
1517712980,9750,9750
1517713946,9751,9751
1517714665,9775,9775
1517715389,9774,9774
1517716347,9768,9768
1517717053,9756,9756
1517717781,9768,9768
1517718490,9771,9771
1517719232,9719,9719
1517720177,9754,9754
1517720888,9746,9746
1517721624,9765,9765
1517722334,9764,9764
1517723073,9764,9764
1517724040,9766,9766
1517724994,9763,9763
1517726198,9746,9746
1517727159,9758,9758
1517728113,9744,9744
1517728821,9771,9771
1517729542,9741,9741
1517730267,9770,9770
1517730997,9784,9784
1517731952,9800,9800
1517732911,9788,9788
1517733869,9776,9776
1517734834,9777,9777
1517735797,9771,9771
1517736755,9772,9772
1517737712,9756,9756
1517738420,9777,9777
1517739146,9808,9808
1517739862,9821,9821
1517740690,9821,9821
1517741317,9820,9820
1517742027,9819,9819
1517742756,9816,9816
1517743711,9840,9840
1517744421,9833,9833
1517745143,9831,9831
1517745880,9857,9857
1517746495,9851,9851
1517747538,9844,9844
1517748253,9863,9863
1517748977,9843,9843
1517749692,9869,9869
1517750411,9850,9850
1517751381,9837,9837
1517752351,9844,9844
1517753320,9858,9858
1517754269,9854,9854
1517755230,9828,9828
1517756193,9868,9868
1517757155,9859,9859
1517758112,9837,9837
1517759070,9813,9813
1517760039,9847,9847
1517760990,9810,9810
1517761952,9829,9829
1517762917,9821,9821
1517763623,9839,9839
1517764602,9815,9815
1517765299,9863,9863
1517766032,9865,9865
1517766989,9874,9874
1517767953,9864,9864
1517770605,9909,9909
1517771298,9896,9896
1517772037,9902,9902
1517772990,9917,9917
1517773951,9887,9887
1517774919,9896,9896
1517775871,9888,9888
1517776824,9863,9863
1517777538,9878,9878
1517778279,9859,9859
1517778987,9878,9878
1517779706,9875,9875
1517780666,9801,9801
1517781628,9829,9829
1517782595,9812,9812
1517783308,9819,9819
1517784030,9812,9812
1517784986,9778,9778
1517785698,9767,9767
1517786433,9692,9692
1517787398,9770,9770
1517788118,9752,9752
1517788837,9721,9721
1517789797,9735,9735
1517790499,9745,9745
1517791231,9741,9741
1517791956,9731,9731
1517792912,9734,9734
1517793876,9745,9745
1517794585,9707,9707
1517795544,9673,9673
1517796266,9667,9667
1517796989,9675,9675
1517797956,9680,9680
1517798914,9690,9690
1517799620,9685,9685
1517800346,9704,9704
1517801060,9691,9691
1517801793,9680,9680
1517802756,9687,9687
1517803722,9683,9683
1517804677,9664,9664
1517805634,9676,9676
1517806592,9650,9650
1517807552,9665,9665
1517808260,9658,9658
1517808982,9650,9650
1517809700,9638,9638
1517810433,9667,9667
1517811405,9658,9658
1517812350,9673,9673
1517813319,9664,9664
1517814278,9668,9668
1517814997,9672,9672
1517815702,9663,9663
1517816423,9677,9677
1517817150,9673,9673
1517818114,9690,9690
1517818836,9685,9685
1517819550,9699,9699
1517820260,9660,9660
1517820983,9663,9663
1517821699,9666,9666
1517822423,9670,9670
1517823402,9680,9680
1517824370,9675,9675
1517825319,9667,9667
1517826512,9683,9683
1517827476,9689,9689
1517828431,9647,9647
1517829145,9679,9679
1517830105,9686,9686
1517830820,9706,9706
1517831552,9692,9692
1517832679,9698,9698
1517833473,9674,9674
1517834418,9691,9691
1517835128,9694,9694
1517835858,9701,9701
1517836569,9664,9664
1517837308,9666,9666
1517838277,9652,9652
1517838968,9638,9638
1517839692,9678,9678
1517840411,9679,9679
1517841152,9663,9663
1517842099,9645,9645
1517843088,9636,9636
1517844015,9612,9612
1517844732,9690,9690
1517845459,9694,9694
1517846167,9697,9697
1517846927,9700,9700
1517847871,9686,9686
1517848845,9707,9707
1517849789,9717,9717
1517850756,9743,9743
1517851711,9742,9742
1517852926,9634,9634
1517853609,9642,9642
1517854348,9648,9648
1517855307,9668,9668
1517856270,9751,9751
1517856994,9730,9730
