DateTime,Entries,UniqueIPs
1517418866,9693,9693
1517419714,9694,9694
1517420560,9676,9676
1517421390,9664,9664
1517422243,9665,9665
1517423165,9690,9690
1517423982,9676,9676
1517424838,9681,9681
1517426072,9684,9684
1517427417,9691,9691
1517428432,9698,9698
1517429446,9701,9701
1517430349,9705,9705
1517431357,9723,9723
1517432206,9687,9687
1517433268,9695,9695
1517434251,9680,9680
1517435138,9679,9679
1517435976,9665,9665
1517436947,9668,9668
1517438115,9663,9663
1517439396,9670,9670
1517440246,9665,9665
1517441313,9671,9671
1517442335,9663,9663
1517444079,9682,9682
1517445762,9683,9683
1517446679,9675,9675
1517447744,9678,9678
1517449246,9670,9670
1517450179,9637,9637
1517451047,9643,9643
1517452846,9629,9629
1517453793,9619,9619
1517454644,9622,9622
1517455570,9624,9624
1517456545,9599,9599
1517458244,9604,9604
1517459314,9632,9632
1517461834,9627,9627
1517462905,9631,9631
1517463781,9653,9653
1517465669,9650,9650
1517466522,9651,9651
1517467489,9640,9640
1517468559,9661,9661
1517469639,9665,9665
1517470526,9665,9665
1517472648,9663,9663
1517473526,9664,9664
1517474445,9660,9660
1517476467,9643,9643
1517477459,9640,9640
1517478343,9642,9642
1517480085,9646,9646
1517481049,9641,9641
1517481757,9641,9641
1517483440,9641,9641
1517484650,9632,9632
1517485496,9629,9629
1517486857,9623,9623
1517488060,9624,9624
1517489007,9611,9611
1517489880,9607,9607
1517490934,9615,9615
1517492138,9608,9608
1517492566,9609,9609
1517494242,9602,9602
1517495308,9605,9605
1517496283,9596,9596
1517498074,9595,9595
1517499034,9526,9526
1517499751,9529,9529
1517500802,9504,9504
1517501676,9504,9504
1517502505,9505,9505
1517503548,9503,9503
1517505649,9503,9503
1517506947,9487,9487
1517508299,9478,9478
1517509246,9482,9482
1517509705,9481,9481
1517510555,9485,9485
1517511396,9486,9486
1517512245,9503,9503
1517514156,9501,9501
1517515431,9474,9474
1517516446,9472,9472
1517517745,9473,9473
1517518609,9449,9449
1517519437,9452,9452
1517521367,9457,9457
1517522192,9431,9431
1517523047,9452,9452
1517523926,9460,9460
1517524845,9457,9457
1517526086,9461,9461
1517526948,9465,9465
1517527849,9461,9461
1517528579,9460,9460
1517529532,9463,9463
1517530542,9470,9470
1517531453,9469,9469
1517532151,9498,9498
1517533843,9501,9501
1517535757,9492,9492
1517537510,9493,9493
1517538681,9494,9494
