DateTime,Entries,UniqueIPs
1516887943,129,129
1516888950,132,132
1516891363,128,128
1516892219,130,130
1516894864,121,121
1516895792,120,120
1516897852,124,124
1516902164,109,109
1516905346,108,108
1516906259,110,110
1516906617,110,110
1516909352,108,108
1516914878,104,104
1516916148,103,103
1516920150,101,101
1516921851,100,100
1516923038,98,98
1516927363,97,97
1516929049,98,98
1516930949,98,98
1516932300,97,97
1516933247,98,98
1516935852,97,97
1516936470,98,98
1516938159,97,97
1516941655,98,98
1516945352,98,98
1516947344,100,100
1516948110,101,101
1516949808,100,100
1516950650,99,99
1516951849,100,100
1516953841,100,100
1516954785,101,101
1516956158,101,101
1516957476,95,95
1516959314,95,95
1516965273,93,93
1516966372,94,94
1516967364,95,95
1516968630,94,94
1516970743,93,93
1516972249,94,94
1516974174,93,93
1516976149,94,94
1516977330,93,93
1516979401,94,94
1516980949,84,84
1516986878,85,85
1516990249,86,86
1516992157,86,86
1516993848,87,87
1516995763,88,88
1516997748,89,89
1517001905,109,109
1517002882,110,110
1517005711,109,109
1517008251,110,110
1517010150,105,105
1517011848,104,104
1517013762,106,106
1517015451,103,103
1517017364,104,104
1517022526,104,104
1517029849,105,105
1517031751,106,106
1517032640,105,105
1517033741,104,104
1517035830,104,104
1517037291,106,106
1517038448,105,105
1517039777,104,104
1517042877,105,105
1517044477,104,104
1517047056,107,107
1517049764,105,105
1517051669,104,104
1517053558,104,104
1517057039,105,105
1517058543,103,103
1517059665,106,106
1517060743,106,106
1517061674,104,104
1517063457,103,103
1517066069,102,102
1517067059,92,92
1517069921,95,95
1517074850,97,97
1517076289,95,95
1517078431,96,96
1517083455,97,97
1517086602,97,97
1517088523,99,99
1517089549,100,100
1517092138,101,101
1517094096,102,102
1517096179,100,100
1517097575,100,100
1517098547,101,101
1517099458,103,103
1517103759,102,102
1517105248,101,101
1517107890,102,102
1517110987,100,100
1517112911,102,102
1517115055,103,103
1517116297,104,104
1517117480,103,103
1517119162,102,102
1517121059,101,101
1517127094,102,102
1517132577,103,103
1517134482,104,104
1517135837,102,102
1517139059,105,105
1517142972,102,102
1517144390,100,100
1517147161,100,100
1517149295,101,101
1517150572,100,100
1517152494,103,103
1517153512,97,97
1517155863,101,101
1517158002,101,101
1517159459,100,100
1517164254,101,101
1517166402,102,102
1517173459,103,103
1517174452,103,103
1517175751,104,104
1517177451,103,103
1517180188,105,105
1517183822,104,104
1517186570,105,105
1517190988,106,106
1517195447,105,105
1517196521,108,108
1517200847,109,109
1517201998,99,99
1517203908,100,100
1517204556,99,99
1517207318,100,100
1517208347,87,87
1517209841,81,81
1517210911,82,82
1517213209,81,81
1517214042,82,82
1517216458,80,80
1517220874,81,81
1517224381,80,80
1517227009,81,81
1517227843,82,82
1517229768,78,78
1517230600,82,82
1517232898,83,83
1517233830,84,84
1517235280,81,81
1517238644,83,83
1517240446,79,79
1517243460,80,80
1517244341,81,81
1517245196,79,79
1517247943,79,79
1517249445,82,82
1517253052,81,81
1517254840,80,80
1517256251,79,79
1517258247,79,79
1517260249,78,78
