DateTime,AddedIPs,RemovedIPs
1517436908,129,0
1517438095,147,402
1517439375,180,0
1517440207,97,432
1517441286,150,1
1517442306,125,333
1517444046,240,180
1517445727,233,333
1517446660,129,343
1517447707,155,0
1517449206,229,439
1517450106,140,0
1517451006,146,246
1517452807,271,346
1517453772,132,657
1517454607,131,0
1517455534,149,0
1517456527,185,602
1517458207,248,249
1517459287,208,1
1517461806,467,667
1517462886,208,0
1517463752,190,790
1517465646,453,441
1517466499,160,0
1517467471,192,438
1517468540,236,239
1517469606,231,0
1517470507,183,384
1517472606,433,341
1517473506,196,0
1517474414,176,460
1517476447,368,311
1517477421,199,357
1517478308,145,0
1517480054,306,416
1517481021,153,364
1517481726,99,126
1517483406,285,260
1517484612,216,311
1517485477,146,137
1517486822,191,194
1517488025,180,0
1517488976,182,482
1517489862,109,241
1517490907,134,0
1517492107,203,293
1517492535,73,0
1517494206,200,311
1517495286,166,0
1517496265,114,402
1517498046,240,218
1517499011,128,380
1517499728,99,93
1517500783,140,214
1517501647,122,22
1517502487,91,0
1517503507,127,252
1517505607,293,266
1517506927,180,362
1517508266,187,173
1517509206,146,0
1517509687,58,0
1517510536,142,286
1517511377,123,169
1517512207,139,0
1517512446,21,0
1517514014,208,332
1517514126,9,0
1517515412,175,187
1517516407,148,1
1517517726,167,361
1517518581,101,165
1517519407,101,0
1517521328,263,221
1517522174,108,362
1517523006,137,1
1517523907,100,0
1517524807,136,251
1517526059,162,249
1517526907,107,0
1517527818,194,232
1517528560,88,90
1517529467,138,148
1517530506,138,0
1517531430,117,243
1517532128,91,0
1517533807,255,313
1517534607,132,0
1517535728,135,364
1517537406,237,221
1517538650,173,285
1517539507,115,109
1517540741,182,227
1517541607,125,0
1517542414,146,309
1517543798,225,417
1517544607,133,3
1517545465,163,0
1517546406,167,510
1517547366,234,0
1517548207,108,209
1517550127,320,349
1517551807,286,171
1517552680,141,0
1517553727,195,430
1517555407,289,203
1517556307,169,0
1517557207,173,438
1517558068,178,2
1517559009,170,230
1517559246,44,0
1517560236,176,304
1517561107,173,111
1517562608,283,233
1517563828,220,309
1517564528,159,0
1517566035,245,364
1517568008,416,464
1517568129,27,1
1517570047,331,246
1517571038,154,294
1517571907,138,0
1517573406,241,404
1517574486,202,0
1517575313,137,381
1517576169,176,176
1517577007,159,0
1517578087,179,0
1517578999,172,377
1517579959,154,192
1517580846,137,1
1517581687,150,2
1517582749,161,257
1517584209,262,552
1517585108,136,0
1517586158,149,423
1517587476,234,234
1517588048,129,0
1517588887,117,0
1517589923,167,385
1517591410,220,180
1517593330,334,359
1517594169,149,0
1517595009,114,222
1517595250,38,0
1517596243,149,281
1517597109,112,166
1517598609,227,178
1517599913,223,282
1517600871,143,93
1517601784,124,192
1517602448,78,0
1517603427,130,258
1517604129,102,92
1517605149,112,158
1517606110,162,0
1517606888,112,0
1517607730,109,293
1517609408,222,221
1517610274,114,0
1517611076,101,316
1517612128,124,1
1517613020,94,161
1517614088,137,0
1517614929,96,327
1517615866,118,175
1517616909,112,1
1517618528,176,374
1517620209,211,246
1517621109,119,1
1517622007,106,359
1517622907,117,0
1517624108,146,201
1517625608,272,389
1517626567,111,1
1517627408,79,214
1517628330,115,0
1517629208,101,446
