DateTime,Entries,UniqueIPs
1517436908,44779,44779
1517438095,44524,44524
1517439375,44704,44704
1517440207,44369,44369
1517441286,44518,44518
1517442306,44310,44310
1517444046,44370,44370
1517445727,44270,44270
1517446660,44056,44056
1517447707,44211,44211
1517449206,44001,44001
1517450106,44141,44141
1517451006,44041,44041
1517452807,43966,43966
1517453772,43441,43441
1517454607,43572,43572
1517455534,43721,43721
1517456527,43304,43304
1517458207,43303,43303
1517459287,43510,43510
1517461806,43310,43310
1517462886,43518,43518
1517463752,42918,42918
1517465646,42930,42930
1517466499,43090,43090
1517467471,42844,42844
1517468540,42841,42841
1517469606,43072,43072
1517470507,42871,42871
1517472606,42963,42963
1517473506,43159,43159
1517474414,42875,42875
1517476447,42932,42932
1517477421,42774,42774
1517478308,42919,42919
1517480054,42809,42809
1517481021,42598,42598
1517481726,42571,42571
1517483406,42596,42596
1517484612,42501,42501
1517485477,42510,42510
1517486822,42507,42507
1517488025,42687,42687
1517488976,42387,42387
1517489862,42255,42255
1517490907,42389,42389
1517492107,42299,42299
1517492535,42372,42372
1517494206,42261,42261
1517495286,42427,42427
1517496265,42139,42139
1517498046,42161,42161
1517499011,41909,41909
1517499728,41915,41915
1517500783,41841,41841
1517501647,41941,41941
1517502487,42032,42032
1517503507,41907,41907
1517505607,41934,41934
1517506927,41752,41752
1517508266,41766,41766
1517509206,41912,41912
1517509687,41970,41970
1517510536,41826,41826
1517511377,41780,41780
1517512207,41919,41919
1517512446,41940,41940
1517514014,41816,41816
1517514126,41825,41825
1517515412,41813,41813
1517516407,41960,41960
1517517726,41766,41766
1517518581,41702,41702
1517519407,41803,41803
1517521328,41845,41845
1517522174,41591,41591
1517523006,41727,41727
1517523907,41827,41827
1517524807,41712,41712
1517526059,41625,41625
1517526907,41732,41732
1517527818,41694,41694
1517528560,41692,41692
1517529467,41682,41682
1517530506,41820,41820
1517531430,41694,41694
1517532128,41785,41785
1517533807,41727,41727
1517534607,41859,41859
1517535728,41630,41630
1517537406,41646,41646
1517538650,41534,41534
1517539507,41540,41540
1517540741,41495,41495
1517541607,41620,41620
1517542414,41457,41457
1517543798,41265,41265
1517544607,41395,41395
1517545465,41558,41558
1517546406,41215,41215
1517547366,41449,41449
1517548207,41348,41348
1517550127,41319,41319
1517551807,41434,41434
1517552680,41575,41575
1517553727,41340,41340
1517555407,41426,41426
1517556307,41595,41595
1517557207,41330,41330
1517558068,41506,41506
1517559009,41446,41446
1517559246,41490,41490
1517560236,41362,41362
1517561107,41424,41424
1517562608,41474,41474
1517563828,41385,41385
1517564528,41544,41544
1517566035,41425,41425
1517568008,41377,41377
1517568129,41403,41403
1517570047,41488,41488
1517571038,41348,41348
1517571907,41486,41486
1517573406,41323,41323
1517574486,41525,41525
1517575313,41281,41281
1517576169,41281,41281
1517577007,41440,41440
1517578087,41619,41619
1517578999,41414,41414
1517579959,41376,41376
1517580846,41512,41512
1517581687,41660,41660
1517582749,41564,41564
1517584209,41274,41274
1517585108,41410,41410
1517586158,41136,41136
1517587476,41136,41136
1517588048,41265,41265
1517588887,41382,41382
1517589923,41164,41164
1517591410,41204,41204
1517593330,41179,41179
1517594169,41328,41328
1517595009,41220,41220
1517595250,41258,41258
1517596243,41126,41126
1517597109,41072,41072
1517598609,41121,41121
1517599913,41062,41062
1517600871,41112,41112
1517601784,41044,41044
1517602448,41122,41122
1517603427,40994,40994
1517604129,41004,41004
1517605149,40958,40958
1517606110,41120,41120
1517606888,41232,41232
1517607730,41048,41048
1517609408,41049,41049
1517610274,41163,41163
1517611076,40948,40948
1517612128,41071,41071
1517613020,41004,41004
1517614088,41141,41141
1517614929,40910,40910
1517615866,40853,40853
1517616909,40964,40964
1517618528,40766,40766
1517620209,40731,40731
1517621109,40849,40849
1517622007,40596,40596
1517622907,40713,40713
1517624108,40658,40658
1517625608,40541,40541
1517626567,40651,40651
1517627408,40516,40516
1517628330,40631,40631
1517629208,40286,40286
1517630401,40240,40240
1517631249,40329,40329
1517632245,40125,40125
1517632927,40083,40083
1517633983,39966,39966
1517634849,40086,40086
1517636181,39730,39730
1517637308,39910,39910
1517638208,39781,39781
1517639289,39917,39917
1517640309,39619,39619
1517642416,39609,39609
1517643241,39342,39342
1517643730,39410,39410
1517645154,39231,39231
1517646009,39342,39342
1517647209,39171,39171
1517648109,39313,39313
1517649010,39147,39147
1517650930,39034,39034
1517652249,38968,38968
1517653208,39113,39113
1517653687,39188,39188
1517654658,38939,38939
1517655876,38924,38924
1517656808,39072,39072
1517658016,38855,38855
1517658907,38986,38986
1517659807,38953,38953
1517660057,39028,39028
1517661130,38913,38913
1517663062,38852,38852
1517664008,38963,38963
1517664844,38842,38842
1517665744,38961,38961
1517666643,38806,38806
1517667606,38899,38899
1517669139,38775,38775
1517670251,38723,38723
1517671687,38935,38935
1517672528,38801,38801
1517673403,38906,38906
1517674208,38748,38748
1517675106,38865,38865
1517676127,38687,38687
1517677173,38647,38647
1517678048,38755,38755
1517679607,38618,38618
1517680511,38744,38744
1517681407,38696,38696
1517682619,38752,38752
1517683508,38941,38941
1517684526,38794,38794
1517685607,38944,38944
1517686816,38723,38723
1517688113,38731,38731
1517689071,38851,38851
1517690064,38778,38778
1517690528,38829,38829
1517692447,38840,38840
1517693286,38951,38951
1517694124,38697,38697
1517694948,38812,38812
1517695808,38732,38732
1517696868,38857,38857
1517697907,38589,38589
1517699407,38560,38560
1517700241,38660,38660
1517702107,38554,38554
1517702933,38426,38426
1517703246,38459,38459
1517704233,38289,38289
1517705108,38309,38309
1517706607,38303,38303
1517707686,38438,38438
1517708528,38202,38202
1517710207,38151,38151
1517711431,38068,38068
1517712307,38083,38083
1517713705,38064,38064
1517714628,38205,38205
1517715615,37904,37904
1517717257,37810,37810
1517719207,37618,37618
1517720503,37595,37595
1517721307,37705,37705
1517722281,37540,37540
1517723127,37491,37491
1517723989,37424,37424
1517724847,37525,37525
1517725820,37315,37315
1517726527,37283,37283
1517728218,37258,37258
1517729778,36991,36991
1517731487,36968,36968
1517732407,37065,37065
1517733607,36872,36872
1517734631,36630,36630
1517735706,36819,36819
1517736615,36608,36608
1517738667,36532,36532
1517739606,36619,36619
1517740089,36694,36694
1517740927,36384,36384
1517742847,36418,36418
1517744897,36202,36202
1517746446,36081,36081
1517748008,35828,35828
1517748834,35909,35909
1517749807,35818,35818
1517750887,35958,35958
1517751727,35681,35681
1517753176,35654,35654
1517754007,35781,35781
1517755207,35533,35533
1517756170,35613,35613
1517757007,35521,35521
1517758087,35704,35704
1517759076,35398,35398
1517759792,35478,35478
1517760618,35377,35377
1517761421,35443,35443
1517762407,35133,35133
1517762528,35145,35145
1517764206,35558,35558
1517766127,35713,35713
1517768047,35646,35646
1517769727,35603,35603
1517771409,35620,35620
1517772698,35505,35505
1517773507,35475,35475
1517775007,35465,35465
1517775907,35538,35538
1517776930,35266,35266
1517777840,35194,35194
1517778907,35288,35288
1517779827,35164,35164
1517780707,35247,35247
1517782207,35218,35218
1517783106,35308,35308
1517784011,35107,35107
1517784906,35217,35217
1517785806,35168,35168
1517786886,35316,35316
1517788235,35223,35223
1517789406,35189,35189
1517791327,35109,35109
1517792698,35116,35116
1517793495,35193,35193
1517794087,35267,35267
1517794928,34967,34967
1517796608,35052,35052
1517797831,35000,35000
1517800262,34861,34861
1517801743,34851,34851
1517802907,34973,34973
1517804047,34818,34818
1517804886,34915,34915
1517805756,34691,34691
1517807408,34815,34815
1517808487,34926,34926
1517809328,34704,34704
1517811007,34775,34775
1517812928,34671,34671
1517814607,34715,34715
1517815512,34850,34850
1517816527,34624,34624
1517817368,34701,34701
1517818449,34637,34637
1517819741,34454,34454
1517821696,34512,34512
1517823606,34443,34443
1517825407,34358,34358
1517826306,34451,34451
1517827207,34286,34286
1517829007,34207,34207
1517830806,33994,33994
1517832608,34022,34022
1517833830,33962,33962
1517834527,33952,33952
1517835367,34034,34034
1517836207,33999,33999
1517837409,33886,33886
1517838307,33949,33949
1517840108,33892,33892
1517840886,33984,33984
1517841728,33719,33719
1517842582,33636,33636
1517843419,33717,33717
1517845327,33675,33675
1517846856,33563,33563
1517848807,33434,33434
1517849717,33501,33501
1517850608,33402,33402
1517852707,33101,33101
1517853367,33153,33153
1517854207,33069,33069
1517856127,32942,32942
1517857065,32863,32863
1517858106,33045,33045
1517859003,32932,32932
1517859907,32995,32995
1517861407,32989,32989
1517862204,33123,33123
1517863216,32965,32965
1517865008,32935,32935
1517866928,32904,32904
1517867939,32885,32885
1517868907,33013,33013
1517869836,32908,32908
1517870706,33024,33024
1517872208,33016,33016
1517874127,32952,32952
1517875807,32962,32962
1517877607,32919,32919
1517879246,32940,32940
1517880113,33045,33045
1517881037,32926,32926
1517882914,33010,33010
1517884927,32904,32904
1517885958,32856,32856
1517886908,32952,32952
1517888527,32866,32866
1517890446,32864,32864
1517891286,32933,32933
1517892306,32723,32723
1517893807,32660,32660
1517894998,32520,32520
1517895730,32499,32499
1517897647,32496,32496
1517898488,32577,32577
1517900341,32280,32280
1517901248,32358,32358
1517902088,32410,32410
1517902977,32258,32258
1517903794,32168,32168
1517904609,32235,32235
1517906528,32152,32152
1517907372,32235,32235
1517908208,32056,32056
1517909918,31997,31997
1517910773,32166,32166
1517912048,32141,32141
1517913453,32057,32057
1517914600,32185,32185
1517916606,32067,32067
1517917472,32175,32175
1517918169,32260,32260
1517919008,32152,32152
1517920021,32284,32284
1517921110,32076,32076
1517922608,32095,32095
1517923730,32200,32200
1517924529,31973,31973
1517926208,32041,32041
1517927289,32141,32141
1517928302,31881,31881
1517929810,31863,31863
1517931728,31776,31776
1517933648,31461,31461
1517934662,31141,31141
1517935329,31291,31291
1517936569,31222,31222
1517937608,31329,31329
1517938784,31248,31248
1517939687,31329,31329
1517940608,31135,31135
1517941658,31250,31250
1517942708,31142,31142
1517943369,31201,31201
1517944208,31208,31208
1517945288,31336,31336
1517946308,31214,31214
1517948049,31238,31238
1517949728,31075,31075
1517951709,31182,31182
1517953246,31133,31133
1517954163,31295,31295
1517955011,31255,31255
1517956412,31210,31210
1517958177,31219,31219
1517959212,31403,31403
1517959690,31455,31455
1517960597,31383,31383
1517962210,31330,31330
1517963290,31437,31437
1517964989,31191,31191
1517965810,31263,31263
1517966749,31373,31373
1517967729,31243,31243
1517968570,31356,31356
1517969650,31462,31462
1517970674,31320,31320
1517971330,31297,31297
1517973249,31366,31366
1517974809,31261,31261
1517975710,31352,31352
1517976609,31167,31167
1517977691,31286,31286
1517978528,31186,31186
1517980210,31170,31170
1517981306,31312,31312
1517982130,31069,31069
1517983013,31023,31023
1517984110,31118,31118
1517985089,30970,30970
1517985730,31037,31037
1517986570,31146,31146
1517987409,31095,31095
1517989330,31090,31090
1517991249,31152,31152
1517992724,31111,31111
1517993709,31242,31242
1517994593,31204,31204
1517995689,31362,31362
1517996529,31773,31773
1517998126,31804,31804
1517999460,31911,31911
1518000310,31969,31969
1518000970,32052,32052
1518001810,32024,32024
