DateTime,Entries,UniqueIPs
1517430352,2323,2323
1517431361,2285,2285
1517432210,2270,2270
1517433271,2272,2272
1517434254,2255,2255
1517435142,2254,2254
1517435979,2238,2238
1517436950,2246,2246
1517438118,2213,2213
1517439399,2237,2237
1517440249,2208,2208
1517441317,2225,2225
1517442338,2198,2198
1517444082,2196,2196
1517445765,2178,2178
1517446682,2152,2152
1517447750,2153,2153
1517449250,2127,2127
1517450187,2116,2116
1517451050,2126,2126
1517452849,2108,2108
1517453796,2058,2058
1517454647,2065,2065
1517455574,2075,2075
1517456549,2056,2056
1517458247,2049,2049
1517459317,2060,2060
1517461837,2020,2020
1517462908,2030,2030
1517463784,2012,2012
1517465672,2005,2005
1517466525,2015,2015
1517467492,1989,1989
1517468562,1988,1988
1517469642,1993,1993
1517470529,1983,1983
1517472651,1982,1982
1517473529,1984,1984
1517474448,1951,1951
1517476471,1948,1948
1517477466,1941,1941
1517478349,1947,1947
1517480088,1922,1922
1517481053,1904,1904
1517481760,1896,1896
1517483443,1877,1877
1517484655,1867,1867
1517485500,1867,1867
1517486867,1884,1884
1517488063,1908,1908
1517489018,1885,1885
1517489883,1893,1893
1517490937,1908,1908
1517492141,1893,1893
1517492569,1892,1892
1517494245,1887,1887
1517495311,1905,1905
1517496286,1869,1869
1517498077,1865,1865
1517499040,1861,1861
1517499755,1852,1852
1517500806,1848,1848
1517501679,1852,1852
1517502508,1864,1864
1517503551,1858,1858
1517505652,1850,1850
1517506950,1836,1836
1517508305,1844,1844
1517509249,1849,1849
1517509708,1869,1869
1517510558,1838,1838
1517511399,1825,1825
1517512248,1838,1838
1517512474,1843,1843
1517514159,1840,1840
1517515434,1831,1831
1517516449,1850,1850
1517517748,1839,1839
1517518612,1830,1830
1517519440,1834,1834
1517521372,1840,1840
1517522195,1839,1839
1517523050,1841,1841
1517523929,1851,1851
1517524848,1855,1855
1517526091,1853,1853
1517526951,1860,1860
1517527853,1856,1856
1517528582,1860,1860
1517529535,1857,1857
1517530545,1869,1869
1517531456,1858,1858
1517532154,1865,1865
1517533846,1877,1877
1517535760,1868,1868
1517537550,1879,1879
1517538686,1874,1874
1517539537,1879,1879
1517540763,1880,1880
1517541650,1891,1891
1517542848,1890,1890
1517543833,1905,1905
1517544649,1905,1905
1517545487,1909,1909
1517547389,1908,1908
1517548246,1918,1918
1517550149,1918,1918
1517551846,1929,1929
1517552701,1936,1936
1517553757,1931,1931
1517555466,1934,1934
1517556333,1945,1945
1517557247,1937,1937
1517558091,1947,1947
1517559058,1946,1946
1517559269,1949,1949
1517560268,1952,1952
1517561150,1957,1957
1517562655,1960,1960
1517563873,1971,1971
1517564553,1979,1979
1517566064,1973,1973
1517568157,1962,1962
1517570087,1978,1978
1517571068,1978,1978
1517571938,1980,1980
1517573449,1987,1987
1517574508,2020,2020
1517575335,2019,2019
1517576191,2029,2029
1517577041,2033,2033
1517578109,2051,2051
1517579032,2040,2040
1517579980,2063,2063
1517580868,2075,2075
1517581709,2087,2087
1517582802,2086,2086
1517584250,2092,2092
1517585152,2107,2107
1517586181,2094,2094
1517588075,2107,2107
1517588925,2121,2121
1517589971,2108,2108
1517591460,2121,2121
1517593366,2146,2146
1517594213,2168,2168
1517595052,2171,2171
1517595280,2174,2174
1517596302,2166,2166
1517597158,2168,2168
1517598652,2161,2161
1517600911,2169,2169
1517601823,2166,2166
1517602486,2174,2174
1517603467,2175,2175
1517604173,2178,2178
1517605175,2173,2173
1517606162,2184,2184
1517606928,2189,2189
1517607757,2183,2183
1517609454,2175,2175
1517610330,2179,2179
1517611259,2178,2178
1517612156,2188,2188
1517613063,2187,2187
1517614130,2202,2202
1517614954,2194,2194
1517615943,2205,2205
1517616944,2214,2214
1517618554,2206,2206
1517620260,2219,2219
1517621139,2231,2231
1517622053,2218,2218
1517622992,2228,2228
1517624157,2241,2241
1517625650,2240,2240
1517626597,2245,2245
1517627453,2243,2243
1517628356,2249,2249
1517629253,2226,2226
1517630490,2236,2236
1517631279,2245,2245
1517632306,2223,2223
1517632963,2224,2224
1517634007,2219,2219
1517634902,2230,2230
1517636239,2231,2231
1517637375,2256,2256
1517638263,2266,2266
1517639326,2283,2283
1517640361,2270,2270
1517641559,2279,2279
1517642464,2285,2285
1517643301,2283,2283
1517643760,2293,2293
1517645219,2299,2299
1517646073,2310,2310
1517647273,2328,2328
1517648208,2335,2335
1517649065,2351,2351
1517650962,2351,2351
1517652274,2358,2358
1517653730,2368,2368
1517654711,2356,2356
1517655904,2365,2365
1517656859,2400,2400
1517658987,2377,2377
1517659852,2392,2392
1517660090,2398,2398
1517661184,2381,2381
1517662231,2393,2393
1517663109,2385,2385
1517664057,2397,2397
1517664878,2387,2387
1517665769,2404,2404
1517666667,2404,2404
1517667650,2406,2406
1517669179,2405,2405
1517670283,2395,2395
1517671722,2416,2416
1517672561,2401,2401
1517673424,2407,2407
1517674247,2390,2390
1517675130,2400,2400
1517676150,2406,2406
1517677195,2427,2427
1517678080,2440,2440
1517679651,2415,2415
1517680553,2433,2433
1517681450,2445,2445
1517682647,2435,2435
1517683553,2450,2450
1517684567,2424,2424
1517685646,2437,2437
1517686869,2420,2420
1517688150,2424,2424
1517689106,2440,2440
1517690114,2434,2434
1517690558,2438,2438
1517692488,2453,2453
1517693315,2466,2466
1517694164,2458,2458
1517694986,2471,2471
1517695856,2467,2467
1517696890,2481,2481
1517697937,2466,2466
1517700278,2477,2477
1517702176,2462,2462
1517703039,2462,2462
1517703269,2461,2461
1517704268,2442,2442
1517705138,2444,2444
1517706654,2458,2458
1517707709,2467,2467
1517708578,2457,2457
1517710258,2454,2454
1517711460,2458,2458
1517712340,2463,2463
1517713728,2459,2459
1517714671,2463,2463
1517715660,2438,2438
1517717280,2448,2448
1517719252,2436,2436
1517721640,2440,2440
1517722849,2427,2427
1517723790,2425,2425
1517724870,2433,2433
1517725862,2425,2425
1517726566,2420,2420
1517728260,2423,2423
1517729809,2408,2408
1517731537,2412,2412
1517732455,2425,2425
1517733663,2417,2417
1517734677,2420,2420
1517735741,2425,2425
1517736647,2424,2424
1517739649,2440,2440
1517740116,2445,2445
1517740962,2444,2444
1517742870,2446,2446
1517744922,2420,2420
1517746468,2426,2426
1517748049,2412,2412
1517748869,2416,2416
1517749842,2389,2389
1517750919,2399,2399
1517751759,2385,2385
1517753212,2385,2385
1517754046,2410,2410
1517755365,2409,2409
1517756212,2421,2421
1517757050,2426,2426
1517758133,2441,2441
1517759100,2447,2447
1517759815,2455,2455
1517760659,2451,2451
1517762561,2440,2440
1517764246,2444,2444
1517766163,2469,2469
1517768072,2479,2479
1517769760,2484,2484
1517771445,2506,2506
1517772736,2495,2495
1517773551,2494,2494
1517775046,2504,2504
1517775960,2517,2517
1517776964,2501,2501
1517777882,2508,2508
1517778951,2516,2516
1517779873,2510,2510
1517780742,2504,2504
1517782264,2505,2505
1517783128,2528,2528
1517784049,2518,2518
1517784928,2540,2540
1517785852,2531,2531
1517786908,2562,2562
1517788263,2556,2556
1517789451,2552,2552
1517791358,2540,2540
1517793041,2530,2530
1517794116,2534,2534
1517794960,2523,2523
1517796647,2537,2537
1517797855,2546,2546
1517800298,2548,2548
1517801793,2559,2559
1517802983,2558,2558
1517804081,2566,2566
1517804916,2579,2579
1517805779,2551,2551
1517807451,2553,2553
1517808522,2560,2560
1517809353,2542,2542
1517811057,2583,2583
1517812951,2593,2593
1517814649,2584,2584
1517815535,2597,2597
1517816558,2575,2575
1517817408,2594,2594
1517818504,2579,2579
1517819763,2584,2584
1517821729,2599,2599
1517822809,2619,2619
1517823644,2629,2629
1517825447,2607,2607
1517826328,2620,2620
1517827255,2601,2601
1517829055,2590,2590
1517830855,2558,2558
1517832643,2572,2572
1517833857,2558,2558
1517834562,2568,2568
1517835410,2595,2595
1517836248,2605,2605
1517837460,2622,2622
1517838333,2629,2629
1517839286,2630,2630
1517840148,2645,2645
1517840914,2653,2653
1517841765,2638,2638
1517842607,2648,2648
1517843460,2661,2661
1517845354,2663,2663
1517846879,2623,2623
1517847927,2636,2636
1517848850,2606,2606
1517849793,2598,2598
1517850655,2602,2602
1517852750,2577,2577
1517853395,2578,2578
1517854257,2569,2569
1517856154,2585,2585
1517857144,2588,2588
1517858144,2596,2596
1517859046,2583,2583
1517859940,2596,2596
1517861459,2592,2592
1517862666,2581,2581
1517863542,2589,2589
1517864720,2562,2562
1517865647,2565,2565
1517866519,2551,2551
1517866958,2551,2551
1517867964,2550,2550
1517868952,2566,2566
1517869868,2552,2552
1517870736,2555,2555
1517872267,2544,2544
1517874185,2546,2546
1517875850,2537,2537
1517877655,2532,2532
1517879275,2539,2539
1517880158,2549,2549
1517881065,2539,2539
1517882942,2544,2544
1517884955,2551,2551
1517885980,2545,2545
1517886943,2557,2557
1517888562,2540,2540
1517890482,2542,2542
1517891315,2556,2556
1517892350,2539,2539
1517893843,2546,2546
1517895042,2538,2538
1517895755,2543,2543
1517897677,2560,2560
1517898525,2572,2572
1517900383,2572,2572
1517901286,2575,2575
1517902116,2582,2582
1517903037,2578,2578
1517904389,2570,2570
1517905216,2572,2572
1517906126,2562,2562
1517906570,2574,2574
1517907428,2579,2579
1517908259,2551,2551
1517909947,2539,2539
1517910815,2547,2547
1517911847,2551,2551
1517912075,2552,2552
1517913482,2532,2532
1517914644,2550,2550
1517916663,2540,2540
1517917508,2549,2549
1517918211,2567,2567
1517919062,2567,2567
1517920072,2576,2576
1517921158,2565,2565
1517922656,2568,2568
1517923814,2539,2539
1517924566,2547,2547
1517926252,2547,2547
1517927319,2560,2560
1517928355,2535,2535
1517929857,2529,2529
1517931765,2527,2527
1517933675,2537,2537
1517934709,2520,2520
1517935377,2529,2529
1517936613,2507,2507
1517937666,2514,2514
1517938811,2485,2485
1517939779,2466,2466
1517940658,2479,2479
1517941691,2494,2494
1517942755,2477,2477
1517943409,2488,2488
1517944246,2491,2491
1517945315,2530,2530
1517946359,2490,2490
1517948085,2474,2474
1517949758,2464,2464
1517951770,2493,2493
1517953302,2476,2476
1517954290,2457,2457
1517955360,2471,2471
1517956535,2438,2438
1517958238,2473,2473
1517959722,2477,2477
1517960657,2482,2482
1517962263,2496,2496
1517963329,2502,2502
1517965031,2465,2465
1517965866,2475,2475
1517966816,2472,2472
1517967794,2440,2440
1517968605,2446,2446
1517969697,2466,2466
1517970721,2437,2437
1517971384,2427,2427
1517973297,2415,2415
1517974862,2406,2406
1517975743,2417,2417
1517976665,2408,2408
1517977497,2408,2408
1517977738,2413,2413
1517978590,2399,2399
1517980265,2404,2404
1517982157,2363,2363
1517983041,2356,2356
1517984167,2368,2368
1517985125,2356,2356
1517985778,2357,2357
1517986632,2363,2363
1517987454,2355,2355
1517989365,2356,2356
1517991308,2351,2351
1517992766,2321,2321
1517993796,2319,2319
1517994654,2329,2329
1517995718,2346,2346
1517996580,2332,2332
1517998157,2323,2323
1517999512,2325,2325
1518000363,2319,2319
1518001000,2319,2319
1518001853,2319,2319
