DateTime,AddedIPs,RemovedIPs
1517426070,164,155
1517427415,213,255
1517428428,122,0
1517429444,133,143
1517430346,96,0
1517431355,69,209
1517432203,90,195
1517433265,94,1
1517434248,109,277
1517435136,88,53
1517435974,75,148
1517436939,85,0
1517438112,110,330
1517439393,136,1
1517440238,68,354
1517441311,100,1
1517442330,89,235
1517444073,141,132
1517445755,164,244
1517446676,95,257
1517447737,115,0
1517449239,167,355
1517450172,125,176
1517451039,107,1
1517452839,210,278
1517453790,99,582
1517454642,94,1
1517455568,112,0
1517456543,152,491
1517458237,196,208
1517459312,154,0
1517461832,362,544
1517462903,174,0
1517463778,142,720
1517465667,397,352
1517466519,131,2
1517467487,161,365
1517468557,181,179
1517469636,187,0
1517470523,152,311
1517472640,357,281
1517473523,155,0
1517474443,147,367
1517476465,298,252
1517477455,159,271
1517478333,107,0
1517480083,231,342
1517481046,114,282
1517481751,70,105
1517483438,240,210
1517484646,168,237
1517485494,113,112
1517486860,160,151
1517488057,147,0
1517488999,130,409
1517489878,88,180
1517490931,97,1
1517492132,158,222
1517492564,56,0
1517494239,149,242
1517495306,133,1
1517496281,90,321
1517498071,177,172
1517499032,93,232
1517499749,72,70
1517500799,120,144
1517501673,98,16
1517502503,75,0
1517503541,107,196
1517505641,243,198
1517506944,142,249
1517509238,258,120
1517509702,51,0
1517510553,106,229
1517511394,92,116
1517512238,93,0
1517512469,14,0
1517514154,173,243
1517515429,140,114
1517516439,123,1
1517517743,132,283
1517518607,79,110
1517519435,70,1
1517521356,184,164
1517522190,88,246
1517523040,89,3
1517523923,77,1
1517524838,96,171
1517526081,121,164
1517526940,78,0
1517527845,157,152
1517528577,75,62
1517529484,105,110
1517530536,101,2
1517531451,86,181
1517532149,45,0
1517533841,182,217
1517535755,209,240
1517537470,188,164
1517538675,123,206
1517539532,90,85
1517541639,240,187
1517542836,154,332
1517543823,131,210
1517544643,100,3
1517545482,114,1
1517546441,140,394
1517547384,210,1
1517548238,95,165
1517550144,262,246
1517551841,216,130
1517552696,109,0
1517553752,141,305
1517555455,234,148
1517556326,145,1
1517557241,135,292
1517558086,152,2
1517559048,150,185
1517559264,33,0
1517560259,152,232
1517561134,146,73
1517562649,239,172
1517563844,166,243
1517564547,131,0
1517566058,201,284
1517568037,363,347
1517568151,24,0
1517570077,251,175
1517571062,120,211
1517571929,112,0
1517573439,187,302
1517574503,157,1
1517575330,114,281
1517576186,150,130
1517577036,119,0
1517578104,127,0
1517579026,135,260
1517579975,121,144
1517580863,112,1
1517581703,126,2
1517582784,113,196
1517584244,222,487
1517585146,117,0
1517586176,127,270
1517588067,292,181
1517588919,99,0
1517589962,130,276
1517591451,190,134
1517593358,254,244
1517594205,94,0
1517595037,98,160
1517595273,29,0
1517596280,112,198
1517597137,90,134
1517598645,181,125
1517599945,162,198
1517600898,100,45
1517601808,88,133
1517602479,58,0
1517603453,106,190
1517604166,82,67
1517605169,87,113
1517606152,125,0
1517606921,86,0
1517607750,81,195
1517609446,169,165
1517610319,87,1
1517611247,94,205
1517612149,85,1
1517613056,71,112
1517614124,93,0
1517614948,79,202
1517615885,86,119
1517616937,87,1
1517618548,127,280
1517620248,143,208
1517621133,91,1
1517622043,72,265
1517622978,76,147
1517624145,94,0
1517625644,217,311
1517626592,83,2
1517627439,70,170
1517628350,87,0
1517629240,79,333
1517630483,126,166
1517631272,52,0
1517632296,105,286
1517632957,90,119
1517634001,124,233
1517634889,99,1
1517636219,147,451
1517637343,151,0
1517638251,106,207
1517639319,118,0
1517640347,138,387
1517641552,114,227
1517642457,108,1
1517643287,77,289
1517643753,48,0
1517645194,162,303
1517646058,93,0
1517647259,130,256
1517648201,113,237
1517649058,110,0
1517650955,210,284
1517652268,121,190
1517653719,180,1
1517654700,116,297
1517655898,131,143
1517656849,122,1
1517658982,226,425
1517659846,120,0
1517660084,66,0
1517661166,175,210
1517662226,125,118
1517663097,76,126
1517664871,190,187
1517665763,92,0
1517666662,90,193
1517667641,75,0
1517669172,155,244
1517670278,93,135
1517671712,159,0
1517672555,72,168
1517673419,82,1
1517674242,86,203
1517675124,87,0
1517676144,111,252
1517677190,121,147
1517678075,79,0
1517679641,139,266
1517680542,91,0
1517681444,96,137
1517682641,255,165
1517683535,142,2
1517684550,83,217
1517685640,87,0
1517686845,87,268
1517688143,99,108
1517689090,85,0
1517690103,98,155
1517690553,42,0
1517692478,179,183
1517693304,76,0
1517694150,76,230
1517694965,83,0
1517695848,57,126
1517696884,87,1
1517697932,89,296
1517700268,179,131
1517702171,145,335
1517703026,68,2
1517703264,11,0
1517704252,70,216
1517705133,71,69
1517706643,119,129
1517707704,98,0
1517708565,52,237
1517710250,107,154
1517711453,138,190
1517712333,87,78
1517713722,160,163
1517714647,86,1
1517715645,88,315
1517717274,148,257
1517719241,165,327
1517720524,126,176
1517721630,116,0
1517722838,90,309
1517723776,101,168
1517724865,102,1
1517725856,85,267
1517726556,56,89
1517728254,151,212
1517729802,121,363
1517731509,147,201
1517732445,63,1
1517733643,102,267
1517734668,93,285
1517735736,150,0
1517736641,90,281
1517739640,247,280
1517740111,49,0
1517740952,68,306
1517742865,151,144
1517744917,151,344
1517746463,102,239
1517748040,116,320
1517748850,57,0
1517749837,58,171
1517750913,83,0
1517751753,51,301
1517753207,96,156
1517754033,73,0
1517755243,96,321
1517757044,136,160
1517758122,118,1
1517759809,174,346
1517760653,52,142
1517762555,120,313
1517764239,514,132
1517766158,356,216
1517768066,129,211
1517769755,138,209
1517771439,220,177
1517772720,67,186
1517773541,43,71
1517775040,95,102
1517775955,47,0
1517776958,79,294
1517777865,67,134
1517778935,65,1
1517779858,94,183
1517780733,130,67
1517782258,86,116
1517783123,67,0
1517784043,61,210
1517784923,91,0
1517785840,73,120
1517786903,119,0
1517788257,102,178
1517789440,96,112
1517791351,148,213
1517793024,132,113
1517794111,72,0
1517794954,67,289
1517796641,166,111
1517797849,100,156
1517800290,81,207
1517801770,126,144
1517802977,85,210
1517804075,90,1
1517804905,70,0
1517805774,66,266
1517807445,258,164
1517808516,75,1
1517809346,69,275
1517811051,162,146
1517812946,150,248
1517814637,134,142
1517815530,106,0
1517816546,55,274
1517817402,47,0
1517818493,54,157
1517819758,63,261
1517821723,139,128
1517822804,59,0
1517823637,60,206
1517825442,99,202
1517826323,57,1
1517827243,46,192
1517829045,92,209
1517830843,100,339
1517832638,112,143
1517833847,105,184
1517834557,37,63
1517835400,52,0
1517836242,71,122
1517837440,66,182
1517838328,36,0
1517839280,41,164
1517840137,38,1
1517840909,48,1
1517841754,27,255
1517842601,43,122
1517843446,49,0
1517845348,89,167
1517846873,78,219
1517848839,81,214
1517849787,46,127
1517850644,31,0
1517852739,102,388
1517853385,25,1
1517854246,39,108
1517856149,92,181
1517857083,56,105
1517858134,142,0
1517859029,83,156
1517859935,68,46
1517861445,110,125
1517862658,152,175
1517863530,90,0
1517864683,96,178
1517865629,69,0
1517866511,49,191
1517866947,62,0
1517867958,93,100
1517868938,78,1
1517869862,71,155
1517870727,76,1
1517872261,134,161
1517874160,139,169
1517875841,121,118
1517877644,153,190
1517879270,102,98
1517880150,70,0
1517881060,123,219
1517882936,192,130
1517884950,156,234
1517885975,95,132
1517886937,76,8
1517888557,98,211
1517890472,95,125
1517891310,43,0
1517892335,57,213
1517893838,79,138
1517895031,47,151
1517895749,27,50
1517897671,101,116
1517898519,51,0
1517900359,129,327
1517901280,48,1
1517902109,34,0
1517903013,53,174
1517903821,35,111
1517904643,46,0
1517906563,76,187
1517907409,61,0
1517908244,43,187
1517909941,155,181
1517910798,68,0
1517911840,49,102
1517912069,17,0
1517913475,122,190
1517914637,91,1
1517916652,121,202
1517917499,71,0
1517918204,73,1
1517919051,50,137
1517920044,61,1
1517921146,70,229
1517922643,103,90
1517923807,74,158
1517924559,49,53
1517926239,122,82
1517927312,69,0
1517928337,76,259
1517929846,87,93
1517931759,116,156
1517933669,107,464
1517934701,114,388
1517935369,131,0
1517936605,85,130
1517937651,80,0
1517938804,105,156
1517939715,63,0
1517940645,74,247
1517941680,80,0
1517942741,72,137
1517943402,50,0
1517944239,61,72
1517945309,102,1
1517946346,82,168
1517948078,115,94
1517949751,117,263
1517951753,147,83
1517953274,114,153
1517954269,136,118
1517955343,124,0
1517956455,79,153
1517958224,190,161
1517959715,156,0
1517960641,96,130
1517962249,125,131
1517963315,83,0
1517965023,127,293
1517965850,49,1
1517966781,90,0
1517967779,99,190
1517968595,65,0
1517969690,86,0
1517970703,78,136
1517971377,54,56
1517973290,167,102
1517974846,132,192
1517975735,69,1
1517976649,55,215
1517977731,92,0
1517978570,70,171
1517980249,152,147
1517982151,174,219
1517983034,70,93
1517984150,82,0
1517985115,93,197
1517985770,45,0
1517986617,83,1
1517987442,102,94
1517989358,212,124
1517991295,147,92
1517992754,147,135
1517993789,102,77
1517994629,69,2
1517995711,106,0
1517996572,76,102
1517998150,166,115
1517999499,218,96
1518000339,73,42
1518000994,60,0
1518001843,66,69
