DateTime,Entries,UniqueIPs
1517432199,8521,8521
1517433259,8553,8553
1517434243,8523,8523
1517435127,8526,8526
1517435969,8511,8511
1517436925,8547,8547
1517438107,8519,8519
1517439387,8552,8552
1517440233,8510,8510
1517441302,8549,8549
1517442321,8504,8504
1517444059,8536,8536
1517445742,8515,8515
1517446671,8476,8476
1517447723,8511,8511
1517449225,8497,8497
1517450121,8510,8510
1517451033,8510,8510
1517452826,8517,8517
1517453784,8498,8498
1517454632,8530,8530
1517455558,8556,8556
1517456538,8519,8519
1517458231,8510,8510
1517459302,8532,8532
1517461827,8515,8515
1517462898,8545,8545
1517463764,8506,8506
1517465662,8476,8476
1517466515,8502,8502
1517467483,8474,8474
1517468552,8453,8453
1517469626,8490,8490
1517470519,8457,8457
1517472631,8467,8467
1517473518,8496,8496
1517474434,8449,8449
1517476460,8476,8476
1517477446,8440,8440
1517478321,8471,8471
1517480074,8472,8472
1517481037,8438,8438
1517481738,8439,8439
1517483428,8433,8433
1517484631,8417,8417
1517485489,8426,8426
1517486846,8422,8422
1517488042,8452,8452
1517488993,8445,8445
1517489873,8412,8412
1517490922,8442,8442
1517492119,8421,8421
1517492555,8436,8436
1517494228,8420,8420
1517495301,8448,8448
1517496277,8405,8405
1517498062,8419,8419
1517499025,8384,8384
1517499742,8381,8381
1517500795,8361,8361
1517501659,8378,8378
1517502498,8390,8390
1517503527,8358,8358
1517505628,8347,8347
1517506939,8286,8286
1517509225,8309,8309
1517509698,8318,8318
1517510548,8299,8299
1517511388,8275,8275
1517512229,8296,8296
1517512461,8301,8301
1517514029,8261,8261
1517514145,8262,8262
1517515424,8247,8247
1517516426,8272,8272
1517517738,8225,8225
1517518597,8218,8218
1517519430,8245,8245
1517521343,8264,8264
1517522186,8204,8204
1517523030,8225,8225
1517523918,8240,8240
1517524825,8212,8212
1517526073,8167,8167
1517526926,8189,8189
1517527834,8151,8151
1517528571,8136,8136
1517529480,8130,8130
1517530522,8159,8159
1517531443,8131,8131
1517532143,8148,8148
1517533831,8131,8131
1517535746,8071,8071
1517537430,8071,8071
1517538666,8036,8036
1517539523,8032,8032
1517541625,8056,8056
1517542822,7992,7992
1517543809,7961,7961
1517544632,7988,7988
1517545477,8004,8004
1517546426,7930,7930
1517547378,7944,7944
1517548233,7914,7914
1517550139,7859,7859
1517551835,7872,7872
1517552692,7893,7893
1517553743,7817,7817
1517555445,7814,7814
1517556319,7829,7829
1517557225,7743,7743
1517558080,7763,7763
1517559029,7739,7739
1517559259,7746,7746
1517560249,7712,7712
1517561124,7703,7703
1517562637,7688,7688
1517563866,7659,7659
1517564542,7684,7684
1517566053,7643,7643
1517568021,7592,7592
1517568143,7596,7596
1517570063,7587,7587
1517571057,7540,7540
1517571921,7560,7560
1517573430,7516,7516
1517574498,7553,7553
1517575325,7488,7488
1517576181,7483,7483
1517577031,7513,7513
1517578099,7552,7552
1517579019,7470,7470
1517579970,7456,7456
1517580858,7476,7476
1517581699,7502,7502
