DateTime,Entries,UniqueIPs
1517574454,15288,15288
1517575412,15287,15287
1517576134,15289,15289
1517576853,15282,15282
1517577573,15269,15269
1517578293,15271,15271
1517579253,15267,15267
1517579972,15271,15271
1517580693,15264,15264
1517581412,15260,15260
1517582133,15259,15259
1517583093,15251,15251
1517584053,15251,15251
1517585012,15258,15258
1517585972,15264,15264
1517586933,15271,15271
1517587893,15274,15274
1517588613,15275,15275
1517589572,15285,15285
1517590292,15288,15288
1517591254,15290,15290
1517592212,15289,15289
1517593174,15276,15276
1517594132,15272,15272
1517595094,15255,15255
1517596053,15243,15243
1517597012,15241,15241
1517597974,15238,15238
1517598693,15241,15241
1517599413,15244,15244
1517600134,15238,15238
1517600853,15231,15231
1517601572,15234,15234
1517602293,15234,15234
1517603013,15230,15230
1517603732,15227,15227
1517604453,15221,15221
1517605173,15226,15226
1517605892,15226,15226
1517606614,15227,15227
1517607573,15225,15225
1517608533,15225,15225
1517609493,15225,15225
1517610454,15224,15224
1517611413,15225,15225
1517612434,15229,15229
1517613094,15220,15220
1517613813,15214,15214
1517615494,15205,15205
1517616454,15197,15197
1517617654,15192,15192
1517618373,15186,15186
1517619093,15183,15183
1517619814,15177,15177
1517621014,15181,15181
1517621733,15171,15171
1517622452,15184,15184
1517623894,15183,15183
1517624613,15180,15180
1517625333,15180,15180
1517626294,15164,15164
1517627253,15158,15158
1517627974,15162,15162
1517628934,15149,15149
1517629654,15137,15137
1517630374,15134,15134
1517631094,15124,15124
1517631812,15110,15110
1517632532,15117,15117
1517633736,15119,15119
1517634693,15118,15118
1517635654,15115,15115
1517636373,15108,15108
1517637094,15099,15099
1517638053,15090,15090
1517639013,15092,15092
1517639973,15077,15077
1517640693,15083,15083
1517641413,15082,15082
1517642132,15082,15082
1517642854,15061,15061
1517643813,15050,15050
1517644773,15039,15039
1517645493,15039,15039
1517646214,15033,15033
1517646933,15035,15035
1517647653,15033,15033
1517648374,15018,15018
1517649094,15031,15031
1517649813,15028,15028
1517650533,15025,15025
1517651493,15015,15015
1517652453,15000,15000
1517653174,14991,14991
1517653892,14979,14979
1517654853,14979,14979
1517655574,14985,14985
1517656534,14989,14989
1517657492,15002,15002
1517658453,14997,14997
1517659893,15000,15000
1517661093,15002,15002
1517661813,15014,15014
1517663493,15020,15020
1517664452,15020,15020
1517665414,15037,15037
1517666134,15035,15035
1517666853,15038,15038
1517667572,15043,15043
1517668293,15051,15051
1517669012,15059,15059
1517669733,15055,15055
1517670694,15057,15057
1517671412,15049,15049
1517672372,15056,15056
1517673334,15053,15053
1517674292,15057,15057
1517675013,15059,15059
1517675733,15056,15056
1517676453,15075,15075
1517677172,15080,15080
1517678133,15087,15087
1517679093,15092,15092
1517679812,15105,15105
1517680533,15112,15112
1517681253,15117,15117
1517681972,15132,15132
1517682934,15150,15150
1517683893,15160,15160
1517684853,15161,15161
1517685813,15180,15180
1517686533,15187,15187
1517687253,15193,15193
1517688213,15203,15203
1517688932,15217,15217
1517689653,15230,15230
1517690373,15238,15238
1517691093,15248,15248
1517691812,15244,15244
1517692533,15254,15254
1517693253,15250,15250
1517694213,15259,15259
1517695173,15254,15254
1517696613,15264,15264
1517697572,15277,15277
1517698293,15279,15279
1517699253,15290,15290
1517700212,15304,15304
1517701415,15308,15308
1517702134,15319,15319
1517702853,15321,15321
1517703573,15325,15325
1517704533,15337,15337
1517705197,15339,15339
1517706453,15332,15332
1517707414,15338,15338
1517708372,15356,15356
1517709334,15354,15354
1517710052,15355,15355
1517710775,15360,15360
1517711492,15357,15357
1517712214,15368,15368
1517712933,15374,15374
1517713893,15374,15374
1517714613,15369,15369
1517715815,15373,15373
1517716537,15372,15372
1517717256,15371,15371
1517718214,15371,15371
1517719605,15373,15373
1517720372,15363,15363
1517721094,15361,15361
1517722054,15362,15362
1517723012,15367,15367
1517724453,15365,15365
1517725413,15358,15358
1517726134,15361,15361
1517727093,15361,15361
1517728053,15369,15369
1517728773,15373,15373
1517729493,15386,15386
1517730213,15392,15392
1517730932,15401,15401
1517731894,15404,15404
1517732853,15414,15414
1517733813,15427,15427
1517734773,15425,15425
1517735733,15416,15416
1517736693,15419,15419
1517737652,15426,15426
1517738373,15440,15440
1517739093,15444,15444
1517739814,15440,15440
1517740533,15444,15444
1517741252,15442,15442
1517741972,15434,15434
1517742693,15431,15431
1517743653,15436,15436
1517744373,15436,15436
1517745093,15456,15456
1517746293,15450,15450
1517747013,15448,15448
1517747733,15449,15449
1517748693,15439,15439
1517749413,15437,15437
1517750133,15437,15437
1517750853,15434,15434
1517751574,15427,15427
1517752293,15422,15422
1517753253,15424,15424
1517754213,15429,15429
1517755173,15419,15419
1517756134,15429,15429
1517757093,15433,15433
1517758053,15426,15426
1517759013,15432,15432
1517760454,15435,15435
1517761173,15436,15436
1517761893,15448,15448
1517762853,15430,15430
1517763573,15423,15423
1517764535,15424,15424
1517765253,15424,15424
1517765973,15415,15415
1517766933,15418,15418
1517767893,15428,15428
1517770533,15396,15396
1517771253,15394,15394
1517771973,15390,15390
1517772934,15375,15375
1517773894,15369,15369
1517774853,15370,15370
1517775813,15357,15357
1517776773,15351,15351
1517777494,15341,15341
1517778212,15342,15342
1517778933,15342,15342
1517779653,15342,15342
1517780614,15345,15345
1517781573,15344,15344
1517782533,15339,15339
1517783254,15329,15329
1517783974,15329,15329
1517784934,15317,15317
1517785653,15313,15313
1517786374,15304,15304
1517787333,15314,15314
1517788053,15312,15312
1517788774,15314,15314
1517789733,15316,15316
1517790453,15319,15319
1517791173,15322,15322
1517791894,15320,15320
1517792854,15339,15339
1517793813,15319,15319
1517794534,15311,15311
1517795494,15311,15311
1517796214,15306,15306
1517796934,15313,15313
1517797892,15322,15322
1517798853,15319,15319
1517799573,15328,15328
1517800293,15344,15344
1517801013,15344,15344
1517801734,15360,15360
1517802634,15357,15357
1517803653,15353,15353
1517804614,15358,15358
1517805572,15368,15368
1517806552,15380,15380
1517807493,15384,15384
1517808213,15380,15380
1517808932,15381,15381
1517809653,15385,15385
1517810373,15383,15383
1517811332,15395,15395
1517812293,15392,15392
1517813253,15398,15398
1517814214,15392,15392
1517814934,15392,15392
1517815653,15387,15387
1517816374,15388,15388
1517817094,15380,15380
1517818054,15367,15367
1517818774,15717,15717
1517819492,15712,15712
1517820213,15703,15703
1517820932,15707,15707
1517821652,15717,15717
1517822372,15721,15721
1517823334,15743,15743
1517824294,15738,15738
1517825252,15730,15730
1517826453,15742,15742
1517827412,15751,15751
1517828372,15756,15756
1517829093,15767,15767
1517830054,15761,15761
1517830773,15759,15759
1517831493,15749,15749
1517832934,15767,15767
1517833893,15772,15772
1517834614,15775,15775
1517835332,15781,15781
1517836293,15780,15780
1517837013,15790,15790
1517837734,15799,15799
1517838452,15791,15791
1517839173,15790,15790
1517840132,15805,15805
1517840853,15796,15796
1517841573,15794,15794
1517842293,15791,15791
1517843493,15799,15799
1517844214,15794,15794
1517844934,15798,15798
1517845892,15795,15795
1517846854,15797,15797
1517847813,15795,15795
1517848773,15791,15791
1517849733,15781,15781
1517850694,15778,15778
1517851653,15779,15779
1517853333,15770,15770
1517854294,15783,15783
1517855253,15784,15784
1517856213,15783,15783
1517856933,15778,15778
1517857654,15780,15780
1517858373,15771,15771
1517859333,15772,15772
1517860053,15772,15772
1517861013,15777,15777
1517861973,15778,15778
1517862693,15767,15767
1517863412,15763,15763
1517864134,15768,15768
1517864852,15768,15768
1517865572,15763,15763
1517866294,15760,15760
1517867253,15754,15754
1517867973,15750,15750
1517868694,15740,15740
1517869414,15737,15737
1517870134,15729,15729
1517871572,15712,15712
1517872534,15704,15704
1517873253,15691,15691
1517873973,15685,15685
1517874934,15673,15673
1517875894,15666,15666
1517876854,15655,15655
1517877572,15646,15646
1517878270,15643,15643
1517879014,15633,15633
1517879734,15625,15625
1517880694,15622,15622
1517881413,15622,15622
1517882134,15631,15631
1517882853,15628,15628
1517883572,15616,15616
1517884534,15626,15626
1517885494,15627,15627
1517886454,15615,15615
1517887173,15604,15604
1517887893,15598,15598
1517888614,15593,15593
1517889334,15588,15588
1517890292,15592,15592
1517891014,15590,15590
1517891733,15581,15581
1517892454,15574,15574
1517893174,15565,15565
1517894134,15560,15560
1517895094,15562,15562
1517896053,15573,15573
1517896773,15566,15566
1517897494,15568,15568
1517898213,15573,15573
1517898933,15566,15566
1517899894,15564,15564
1517900853,15563,15563
1517901813,15563,15563
1517902774,15551,15551
1517903734,15561,15561
1517904721,15556,15556
1517905412,15218,15218
1517906133,15216,15216
1517906854,15223,15223
1517907572,15215,15215
1517908293,15211,15211
1517909013,15200,15200
1517909733,15187,15187
1517910453,15189,15189
1517911413,15185,15185
1517912373,15185,15185
1517913093,15190,15190
1517913812,15188,15188
1517914832,15188,15188
1517916693,15178,15178
1517917413,15172,15172
1517918133,15174,15174
1517919093,15156,15156
1517919813,15141,15141
1517920534,15140,15140
1517921494,15138,15138
1517922453,15135,15135
1517923414,15130,15130
1517924133,15122,15122
1517924853,15126,15126
1517925574,15139,15139
1517926294,15136,15136
1517927014,15134,15134
1517927732,15141,15141
1517928693,15139,15139
1517929653,15140,15140
1517930613,15141,15141
1517931333,15152,15152
1517932054,15149,15149
1517932773,15152,15152
1517933492,15158,15158
1517934453,15152,15152
1517935173,15151,15151
1517935893,15155,15155
1517936613,15166,15166
1517937332,15162,15162
1517938053,15161,15161
1517939494,15163,15163
1517940214,15157,15157
1517940933,15155,15155
1517942373,15150,15150
1517943093,15158,15158
1517943813,15156,15156
1517944773,15151,15151
1517945733,15147,15147
1517946693,15143,15143
1517947653,15137,15137
1517948613,15129,15129
1517949576,15123,15123
1517950534,15113,15113
1517951493,15112,15112
1517952453,15107,15107
1517953414,15093,15093
1517954373,15103,15103
1517955333,15107,15107
1517956292,15105,15105
1517957733,15130,15130
1517958452,15142,15142
1517959173,15144,15144
1517960133,15151,15151
1517961093,15160,15160
1517962054,15169,15169
1517963012,15166,15166
1517963973,15175,15175
1517964940,15178,15178
1517965777,15180,15180
1517966373,15179,15179
1517967094,15175,15175
1517967813,15169,15169
1517969254,15156,15156
1517969974,15156,15156
1517970694,15151,15151
1517971653,15140,15140
1517972613,15130,15130
1517973572,15130,15130
1517974293,15132,15132
1517975014,15120,15120
1517975733,15123,15123
1517976454,15126,15126
1517977413,15117,15117
1517978373,15125,15125
1517979273,15137,15137
1517980773,15140,15140
1517981504,15131,15131
1517982212,15119,15119
1517983172,15114,15114
1517984134,15114,15114
1517985094,15096,15096
1517985813,15094,15094
1517986534,15093,15093
1517987253,15089,15089
1517987974,15084,15084
1517988693,15075,15075
1517989414,15072,15072
1517990132,15066,15066
1517990853,15064,15064
1517991814,15060,15060
1517992773,15060,15060
1517993493,15052,15052
1517994213,15055,15055
1517994933,15054,15054
1517995653,15063,15063
1517996612,15053,15053
1517997573,15042,15042
1517998533,15053,15053
1517999493,15046,15046
1518000452,15043,15043
1518001173,15039,15039
1518001892,15037,15037
1518002614,15032,15032
