DateTime,Entries,UniqueIPs
1515225123,6009,6009
1515227285,6016,6016
1515231124,5997,5997
1515236883,6052,6052
1515239044,6071,6071
1515248645,6103,6103
1515252485,6094,6094
1515256566,6063,6063
1515264249,6105,6105
1515274085,6051,6051
1515279843,6044,6044
1515285603,5999,5999
1515289444,6006,6006
1515297123,5983,5983
1515303124,5954,5954
1515312723,5990,5990
1515320404,6050,6050
1515326164,6065,6065
1515331924,6076,6076
1515335764,6111,6111
1515339603,6114,6114
1515341524,6092,6092
1515347285,6063,6063
1515356887,6073,6073
1515358817,6079,6079
1515367205,6010,6010
1515371285,5984,5984
1515375124,5993,5993
1515378963,5943,5943
1515384964,5944,5944
1515390964,5932,5932
1515398644,5954,5954
1515404404,6005,6005
1515406564,6016,6016
1515412324,6006,6006
1515418084,6042,6042
1515424084,6063,6063
1515431764,6036,6036
1515437764,6085,6085
1515445685,6082,6082
1515450966,6042,6042
1515454804,5978,5978
1515463444,5977,5977
1515467284,5959,5959
1515475443,5931,5931
1515481443,5965,5965
1515489124,5959,5959
1515494884,5961,5961
1515500643,5994,5994
1515506644,6024,6024
1515514564,6039,6039
1515522724,6048,6048
1515526567,6069,6069
1515530405,6088,6088
1515534486,6071,6071
1515538326,6081,6081
1515544084,5965,5965
1515548164,6010,6010
1515553925,5965,5965
1515557767,5958,5958
1515561606,5943,5943
1515565445,5920,5920
1515571211,5971,5971
1515578884,5981,5981
1515587284,6001,6001
1515591364,6035,6035
1515595203,6023,6023
1515602883,6020,6020
1515608644,6047,6047
1515612725,6063,6063
1515618486,6085,6085
1515626405,6011,6011
1515630485,5990,5990
1515634325,5978,5978
1515638165,5968,5968
1515643925,5976,5976
1515649924,5939,5939
1515655924,5972,5972
1515660004,5969,5969
1515668164,5989,5989
1515675843,5978,5978
1515679685,5999,5999
1515685687,6002,6002
1515691444,6011,6011
1515697684,6009,6009
1515701527,6024,6024
1515707524,6015,6015
1515713286,5982,5982
1515717132,5942,5942
1515719284,5970,5970
1515723364,5954,5954
1515729126,5947,5947
1515735365,5927,5927
1515741366,5955,5955
1515745206,5979,5979
1515754817,5952,5952
1515762724,5996,5996
1515770405,6019,6019
1515774724,6017,6017
1515778565,6011,6011
1515788645,6022,6022
1515796324,6007,6007
1515800885,5927,5927
1515806885,5953,5953
1515810965,5948,5948
1515814803,5932,5932
1515822723,5900,5900
1515830644,5942,5942
1515836403,5962,5962
1515840243,5961,5961
1515848414,6007,6007
1515854164,6033,6033
1515858244,6041,6041
1515865923,6002,6002
1515872163,5992,5992
1515874090,5988,5988
1515881766,5954,5954
1515887523,5920,5920
1515893286,5956,5956
1515899044,5971,5971
1515902883,5888,5888
1515906724,5870,5870
1515910564,5871,5871
1515916565,5912,5912
1515918483,5900,5900
1515926164,5950,5950
1515933843,5979,5979
1515943445,5997,5997
1515949213,5980,5980
1515951126,5967,5967
1515956884,6018,6018
1515962649,6002,6002
1515968644,5948,5948
1515974883,5905,5905
1515980643,5929,5929
1515986643,5900,5900
1515990485,5882,5882
1515996243,5850,5850
1516000323,5888,5888
1516006084,5884,5884
1516009923,5898,5898
1516015684,5901,5901
1516019764,5909,5909
1516025764,5897,5897
1516029604,5925,5925
1516033443,5926,5926
1516039214,5928,5928
1516044964,5935,5935
1516049523,5931,5931
1516057217,5865,5865
1516063204,5856,5856
1516067045,5878,5878
1516072804,5856,5856
1516076643,5850,5850
1516084324,5846,5846
1516088164,5872,5872
1516094165,5894,5894
1516099924,5898,5898
1516107613,5913,5913
1516115524,5913,5913
1516121524,5906,5906
1516127286,5931,5931
1516133044,5935,5935
1516140724,5908,5908
1516144563,5885,5885
1516148886,5867,5867
1516155368,5903,5903
1516161364,5842,5842
1516169524,5839,5839
1516175523,5862,5862
1516181764,5899,5899
1516190164,5914,5914
1516198084,5933,5933
1516203845,5917,5917
1516207926,5924,5924
1516211765,5934,5934
1516215613,5937,5937
1516221844,5925,5925
1516225923,5903,5903
1516231923,5861,5861
1516239604,5944,5944
1516247525,5903,5903
1516251364,5867,5867
1516257125,5856,5856
1516263124,5878,5878
1516268885,5902,5902
1516275363,5905,5905
1516279444,5904,5904
1516283283,5931,5931
1516289044,5911,5911
1516294817,5931,5931
1516300805,5942,5942
1516304884,5924,5924
1516313285,5880,5880
1516319524,5858,5858
1516327443,5898,5898
1516334165,5850,5850
1516340644,5825,5825
1516342804,5812,5812
1516346643,5859,5859
1516350723,5875,5875
1516358404,5895,5895
1516366565,5893,5893
1516372805,5923,5923
1516380723,5919,5919
1516386723,5934,5934
1516394643,5944,5944
1516398723,5903,5903
1516406883,5878,5878
1516409044,5887,5887
1516414803,5890,5890
1516420564,5856,5856
1516428483,5804,5804
1516436403,5863,5863
1516442644,5899,5899
