DateTime,AddedIPs,RemovedIPs
1516842977,5,5
1516844924,19,7
1516850678,11,31
1516852591,12,7
1516854493,13,19
1516856426,3,13
1516858332,9,17
1516860273,8,5
1516862172,7,13
1516864096,4,0
1516866013,5,0
1516867946,23,17
1516869859,13,0
1516871790,7,17
1516873691,11,7
1516875625,6,15
1516877540,4,0
1516881377,9,11
1516883299,14,0
1516885228,10,15
1516887147,4,5
1516890985,12,23
1516892897,5,0
1516896741,7,14
1516898683,20,13
1516900590,5,7
1516902504,15,2
1516906352,5,10
1516910195,6,18
1516912093,13,11
1516914032,10,6
1516915945,7,0
1516917873,9,0
1516919791,13,2
1516922216,10,13
1516924096,15,6
1516926019,8,2
1516927943,4,11
1516930106,21,0
1516932028,7,3
1516933942,6,0
1516935864,8,4
1516937790,9,13
1516939705,17,6
1516941630,13,7
1516943541,11,4
1516945474,14,0
1516947388,9,14
1516949299,14,12
1516951233,9,10
1516953147,2,18
1516955061,11,18
1516956988,4,17
1516958892,1,17
1516960894,3,6
1516962870,6,4
1516966818,9,8
1516968986,8,2
1516970893,23,2
1516972818,5,7
1516974744,4,26
1516976653,12,6
1516978572,2,12
1516980489,14,6
1516982420,9,0
1516984359,5,4
1516986524,8,3
1516988422,9,11
1516990333,3,1
1516992256,9,8
1516994181,7,1
1516996132,3,5
1516998009,17,11
1516999936,3,8
1517001850,12,14
1517005941,7,10
1517008610,11,16
1517010996,4,7
1517013156,8,5
1517015081,14,21
1517017305,17,11
1517019145,22,13
1517021081,14,10
1517022996,13,7
1517024906,9,21
1517026846,15,8
1517028995,17,7
1517030895,11,0
1517034735,10,29
1517038826,8,14
1517040754,16,21
1517044575,6,9
1517046508,8,3
1517048465,4,4
1517050349,6,0
1517054204,7,21
1517058028,1,8
1517059947,8,17
1517063785,4,17
1517065703,5,0
1517067871,13,10
1517070030,7,23
1517071937,14,0
1517073865,11,11
1517077695,12,34
1517079637,2,13
1517081788,5,8
1517083714,7,0
1517085633,4,6
1517087550,13,8
1517089461,9,0
1517091388,7,10
1517093295,18,5
1517095923,3,11
1517097868,6,5
1517099789,7,11
1517101706,9,9
1517103609,6,6
1517105530,23,4
1517107453,10,10
1517109380,13,0
1517111291,13,10
1517113211,20,18
1517117060,8,33
1517120888,15,15
1517122817,10,3
1517124737,8,7
1517126677,4,13
1517128586,13,16
1517130521,11,14
1517132406,4,13
1517134841,2,9
1517136740,4,1
1517138665,5,4
1517140579,5,3
1517142493,11,4
1517146338,8,15
1517148259,6,11
1517150183,3,12
1517152104,7,7
1517154013,7,11
1517155932,19,11
1517157869,14,0
1517159792,12,0
1517161711,14,3
1517163617,18,0
1517165554,4,8
1517167458,17,7
1517169392,2,4
1517173255,5,20
1517175151,15,9
1517177064,3,11
1517178989,8,9
1517180918,6,14
1517182836,1,14
1517187148,1,7
1517192890,14,20
1517194855,4,14
1517196742,15,9
1517198666,17,3
1517200589,6,13
1517202493,15,3
1517204413,15,8
1517206584,6,0
1517208494,12,9
1517210432,13,6
1517212332,11,7
1517214257,13,11
1517216281,5,4
1517218094,13,9
1517220267,7,6
1517222178,7,4
1517224102,3,5
1517226262,8,3
1517228187,9,4
1517230101,3,7
1517232013,8,6
1517233950,6,4
1517235860,6,2
1517237790,8,5
1517239693,11,4
1517241624,2,11
1517243542,0,10
1517245463,4,14
1517249547,6,7
1517251461,17,0
1517253379,9,0
1517255298,12,7
1517257209,2,2
1517259128,6,5
1517261053,19,6
1517262977,6,11
1517265141,7,0
1517269296,19,16
1517271397,11,6
1517273296,12,17
1517275211,15,6
1517277135,16,0
1517279050,21,0
1517282887,18,4
1517288667,20,13
1517290570,17,11
1517292502,8,8
1517294408,2,8
1517296375,2,8
1517298266,10,16
1517300179,5,2
1517304019,6,15
1517306679,4,8
1517308577,8,3
1517310735,3,0
1517312662,5,9
1517316745,4,13
1517318654,4,5
1517320582,5,16
1517322496,15,0
1517324424,7,3
1517326346,7,14
1517328523,4,5
1517332350,5,3
1517334271,18,6
1517336182,3,0
1517338114,17,3
1517340025,6,0
1517342200,3,6
1517344101,13,15
1517346276,2,6
1517348173,6,0
1517350334,10,3
1517352264,17,0
1517354178,5,0
1517356103,12,0
1517358028,4,0
1517359927,7,9
1517362099,10,0
1517364024,7,12
1517365936,4,11
1517367859,5,7
1517369770,5,10
1517371691,2,0
1517373612,5,0
1517375537,5,5
1517377455,11,8
1517381290,16,9
1517387289,22,13
1517389222,5,11
1517391148,8,10
1517396899,6,22
1517399054,2,14
1517400997,4,7
1517402892,2,8
1517404818,8,10
1517406732,3,0
1517409398,6,0
1517411311,4,4
1517413224,5,16
1517415140,9,7
1517417064,6,16
1517418994,11,7
1517420899,12,8
1517422811,4,5
1517424751,12,6
1517426666,8,6
1517428584,7,15
1517430496,16,6
1517432433,5,0
1517434341,4,6
1517436274,5,10
1517440116,2,9
1517442010,9,3
1517443957,7,2
1517449715,11,16
1517451628,13,20
1517453549,15,0
1517455479,15,13
1517457384,8,0
1517459314,11,24
1517461234,18,1
1517463157,17,7
1517465068,6,0
1517466989,6,13
1517470838,9,7
1517472744,8,0
1517476589,9,36
1517478518,17,18
1517480417,5,0
1517482352,7,10
1517484269,8,0
1517487321,6,12
1517489313,3,14
1517491226,3,10
1517493142,3,6
1517496983,6,11
1517498895,8,7
1517502990,8,5
1517504894,14,19
1517508734,5,22
1517532007,13,79
1517533931,8,4
1517539706,14,34
1517545708,12,29
1517551458,9,36
1517553381,16,8
1517555293,9,18
1517557211,6,4
1517559147,19,3
1517561054,17,12
1517562977,8,3
1517565993,5,4
1517568048,7,5
1517570182,5,0
1517574027,5,15
1517575936,6,19
1517577850,12,7
1517579769,14,4
1517581687,14,8
1517583620,3,4
1517585537,8,16
1517587465,6,9
1517589623,3,4
1517593694,13,17
1517595627,5,2
1517597539,2,9
1517601368,7,16
1517605230,7,16
1517607146,6,11
1517609061,3,0
1517612906,4,7
1517618651,17,23
1517620600,20,12
1517622505,10,16
1517624414,14,24
1517626351,8,14
1517628520,10,18
1517632344,18,26
1517634272,10,15
1517636182,9,15
1517638120,22,0
1517641934,4,14
1517643870,21,9
1517645787,16,17
1517649619,14,8
1517651547,16,4
1517653696,17,4
1517655627,14,3
1517661613,11,6
1517663548,16,2
1517665465,13,3
1517669297,27,6
1517671474,24,4
1517673384,13,17
1517675297,16,6
1517677234,8,12
1517679150,12,11
1517681065,14,0
1517682991,16,6
1517684922,4,1
1517687310,10,9
1517689219,10,9
1517691152,8,6
1517693056,11,13
1517695237,4,8
1517697143,7,5
1517699316,7,17
1517701567,16,1
1517703635,13,8
1517705557,7,3
1517707471,10,11
1517709387,7,7
1517711552,14,22
1517713470,12,12
1517717310,14,32
1517719228,14,21
1517721150,9,0
1517723070,16,8
1517724989,10,0
1517727155,9,11
1517729299,12,16
1517731217,15,9
1517733382,11,5
1517737213,1,27
1517741312,13,3
1517743212,8,4
1517745139,8,4
1517747064,10,6
1517748973,2,9
1517750908,12,0
1517752842,6,7
1517756666,8,11
1517760525,10,16
1517762412,14,15
1517764598,4,31
1517766495,11,0
1517768423,14,38
1517770601,7,4
1517772502,17,17
1517774428,9,5
1517776341,2,0
1517778275,7,6
1517782098,8,16
1517784025,7,9
1517785949,5,4
1517788114,12,1
1517790017,13,0
1517791952,5,2
1517793871,13,0
1517796027,14,0
1517797952,5,13
1517799870,9,4
1517801789,8,13
1517805629,9,18
1517807546,16,12
1517809462,14,12
1517811401,3,7
1517813315,10,12
1517815463,10,16
1517817631,6,7
1517819546,6,14
1517821464,13,5
1517823398,4,18
1517825315,3,6
1517829629,11,8
1517831547,3,6
1517833469,14,9
1517835384,4,4
1517837304,14,8
1517839245,3,5
1517841149,4,8
1517843084,6,8
1517844990,7,16
1517846923,7,4
1517848840,4,1
1517850752,5,5
1517852922,11,0
1517854817,5,7
1517856990,6,25
1517858893,15,9
1517861079,8,15
1517862972,2,4
1517864912,6,4
1517866811,3,17
1517868745,1,5
1517870660,19,5
1517872600,5,0
1517878338,5,46
1517880263,21,15
1517882187,8,14
1517884103,8,16
1517886026,7,0
1517887951,4,21
1517893695,9,20
1517895621,7,14
1517899466,11,15
1517903298,8,11
1517907138,5,5
1517909064,13,7
1517910983,14,0
1517912897,9,7
1517914865,3,7
1517916761,8,3
1517918678,3,4
1517920585,3,0
1517922532,7,3
1517924414,4,3
1517926352,12,4
1517928255,12,12
1517930188,4,6
1517932108,14,5
1517934065,13,5
1517935944,6,0
1517938370,8,6
1517940264,4,11
1517942424,7,3
1517944334,8,19
1517946257,13,4
1517948177,5,3
1517950103,14,10
1517952014,3,3
1517953938,5,5
1517955852,11,9
1517957783,2,16
1517959692,11,5
1517961618,7,13
1517963533,4,4
1517965460,6,2
1517967374,13,17
1517969316,5,4
1517971211,2,5
1517973134,23,6
1517975060,7,5
1517976976,10,2
1517978892,14,4
1517980823,14,6
1517984651,8,9
1517988492,8,12
1517992339,8,21
1517996188,8,14
1517998105,7,0
1518000014,4,0
1518001955,17,4
