DateTime,Entries,UniqueIPs
1516842977,2768,2842
1516844924,2779,2854
1516850678,2759,2834
1516852591,2764,2839
1516854493,2757,2833
1516856426,2747,2823
1516858332,2739,2815
1516860273,2742,2818
1516862172,2736,2812
1516864096,2740,2816
1516866013,2745,2821
1516867946,2751,2827
1516869859,2764,2840
1516871790,2753,2830
1516873691,2757,2834
1516875625,2749,2825
1516877540,2753,2829
1516881377,2751,2827
1516883299,2765,2841
1516885228,2760,2836
1516887147,2759,2835
1516890985,2749,2824
1516892897,2754,2829
1516896741,2747,2822
1516898683,2753,2829
1516900590,2751,2827
1516902504,2764,2840
1516906352,2759,2835
1516910195,2747,2823
1516912093,2749,2825
1516914032,2753,2829
1516915945,2760,2836
1516917873,2769,2845
1516919791,2780,2856
1516922216,2777,2853
1516924096,2786,2862
1516926019,2792,2868
1516927943,2785,2861
1516930106,2806,2882
1516932028,2811,2886
1516933942,2817,2892
1516935864,2821,2896
1516937790,2817,2892
1516939705,2828,2903
1516941630,2833,2909
1516943541,2840,2916
1516945474,2854,2930
1516947388,2849,2925
1516949299,2852,2927
1516951233,2852,2926
1516953147,2836,2910
1516955061,2829,2903
1516956988,2817,2890
1516958892,2801,2874
1516960894,2798,2871
1516962870,2800,2873
1516966818,2802,2874
1516968986,2808,2880
1516970893,2829,2901
1516972818,2827,2899
1516974744,2806,2877
1516976653,2811,2883
1516978572,2802,2873
1516980489,2808,2881
1516982420,2817,2890
1516984359,2818,2891
1516986524,2823,2896
1516988422,2821,2894
1516990333,2823,2896
1516992256,2824,2897
1516994181,2829,2903
1516996132,2827,2901
1516998009,2832,2907
1516999936,2828,2902
1517001850,2826,2900
1517005941,2822,2897
1517008610,2818,2892
1517010996,2816,2889
1517013156,2819,2892
1517015081,2812,2885
1517017305,2818,2891
1517019145,2827,2900
1517021081,2831,2904
1517022996,2838,2910
1517024906,2826,2898
1517026846,2833,2905
1517028995,2843,2915
1517030895,2853,2926
1517034735,2834,2907
1517038826,2828,2901
1517040754,2824,2896
1517044575,2821,2893
1517046508,2826,2898
1517048465,2826,2898
1517050349,2832,2904
1517054204,2817,2890
1517058028,2812,2883
1517059947,2805,2874
1517063785,2792,2861
