DateTime,AddedIPs,RemovedIPs
1516842977,18,42
1516844924,41,19
1516850678,37,39
1516852591,20,39
1516854493,46,17
1516856426,6,49
1516858332,22,10
1516860273,27,21
1516862172,20,28
1516864096,16,18
1516866013,13,16
1516867946,43,12
1516869859,35,42
1516871790,13,36
1516873691,41,14
1516875625,18,40
1516877540,17,20
1516881377,24,14
1516883299,37,22
1516885228,21,38
1516887147,11,21
1516890985,21,14
1516892897,19,25
1516896741,26,15
1516898683,35,22
1516900590,15,36
1516902504,46,16
1516906352,12,47
1516910195,19,15
1516912093,41,16
1516914032,20,43
1516915945,18,21
1516917873,26,18
1516919791,23,25
1516922216,24,23
1516924096,37,20
1516926019,28,34
1516927943,15,36
1516930106,39,14
1516932028,26,34
1516933942,11,28
1516935864,25,12
1516937790,33,22
1516939705,44,34
1516941630,43,45
1516943541,17,41
1516945474,39,21
1516947388,32,36
1516949299,45,33
1516951233,16,42
1516953147,11,23
1516955061,44,9
1516956988,15,45
1516958892,19,17
1516960894,24,15
1516962870,13,25
1516966818,18,14
1516968986,19,17
1516970893,45,18
1516972818,14,44
1516974744,12,16
1516976653,38,14
1516978572,16,37
1516980489,41,14
1516982420,25,40
1516984359,16,28
1516986524,26,13
1516988422,20,27
1516990333,17,22
1516992256,39,9
1516994181,24,37
1516996132,23,31
1516998009,38,23
1516999936,18,41
1517001850,31,15
1517005941,13,34
1517008610,36,13
1517010996,16,32
1517013156,26,16
1517015081,32,25
1517017305,40,32
1517019145,49,42
1517021081,42,49
1517022996,36,36
1517024906,34,43
1517026846,43,36
1517028995,39,39
1517030895,40,38
1517034735,34,43
1517038826,19,34
1517040754,43,19
1517044575,18,43
1517046508,17,17
1517048465,9,19
1517050349,19,13
1517054204,13,16
1517058028,10,15
1517059947,16,10
1517063785,18,17
1517065703,14,13
1517067871,41,14
1517070030,32,41
1517071937,32,34
1517073865,39,31
1517077695,30,33
1517079637,4,35
1517081788,23,4
1517083714,17,24
1517085633,11,18
1517087550,27,11
1517089461,22,23
1517091388,15,25
1517093295,38,14
1517095923,9,38
1517097868,31,11
1517099789,22,31
1517101706,38,21
1517103609,34,32
1517105530,55,39
1517107453,36,57
1517109380,37,35
1517111291,35,32
1517113211,48,36
1517117060,38,52
1517120888,45,36
1517122817,37,37
1517124737,28,41
1517126677,23,29
1517128586,33,23
1517130521,35,33
1517132406,11,42
1517134841,7,12
1517136740,14,6
1517138665,12,14
1517140579,12,11
1517142493,18,15
1517146338,17,16
1517148259,12,18
1517150183,10,13
1517152104,17,9
1517154013,38,17
1517155932,43,31
1517157869,47,41
1517159792,29,49
1517161711,41,29
1517163617,44,41
1517165554,15,47
1517167458,45,16
1517169392,13,48
1517173255,22,12
1517175151,34,19
1517177064,10,33
1517178989,21,13
1517180918,20,22
1517182836,8,19
1517187148,19,8
1517192890,24,15
1517194855,7,26
1517196742,33,8
1517198666,34,30
1517200589,17,36
1517202493,35,17
1517204413,38,31
1517206584,23,42
1517208494,37,21
1517210432,34,38
1517212332,26,35
1517214257,36,27
1517216281,17,37
1517218094,32,17
1517220267,19,30
1517222178,12,17
1517224102,7,14
1517226262,18,12
1517228187,22,17
1517230101,12,19
1517232013,21,12
1517233950,15,23
1517235860,13,16
1517237790,19,14
1517239693,33,15
1517241624,9,32
1517243542,6,11
1517245463,9,8
1517249547,15,10
1517251461,40,12
1517253379,17,39
1517255298,34,15
1517257209,10,37
1517259128,16,12
1517261053,43,13
1517262977,12,43
1517265141,16,14
1517269296,42,16
1517271397,32,35
1517273296,33,35
1517275211,38,32
1517277135,40,37
1517279050,37,42
1517282887,41,38
1517288667,36,40
1517290570,39,34
1517292502,31,28
1517294408,15,46
1517296375,10,16
1517298266,35,9
1517300179,12,33
1517304019,18,17
1517306679,15,15
1517308577,19,13
1517310735,7,23
1517312662,12,8
1517316745,9,11
1517318654,14,8
1517320582,14,16
1517322496,29,11
1517324424,11,29
1517326346,17,12
1517328523,9,15
1517332350,21,13
1517334271,39,19
1517336182,11,39
1517338114,44,12
1517340025,13,44
1517342200,13,12
1517344101,27,10
1517346276,10,29
1517348173,16,12
1517350334,24,16
1517352264,33,21
1517354178,13,34
1517356103,35,13
1517358028,15,39
1517359927,17,15
1517362099,40,14
1517364024,18,39
1517365936,13,17
1517367859,27,15
1517369770,15,26
1517371691,12,18
1517373612,17,10
1517375537,16,13
1517377455,42,15
1517381290,41,42
1517387289,48,42
1517389222,14,46
1517391148,15,20
1517396899,24,17
1517399054,10,21
1517400997,12,14
1517402892,14,12
1517404818,16,14
1517406732,8,16
1517409398,18,7
1517411311,17,15
1517413224,11,19
1517415140,20,10
1517417064,30,18
1517418994,27,24
1517420899,34,27
1517422811,10,39
1517424751,27,13
1517426666,35,25
1517428584,21,36
1517430496,37,20
1517432433,11,38
1517434341,11,10
1517436274,15,16
1517440116,9,12
1517442010,27,8
1517443957,14,27
1517449715,41,15
1517451628,22,40
1517453549,31,22
1517455479,38,30
1517457384,36,36
1517459314,28,36
1517461234,46,30
1517463157,47,40
1517465068,23,46
1517466989,19,31
1517470838,20,19
1517472744,38,17
1517476589,20,41
1517478518,29,22
1517480417,13,28
1517482352,19,15
1517484269,28,20
1517487321,16,28
1517489313,16,14
1517491226,20,16
1517493142,12,20
1517496983,13,13
1517498895,21,12
1517502990,24,21
1517504894,26,19
1517508734,12,29
1517532007,33,11
1517533931,25,34
1517539706,38,23
1517545708,37,38
1517551458,24,36
1517553381,30,27
1517555293,16,32
1517557211,19,16
1517559147,41,17
1517561054,37,36
1517562977,23,39
1517565993,26,30
1517568048,15,23
1517570182,11,15
1517574027,13,14
1517575936,19,12
1517577850,42,18
1517579769,34,38
1517581687,46,33
1517583620,14,49
1517585537,16,14
1517587465,11,17
1517589623,10,11
1517593694,39,10
1517595627,22,39
1517597539,11,22
1517601368,26,13
1517605230,19,26
1517607146,17,15
1517609061,12,18
1517612906,10,12
1517618651,38,11
1517620600,34,36
1517622505,31,33
1517624414,43,30
1517626351,24,44
1517628520,31,26
1517632344,45,28
1517634272,33,35
1517636182,39,39
1517638120,48,38
1517641934,16,59
1517643870,51,14
1517645787,41,46
1517649619,39,44
1517651547,40,37
1517653696,40,40
1517655627,40,38
1517661613,36,42
1517663548,41,37
1517665465,38,41
1517669297,51,40
1517671474,50,50
1517673384,30,50
1517675297,42,29
1517677234,26,43
1517679150,45,24
1517681065,41,45
1517682991,36,41
1517684922,22,35
1517687310,34,25
1517689219,34,33
1517691152,27,36
1517693056,50,26
1517695237,12,52
1517697143,19,11
1517699316,22,19
1517701567,44,20
1517703635,31,44
1517705557,36,34
1517707471,45,31
1517709387,33,39
1517711552,44,40
1517713470,41,46
1517717310,46,37
1517719228,42,46
1517721150,37,40
1517723070,45,36
1517724989,48,48
1517727155,47,47
1517729299,41,46
1517731217,43,43
1517733382,25,47
1517737213,16,28
1517741312,41,13
1517743212,26,37
1517745139,19,28
1517747064,36,19
1517748973,10,38
1517750908,44,12
1517752842,23,41
1517756666,25,21
1517760525,24,26
1517762412,47,23
