DateTime,Entries,UniqueIPs
1512512789,1554,1554
1512523898,1548,1548
1512535205,1540,1540
1512545623,1530,1530
1512556342,1524,1524
1512566973,1521,1521
1512577920,1519,1519
1512588951,1517,1517
1512602463,1511,1511
1512613186,1511,1511
1512623796,1506,1506
1512634654,1503,1503
1512645249,1501,1501
1512656109,1503,1503
1512669044,1496,1496
1512679830,1492,1492
1512690867,1488,1488
1512702253,1483,1483
1512713234,1487,1487
1512724329,1483,1483
1512735831,1482,1482
1512747015,1477,1477
1512757777,1470,1470
1512768624,1465,1465
1512779410,1463,1463
1512790171,1458,1458
1512801073,1456,1456
1512811763,1459,1459
1512822694,1459,1459
1512833767,1458,1458
1512844734,1464,1464
1512856053,1467,1467
1512867138,1462,1462
1512878043,1444,1444
1512889045,1427,1427
1512900034,1418,1418
1512911002,1407,1407
1512922089,1392,1392
1512933735,1375,1375
1512944999,1361,1361
1512955699,1346,1346
1512966477,1341,1341
1512976903,1330,1330
1512987847,1315,1315
1512998858,1311,1311
1513009733,1299,1299
1513020541,1287,1287
1513031520,1278,1278
1513042823,1265,1265
1513053739,1260,1260
1513064871,1258,1258
1513075789,1254,1254
1513086588,1246,1246
1513097105,1244,1244
1513108085,1239,1239
1513119139,1232,1232
1513130058,1232,1232
1513140970,1228,1228
1513151451,1226,1226
1513162552,1216,1216
1513173636,1215,1215
1513184564,1216,1216
1513195505,1213,1213
1513206415,1208,1208
1513217508,1206,1206
1513228338,1203,1203
1513239356,1201,1201
1513250410,1203,1203
1513261244,1203,1203
1513272166,1199,1199
1513283201,1185,1185
1513294463,1170,1170
1513305361,1164,1164
1513316350,1161,1161
1513327301,1159,1159
1513338436,1157,1157
1513349440,1150,1150
1513360791,1147,1147
1513371825,1145,1145
1513383110,1141,1141
1513394002,1139,1139
1513405123,1135,1135
1513415323,1140,1140
1513426443,1141,1141
1513437249,1139,1139
1513448432,1134,1134
1513459389,1136,1136
1513470177,1136,1136
1513481236,1135,1135
1513491992,1129,1129
1513502915,1126,1126
1513513807,1118,1118
1513524633,1111,1111
1513535331,1106,1106
1513546577,1108,1108
1513557569,1102,1102
1513568592,1105,1105
1513579580,1100,1100
1513590164,1101,1101
1513601287,1100,1100
1513612463,1092,1092
1513623588,1089,1089
1513634275,1090,1090
1513644967,1095,1095
1513655894,1098,1098
1513666553,1096,1096
1513677869,1091,1091
1513689076,1095,1095
1513700087,1094,1094
1513711436,1093,1093
1513722724,1097,1097
1513733746,1105,1105
1513744750,1104,1104
1513755971,1101,1101
1513766920,1093,1093
1513777926,1088,1088
1513788732,1078,1078
1513799711,1082,1082
1513810686,1079,1079
1513821552,1077,1077
1513832542,1070,1070
1513843575,1072,1072
1513854142,1070,1070
1513865192,1070,1070
1513876245,1066,1066
1513887272,1057,1057
1513897999,1060,1060
1513909187,1058,1058
1513920047,1059,1059
1513931287,1059,1059
1513942183,1059,1059
1513953110,1060,1060
1513964059,1060,1060
1513974716,1059,1059
1513985687,1055,1055
1513996693,1056,1056
1514007458,1054,1054
1514018319,1051,1051
1514029363,1054,1054
1514040064,1051,1051
1514051038,1056,1056
1514062069,1061,1061
1514073062,1060,1060
1514084137,1059,1059
1514094867,1056,1056
1514105712,1052,1052
1514116825,1052,1052
1514128089,1050,1050
1514139375,1045,1045
1514150267,1043,1043
1514161219,1044,1044
1514172230,1041,1041
1514183195,1045,1045
1514194033,1043,1043
1514205118,1042,1042
1514216146,1042,1042
1514227402,1044,1044
1514238529,1047,1047
1514249784,1052,1052
1514260612,1049,1049
1514271564,1046,1046
1514282538,1044,1044
1514293599,1047,1047
1514304617,1045,1045
1514315374,1050,1050
1514325920,1051,1051
1514336669,1048,1048
1514347615,1043,1043
1514358529,1045,1045
1514369535,1042,1042
1514380483,1044,1044
1514391523,1043,1043
1514402647,1052,1052
1514413518,1056,1056
1514424604,1053,1053
1514435422,1054,1054
1514446117,1055,1055
1514456803,1057,1057
1514467806,1056,1056
1514478981,1056,1056
1514489966,1052,1052
1514500451,1061,1061
1514511290,1064,1064
1514522203,1068,1068
1514533173,1062,1062
1514544182,1060,1060
1514555150,1062,1062
1514566263,1058,1058
1514577355,1060,1060
1514588816,1064,1064
1514599930,1064,1064
1514610842,1070,1070
1514621900,1068,1068
1514633038,1066,1066
1514644202,1069,1069
1514654967,1070,1070
1514665901,1072,1072
1514676729,1073,1073
1514687864,1070,1070
1514698725,1068,1068
1514709466,1069,1069
1514720690,1075,1075
1514731178,1072,1072
1514742244,1072,1072
1514753203,1071,1071
1514764340,1071,1071
1514775346,1073,1073
1514786370,1073,1073
1514797649,1074,1074
1514808872,1079,1079
1514820199,1079,1079
1514831532,1076,1076
1514842678,1074,1074
1514853463,1076,1076
1514864383,1079,1079
1514875692,1082,1082
1514886502,1086,1086
1514897298,1094,1094
1514908318,1097,1097
1514919601,1095,1095
1514930755,1101,1101
1514941576,1103,1103
1514952380,1103,1103
1514963747,1110,1110
1514974709,1120,1120
1514986098,1119,1119
1514997088,1113,1113
1515008040,1111,1111
1515018883,1111,1111
1515029998,1117,1117
1515040920,1123,1123
1515051495,1123,1123
1515062585,1128,1128
1515073514,1127,1127
1515084895,1131,1131
1515095561,1135,1135
1515106522,1140,1140
1515117508,1142,1142
1515128573,1145,1145
1515139674,1151,1151
1515150743,1154,1154
1515161594,1158,1158
