DateTime,Entries,UniqueIPs
1517509692,131014,131014
1517510693,131024,131024
1517511627,131047,131047
1517512582,131037,131037
1517513543,131047,131047
1517514506,131055,131055
1517515461,131119,131119
1517516419,131119,131119
1517517378,131112,131112
1517518354,131126,131126
1517519303,131167,131167
1517520259,131149,131149
1517521216,131147,131147
1517522201,130996,130996
1517523142,131052,131052
1517524101,131055,131055
1517525079,131076,131076
1517526042,131087,131087
1517526982,131094,131094
1517528184,131114,131114
1517529136,131124,131124
1517530103,131145,131145
1517531067,131157,131157
1517532013,131159,131159
1517533000,131179,131179
1517533950,131193,131193
1517534898,131204,131204
1517535861,131220,131220
1517536823,131242,131242
1517537798,131246,131246
1517538735,131257,131257
1517539711,131274,131274
1517540665,131260,131260
1517541616,131275,131275
1517542583,131290,131290
1517543547,131307,131307
1517544501,131341,131341
1517545724,131350,131350
1517546656,131378,131378
1517547624,131400,131400
1517548575,131403,131403
1517549564,131411,131411
1517550502,131431,131431
1517551464,131432,131432
1517552412,131449,131449
1517553397,131442,131442
1517554333,131478,131478
1517555299,131473,131473
1517556254,131494,131494
1517557217,131510,131510
1517558180,131522,131522
1517559163,131524,131524
1517560095,131532,131532
1517561061,131549,131549
1517562019,131569,131569
1517562982,131580,131580
1517563942,131610,131610
1517566013,131630,131630
1517567055,131650,131650
1517568053,131660,131660
1517568975,131673,131673
1517570200,131690,131690
1517571176,131701,131701
1517572099,131709,131709
1517573091,131723,131723
1517574033,131736,131736
1517574976,131757,131757
1517575942,131771,131771
1517576914,131792,131792
1517577857,131812,131812
1517578815,131821,131821
1517579775,131823,131823
1517580755,131843,131843
1517581693,131867,131867
1517582657,131886,131886
1517583626,131904,131904
1517584582,131906,131906
1517585542,131914,131914
1517586513,131924,131924
1517587470,131934,131934
1517588680,131959,131959
1517589639,131973,131973
1517590817,131982,131982
1517591790,131997,131997
1517592739,132004,132004
1517593702,132013,132013
1517594669,132032,132032
1517595632,132057,132057
1517596583,132070,132070
1517597545,132076,132076
1517598494,132087,132087
1517599489,132109,132109
1517600413,132114,132114
1517601374,132117,132117
1517602353,132128,132128
1517603298,132126,132126
1517604257,132145,132145
1517605246,132172,132172
1517606183,132176,132176
1517607153,132154,132154
1517608108,132161,132161
1517609068,131650,131650
1517610016,131655,131655
1517610991,131666,131666
1517612466,131664,131664
1517613378,131674,131674
1517614918,131687,131687
1517616030,131700,131700
1517616987,131707,131707
1517617947,131698,131698
1517618896,131715,131715
1517619868,131744,131744
1517621071,131755,131755
1517622013,131771,131771
1517622986,131779,131779
1517623945,131786,131786
1517624896,131800,131800
1517625863,131802,131802
1517626842,131819,131819
1517628036,131810,131810
1517629005,131827,131827
1517629935,131838,131838
1517630894,131852,131852
1517631875,131847,131847
1517632813,131867,131867
1517633781,131876,131876
1517634748,131888,131888
1517635706,131907,131907
1517636655,131897,131897
1517637629,131913,131913
1517638580,131928,131928
1517639542,131924,131924
1517640495,131944,131944
1517641481,131950,131950
1517642418,131961,131961
1517643381,131961,131961
1517644342,131966,131966
1517645295,131966,131966
1517646276,131974,131974
1517647214,131993,131993
1517648175,132007,132007
1517649156,132010,132010
1517650092,132019,132019
1517651064,132045,132045
1517652028,132056,132056
1517652982,132071,132071
1517653953,132067,132067
1517654924,132067,132067
1517656104,132071,132071
1517657066,132084,132084
1517658018,132094,132094
1517658977,132092,132092
1517660124,132122,132122
1517661147,132126,132126
1517662100,132148,132148
1517663069,132156,132156
1517664017,132158,132158
1517664988,132174,132174
1517665938,132181,132181
1517666917,132192,132192
1517667856,132205,132205
1517668818,132203,132203
1517669793,132212,132212
1517670759,132191,132191
1517671941,132206,132206
1517672909,132208,132208
1517673869,132224,132224
1517674823,132221,132221
1517675796,132242,132242
1517676737,132252,132252
1517677702,132260,132260
1517678657,132275,132275
1517679617,132280,132280
1517680599,132283,132283
1517681538,132290,132290
1517682501,132308,132308
1517683460,132312,132312
1517684426,132323,132323
1517685386,132338,132338
1517686615,132337,132337
1517687778,132346,132346
1517688739,132329,132329
1517689718,132347,132347
1517690657,132359,132359
1517691622,132372,132372
1517692603,132379,132379
1517693547,132355,132355
1517694739,132355,132355
1517695711,131496,131496
1517696667,131517,131517
1517697631,131506,131506
1517698828,131518,131518
1517699790,131512,131512
1517701049,131511,131511
1517702199,131515,131515
1517703136,131522,131522
1517704104,131521,131521
1517705059,131526,131526
1517706036,131530,131530
1517706983,131536,131536
1517707951,131527,131527
1517708908,131512,131512
1517710131,131527,131527
1517711059,131530,131530
1517712018,131532,131532
1517712992,131532,131532
1517713956,131554,131554
1517714894,131538,131538
1517715870,131541,131541
1517716822,131546,131546
1517717793,131554,131554
1517718737,131562,131562
1517719712,131552,131552
1517720659,131545,131545
1517721635,131553,131553
1517722579,131555,131555
1517723553,131568,131568
1517724505,131569,131569
1517725463,131596,131596
1517726661,131618,131618
1517727623,131618,131618
1517728584,131631,131631
1517729553,131631,131631
1517730496,131633,131633
