DateTime,AddedIPs,RemovedIPs
1517509692,705,705
1517510693,602,629
1517511627,455,448
1517512582,812,811
1517513543,732,723
1517514506,544,547
1517515461,1759,1768
1517516419,629,622
1517517378,604,594
1517518354,558,559
1517519303,1873,1879
1517520259,536,543
1517521216,517,513
1517522201,1819,1813
1517523142,1990,1998
1517524101,458,461
1517525079,819,816
1517526042,987,998
1517526982,590,591
1517528184,901,892
1517529136,678,690
1517530103,730,738
1517531067,738,740
1517532013,376,376
1517533000,804,800
1517533950,818,824
1517534898,679,673
1517535861,574,575
1517536823,763,778
1517537798,574,587
1517538735,723,737
1517539711,775,774
1517540665,658,661
1517541616,571,572
1517542583,728,743
1517543547,556,550
1517544501,822,814
1517545724,997,991
1517546656,624,626
1517547624,742,739
1517548575,473,479
1517549564,796,795
1517550502,539,532
1517551464,704,707
1517552412,575,575
1517553397,218,214
1517554333,992,992
1517555299,489,485
1517556254,669,672
1517557217,595,605
1517558180,699,689
1517559163,375,373
1517560095,735,739
1517561061,687,675
1517562019,625,626
1517562982,466,452
1517563942,690,686
1517566013,1243,1242
1517567055,737,736
1517568053,457,452
1517568975,598,588
1517570200,756,763
1517571176,687,703
1517572099,566,575
1517573091,542,544
1517574033,563,551
1517574976,544,532
1517575942,570,561
1517576914,784,784
1517577857,703,693
1517578815,530,528
1517579775,696,701
1517580755,682,678
1517581693,580,573
1517582657,639,644
1517583626,715,716
1517584582,606,600
1517585542,619,619
1517586513,453,448
1517587470,1051,1060
1517588680,871,863
1517589639,569,571
1517590817,534,525
1517591790,910,900
1517592739,578,575
1517593702,630,634
1517594669,670,675
1517595632,638,637
1517596583,692,687
1517597545,571,568
1517598494,545,538
1517599489,1071,1072
1517600413,583,587
1517601374,632,629
1517602353,901,906
1517603298,700,698
1517604257,656,653
1517605246,768,762
1517606183,758,759
1517607153,585,583
1517608108,688,672
1517609068,1930,1942
1517610016,732,737
1517610991,722,716
1517612466,951,947
1517613378,814,813
1517614918,1148,1147
1517616030,843,849
1517616987,670,670
1517617947,465,469
1517618896,906,898
1517619868,802,813
1517621071,911,920
1517622013,754,774
1517622986,860,859
1517623945,614,624
1517624896,936,942
1517625863,693,697
1517626842,673,695
1517628036,915,916
1517629005,571,567
1517629935,836,821
1517630894,693,702
1517631875,749,764
1517632813,711,709
1517633781,713,710
1517634748,389,382
1517635706,1107,1107
1517636655,729,728
1517637629,804,809
1517638580,762,754
1517639542,623,625
1517640495,872,864
1517641481,643,645
1517642418,526,518
1517643381,884,880
1517644342,511,522
1517645295,760,752
1517646276,733,733
1517647214,605,610
1517648175,684,682
1517649156,531,538
1517650092,392,396
1517651064,762,779
1517652028,486,482
1517652982,709,713
1517653953,546,545
1517654924,545,552
1517656104,680,693
1517657066,701,690
1517658018,398,395
1517658977,777,779
1517660124,693,688
1517661147,551,556
1517662100,709,703
1517663069,354,351
1517664017,676,679
1517664988,498,497
1517665938,695,698
1517666917,765,770
1517667856,539,532
1517668818,475,483
1517669793,580,582
1517670759,519,524
1517671941,857,859
1517672909,602,594
1517673869,649,638
1517674823,387,388
1517675796,837,838
1517676737,525,515
1517677702,772,771
1517678657,687,692
1517679617,671,667
1517680599,508,510
1517681538,558,558
1517682501,710,708
1517683460,542,549
1517684426,658,659
1517685386,553,550
1517686615,838,844
1517687778,695,686
1517688739,657,655
1517689718,653,656
1517690657,636,626
1517691622,378,376
1517692603,740,737
1517693547,701,692
1517694739,628,630
1517695711,1749,1761
1517696667,760,768
1517697631,605,601
1517698828,724,722
1517699790,251,254
1517701049,1124,1130
1517702199,650,654
1517703136,707,709
1517704104,692,690
1517705059,687,694
