DateTime,Entries,UniqueIPs
1517509692,2454,2454
1517510693,2427,2427
1517511627,2434,2434
1517512582,2435,2435
1517513543,2444,2444
1517514506,2441,2441
1517515461,2432,2432
1517516419,2439,2439
1517517378,2449,2449
1517518354,2448,2448
1517519303,2442,2442
1517520259,2435,2435
1517521216,2439,2439
1517522201,2445,2445
1517523142,2437,2437
1517524101,2434,2434
1517525079,2437,2437
1517526042,2426,2426
1517526982,2425,2425
1517528184,2434,2434
1517529136,2422,2422
1517530103,2414,2414
1517531067,2412,2412
1517532013,2412,2412
1517533000,2416,2416
1517533950,2410,2410
1517534898,2416,2416
1517535861,2415,2415
1517536823,2400,2400
1517537798,2387,2387
1517538735,2373,2373
1517539711,2374,2374
1517540665,2371,2371
1517541616,2370,2370
1517542583,2355,2355
1517543547,2361,2361
1517544501,2369,2369
1517545724,2375,2375
1517546656,2373,2373
1517547624,2376,2376
1517548575,2370,2370
1517549564,2371,2371
1517550502,2378,2378
1517551464,2375,2375
1517552412,2375,2375
1517553397,2379,2379
1517554333,2379,2379
1517555299,2383,2383
1517556254,2380,2380
1517557217,2370,2370
1517558180,2380,2380
1517559163,2382,2382
1517560095,2378,2378
1517561061,2390,2390
1517562019,2389,2389
1517562982,2403,2403
1517563942,2407,2407
1517566013,2408,2408
1517567055,2409,2409
1517568053,2414,2414
1517568975,2424,2424
1517570200,2417,2417
1517571176,2401,2401
1517572099,2392,2392
1517573091,2390,2390
1517574033,2402,2402
1517574976,2414,2414
1517575942,2423,2423
1517576914,2423,2423
1517577857,2433,2433
1517578815,2435,2435
1517579775,2430,2430
1517580755,2434,2434
1517581693,2441,2441
1517582657,2436,2436
1517583626,2435,2435
1517584582,2441,2441
1517585542,2441,2441
1517586513,2446,2446
1517587470,2437,2437
1517588680,2445,2445
1517589639,2443,2443
1517590817,2452,2452
1517591790,2462,2462
1517592739,2465,2465
1517593702,2461,2461
1517594669,2456,2456
1517595632,2457,2457
1517596583,2462,2462
1517597545,2465,2465
1517598494,2472,2472
1517599489,2471,2471
1517600413,2467,2467
1517601374,2470,2470
1517602353,2465,2465
1517603298,2467,2467
1517604257,2470,2470
1517605246,2476,2476
1517606183,2475,2475
1517607153,2477,2477
1517608108,2493,2493
1517609068,2481,2481
1517610016,2476,2476
1517610991,2482,2482
1517612466,2486,2486
1517613378,2487,2487
1517614918,2488,2488
1517616030,2482,2482
1517616987,2482,2482
1517617947,2478,2478
1517618896,2486,2486
1517619868,2475,2475
1517621071,2466,2466
1517622013,2446,2446
1517622986,2447,2447
1517623945,2437,2437
1517624896,2431,2431
1517625863,2427,2427
1517626842,2405,2405
1517628036,2404,2404
1517629005,2408,2408
1517629935,2423,2423
1517630894,2414,2414
1517631875,2399,2399
