DateTime,AddedIPs,RemovedIPs
1517509690,3,6
1517510691,3,1
1517511625,6,5
1517512579,1,8
1517513542,8,5
1517514504,6,8
1517515458,6,2
1517516417,9,4
1517517376,10,8
1517518352,12,10
1517519301,5,5
1517520256,4,4
1517521214,3,4
1517522199,9,14
1517523139,5,8
1517524098,4,2
1517525077,7,7
1517526039,3,4
1517526980,2,8
1517528182,7,6
1517529133,2,6
1517530101,5,5
1517531065,7,21
1517532010,4,15
1517532998,6,22
1517533948,4,18
1517534896,6,2
1517535858,6,25
1517536820,7,8
1517537796,4,16
1517538733,3,6
1517539709,9,25
1517540662,5,12
1517541614,8,16
1517542581,1,5
1517543544,12,11
1517544499,11,7
1517545722,13,16
1517546654,13,8
1517547621,8,3
1517548573,7,10
1517549561,5,5
1517550500,14,19
1517551462,8,8
1517552409,7,4
1517553395,10,8
1517554330,14,10
1517555297,8,13
1517556252,8,3
1517557214,4,10
1517558178,13,11
1517559161,9,7
1517560093,2,4
1517561058,9,12
1517562017,7,4
1517562980,11,10
1517563940,15,23
1517566010,18,12
1517567052,8,6
1517568051,8,8
1517568972,9,9
1517570198,7,11
1517571137,4,0
1517572097,10,5
1517573088,8,7
1517574031,6,10
1517574975,9,3
1517575939,6,3
1517576912,8,7
1517577855,8,3
1517578813,7,3
1517579773,3,5
1517580753,7,14
1517581691,8,4
1517582655,6,16
1517583624,6,9
1517584580,7,10
1517585540,3,3
1517586494,5,5
1517587468,2,7
1517588678,10,5
1517589637,4,7
1517590815,12,9
1517591788,5,6
1517592737,7,4
1517593699,3,4
1517594666,5,6
1517595630,8,4
1517596581,8,29
1517597543,8,8
1517598492,6,6
1517599487,5,10
1517600410,5,10
1517601371,7,1
1517602351,3,9
1517603296,3,6
1517604255,7,11
1517605244,14,2
1517606181,6,11
1517607150,2,4
1517608107,8,9
1517609066,4,3
1517610014,6,3
1517610988,4,4
1517612464,8,4
1517613376,5,0
1517614916,7,10
1517616028,6,12
1517616984,4,10
1517617944,7,6
1517618894,7,10
1517619866,5,10
1517621069,13,5
1517622010,5,12
1517622983,10,23
1517623942,8,13
1517624894,4,16
1517625860,4,7
1517626840,5,10
1517628034,8,23
1517629003,7,6
1517629931,11,0
1517630891,7,6
1517631872,1,6
1517632810,12,15
1517633779,8,5
1517634745,8,11
1517635704,6,7
1517636652,6,9
1517637628,7,8
1517638578,8,3
1517639540,4,6
1517640492,13,8
1517641478,6,4
1517642416,9,10
1517643379,7,5
1517644340,7,6
1517645293,5,6
1517646274,10,0
1517647211,2,3
1517648173,13,10
1517649154,4,2
1517650090,3,7
1517651061,10,11
1517652026,4,0
1517652979,7,10
1517653950,5,4
1517654922,4,2
1517656102,10,7
1517657064,8,6
1517658016,6,8
1517658975,5,7
1517660122,15,8
1517661145,4,5
1517662099,7,5
1517663067,4,5
1517664015,9,4
1517664986,8,7
1517665935,2,10
1517666915,3,3
1517667853,2,4
1517668816,6,9
1517669791,5,5
1517670757,2,4
1517671939,7,4
1517672907,6,6
1517673866,15,0
1517674821,1,4
1517675794,8,4
1517676735,7,5
1517677699,4,2
1517678655,6,7
1517679615,5,3
1517680597,5,3
1517681535,8,8
1517682498,6,5
1517683457,4,7
1517684424,6,3
1517685384,10,4
1517686613,5,10
1517687776,6,15
1517688736,4,0
1517689716,6,10
1517690655,12,0
1517691620,5,3
1517692601,6,11
1517693545,4,0
1517694737,3,6
1517695709,4,3
1517696665,5,5
1517697629,7,3
1517698826,9,0
1517699788,1,12
1517701047,4,0
1517702197,4,7
1517703134,2,4
1517704102,5,14
1517705057,3,4
1517706034,2,15
1517706981,4,19
1517707949,4,22
1517708906,5,6
1517710129,7,16
1517711057,6,12
1517712015,1,10
1517712989,3,10
1517713955,6,11
1517714891,4,5
1517715867,6,10
1517716819,6,14
1517717790,5,10
1517718735,9,13
1517719709,2,8
1517720657,5,4
1517721633,5,10
1517722576,11,4
1517723551,3,6
1517724503,4,2
1517725461,13,8
1517726658,10,6
1517727620,9,5
1517728582,6,2
1517729551,9,6
1517730493,11,14
1517731460,4,5
1517732413,8,3
1517733385,11,4
1517734342,7,8
1517735296,9,8
1517736254,4,6
1517737222,11,11
1517738171,6,4
1517739156,9,11
1517740093,5,7
1517741326,7,21
1517742259,4,0
1517743216,2,7
1517744170,6,9
1517745153,5,9
1517746090,4,11
1517747069,9,6
1517748009,9,3
1517748987,3,5
1517749934,5,5
1517750912,14,9
1517751859,5,6
1517752846,12,6
1517753783,10,5
1517754738,14,10
1517755693,3,5
1517756669,3,4
1517757615,6,6
1517758577,11,2
1517759539,4,6
1517760528,5,4
1517761455,6,14
1517762518,11,1
1517763632,9,8
1517764612,2,10
1517765532,9,2
1517766498,5,4
1517767464,4,1
1517768426,6,6
1517770616,12,12
1517771532,4,4
1517772505,3,10
1517773458,8,4
1517774430,2,4
1517775390,3,5
1517776344,3,9
1517777290,4,5
1517778289,6,5
1517779213,5,2
1517780189,6,6
1517781137,7,0
1517782101,3,4
1517783050,6,6
1517784040,5,12
1517784998,1,0
1517785952,5,3
1517786892,4,7
1517788130,5,8
1517789309,8,8
1517790251,2,10
1517791240,6,15
1517792418,14,6
1517793379,6,10
1517794337,10,19
1517795556,9,22
1517796491,7,0
1517797451,9,8
1517798415,5,8
1517799372,5,5
1517800356,6,15
1517801290,7,0
1517802259,10,4
1517803219,7,6
1517804185,10,4
1517805138,5,14
1517806106,13,0
1517807062,14,16
1517808019,2,0
1517808993,7,20
1517809931,8,0
1517810901,11,7
1517811851,5,7
1517812811,10,10
1517813773,7,5
1517815007,13,7
1517815940,7,0
1517816891,12,1
1517818123,9,13
1517819047,13,7
1517820011,7,6
1517820992,8,4
1517821934,5,7
1517822891,8,8
1517823857,9,2
1517824821,9,5
1517825783,3,3
1517826987,12,1
1517828032,12,7
1517829154,11,6
1517830114,9,5
1517831056,10,10
1517832015,7,2
1517832993,12,7
1517833951,1,5
1517834896,5,6
1517835867,10,3
1517836811,9,4
1517837788,6,3
1517838730,2,3
1517839702,12,4
1517840652,4,6
1517841626,5,5
1517842580,5,4
1517843548,7,8
1517844493,3,5
1517845472,0,6
1517846417,11,4
1517847382,12,12
1517848339,1,4
1517849297,4,6
1517850263,3,5
1517851218,6,2
1517852937,6,4
1517853865,5,9
1517854820,5,0
1517855780,0,12
1517857004,12,0
1517857931,10,5
1517858897,7,7
1517859853,10,3
1517861094,7,11
1517862045,6,11
1517862975,7,7
1517863933,3,6
1517864925,7,4
1517865856,3,3
1517866814,6,7
1517867769,8,3
1517868759,11,2
1517869691,3,12
1517870664,11,3
1517871627,8,1
1517872604,7,6
1517873537,4,10
1517874498,4,0
1517875463,4,10
1517876434,3,6
1517877373,5,6
1517878352,5,11
1517879293,9,6
1517880267,9,5
1517881215,4,17
1517882201,11,6
1517883134,10,6
1517884105,5,4
1517885058,5,18
1517886029,3,5
1517886978,11,1
1517887965,11,13
1517888902,2,8
1517889867,5,4
1517890813,7,10
1517891805,7,5
1517892737,6,6
1517893698,9,11
