DateTime,Entries,UniqueIPs
1517509690,5201,5226
1517510691,5200,5225
1517511625,5201,5226
1517512579,5190,5215
1517513542,5196,5221
1517514504,5197,5222
1517515458,5194,5219
1517516417,5203,5228
1517517376,5208,5233
1517518352,5213,5238
1517519301,5218,5243
1517520256,5210,5235
1517521214,5213,5238
1517522199,5214,5239
1517523139,5219,5244
1517524098,5217,5242
1517525077,5211,5236
1517526039,5214,5239
1517526980,5216,5241
1517528182,5213,5238
1517529133,5215,5240
1517530101,5200,5225
1517531065,5201,5226
1517532010,5205,5230
1517532998,5186,5211
1517533948,5175,5200
1517534896,5181,5206
1517535858,5166,5191
1517536820,5152,5177
1517537796,5121,5146
1517538733,5124,5149
1517539709,5109,5134
1517540662,5114,5139
1517541614,5117,5142
1517542581,5101,5125
1517543544,5101,5125
1517544499,5112,5136
1517545722,5110,5134
1517546654,5104,5127
1517547621,5092,5115
1517548573,5099,5122
1517549561,5097,5120
1517550500,5104,5127
1517551462,5108,5131
1517552409,5112,5135
1517553395,5110,5133
1517554330,5113,5136
1517555297,5107,5130
1517556252,5110,5133
1517557214,5101,5124
1517558178,5101,5124
1517559161,5099,5122
1517560093,5096,5119
1517561058,5100,5123
1517562017,5099,5122
1517562980,5101,5124
1517563940,5105,5128
1517566010,5114,5138
1517567052,5111,5135
1517568051,5113,5137
1517568972,5116,5141
1517570198,5111,5136
1517571137,5114,5139
1517572097,5122,5147
1517573088,5126,5151
1517574031,5132,5157
1517574975,5141,5166
1517575939,5146,5171
1517576912,5154,5179
1517577855,5162,5187
1517578813,5169,5194
1517579773,5172,5197
1517580753,5174,5199
1517581691,5180,5205
1517582655,5185,5210
1517583624,5186,5211
1517584580,5190,5215
1517585540,5193,5218
1517586494,5191,5217
1517587468,5168,5194
1517588678,5169,5194
1517589637,5170,5195
1517590815,5168,5192
1517591788,5169,5193
1517592737,5165,5189
1517593699,5166,5190
1517594666,5152,5176
1517595630,5158,5182
1517596581,5158,5182
1517597543,5150,5174
1517598492,5150,5174
1517599487,5150,5174
1517600410,5152,5176
1517601371,5149,5173
1517602351,5146,5170
1517603296,5137,5161
1517604255,5141,5165
1517605244,5145,5169
1517606181,5148,5172
1517607150,5149,5173
1517608107,5149,5173
1517609066,5148,5172
1517610014,5150,5174
1517610988,5152,5176
1517612464,5150,5174
1517613376,5155,5179
1517614916,5149,5173
1517616028,5147,5170
1517616984,5138,5161
1517617944,5133,5156
1517618894,5121,5144
1517619866,5112,5135
1517621069,5105,5128
1517622010,5105,5128
1517622983,5099,5122
1517623942,5102,5125
1517624894,5093,5116
1517625860,5096,5119
1517626840,5079,5102
1517628034,5086,5109
1517629003,5077,5100
1517629931,5080,5103
1517630891,5074,5097
1517631872,5061,5084
1517632810,5066,5089
1517633779,5074,5097
1517634745,5074,5097
1517635704,5078,5101
1517636652,5074,5097
1517637628,5076,5099
1517638578,5074,5097
1517639540,5070,5093
1517640492,5077,5100
1517641478,5079,5102
1517642416,5074,5097
1517643379,5078,5101
1517644340,5075,5098
1517645293,5072,5095
1517646274,5076,5099
1517647211,5075,5098
1517648173,5082,5105
1517649154,5073,5096
1517650090,5070,5093
1517651061,5072,5095
1517652026,5068,5091
1517652979,5068,5091
1517653950,5063,5086
1517654922,5060,5083
1517656102,5067,5090
1517657064,5073,5096
1517658016,5077,5100
1517658975,5078,5101
1517660122,5089,5112
1517661145,5092,5115
1517662099,5093,5116
1517663067,5097,5120
1517664015,5106,5129
1517664986,5099,5122
1517665935,5079,5102
1517666915,5073,5096
1517667853,5070,5093
1517668816,5069,5092
1517669791,5068,5091
1517670757,5066,5089
1517671939,5069,5092
1517672907,5071,5094
1517673866,5082,5106
1517674821,5073,5097
1517675794,5077,5101
1517676735,5076,5100
1517677699,5080,5104
1517678655,5080,5103
1517679615,5075,5098
1517680597,5077,5100
1517681535,5081,5104
1517682498,5085,5108
1517683457,5084,5107
1517684424,5085,5108
1517685384,5092,5115
1517686613,5095,5118
1517687776,5091,5114
1517688736,5086,5109
1517689716,5085,5108
1517690655,5088,5111
1517691620,5087,5110
1517692601,5086,5109
1517693545,5087,5110
1517694737,5084,5107
1517695709,5082,5105
1517696665,5085,5108
1517697629,5091,5114
1517698826,5095,5118
1517699788,5091,5114
1517701047,5091,5114
1517702197,5091,5114
1517703134,5082,5105
1517704102,5081,5104
1517705057,5069,5092
1517706034,5061,5084
1517706981,5045,5068
1517707949,5045,5068
1517708906,5029,5052
1517710129,5018,5041
1517711057,5018,5041
1517712015,5004,5027
1517712989,4998,5021
1517713955,5002,5025
1517714891,4997,5020
1517715867,5000,5023
1517716819,4998,5020
1517717790,4992,5014
1517718735,4993,5015
1517719709,4986,5008
1517720657,4986,5007
1517721633,4979,5000
1517722576,4990,5011
1517723551,4978,4999
1517724503,4976,4997
1517725461,4976,4997
1517726658,4979,5000
1517727620,4988,5009
1517728582,4985,5006
1517729551,4989,5010
1517730493,4984,5005
1517731460,4980,5001
1517732413,4977,4998
1517733385,4975,4996
1517734342,4974,4995
1517735296,4972,4993
1517736254,4969,4990
1517737222,4960,4981
1517738171,4966,4987
1517739156,4963,4984
1517740093,4953,4974
1517741326,4954,4974
1517742259,4947,4967
1517743216,4945,4965
1517744170,4950,4969
1517745153,4954,4973
1517746090,4947,4965
1517747069,4951,4969
1517748009,4953,4971
1517748987,4947,4965
1517749934,4942,4960
1517750912,4954,4971
1517751859,4951,4966
1517752846,4953,4969
1517753783,4950,4965
1517754738,4956,4971
1517755693,4955,4969
1517756669,4957,4971
1517757615,4958,4972
1517758577,4965,4979
1517759539,4964,4977
1517760528,4960,4973
1517761455,4955,4968
1517762518,4960,4973
1517763632,4959,4972
1517764612,4957,4970
1517765532,4955,4968
1517766498,4954,4967
1517767464,4952,4965
1517768426,4954,4967
1517770616,4957,4970
1517771532,4953,4966
1517772505,4946,4959
1517773458,4946,4959
1517774430,4947,4960
1517775390,4945,4958
1517776344,4938,4951
1517777290,4935,4948
1517778289,4935,4948
1517779213,4935,4948
1517780189,4935,4948
1517781137,4934,4947
1517782101,4929,4942
1517783050,4931,4944
1517784040,4930,4943
1517784998,4930,4943
1517785952,4920,4933
1517786892,4921,4934
1517788130,4922,4935
1517789309,4917,4930
1517790251,4919,4932
1517791240,4896,4909
1517792418,4896,4909
1517793379,4898,4911
1517794337,4892,4905
1517795556,4891,4904
1517796491,4884,4897
1517797451,4885,4898
1517798415,4889,4902
1517799372,4884,4896
1517800356,4885,4897
1517801290,4878,4890
1517802259,4880,4892
1517803219,4880,4892
1517804185,4883,4895
1517805138,4886,4898
1517806106,4890,4902
1517807062,4899,4911
1517808019,4899,4911
1517808993,4900,4912
1517809931,4901,4913
1517810901,4908,4920
1517811851,4910,4922
1517812811,4918,4930
1517813773,4920,4932
1517815007,4924,4936
1517815940,4929,4940
1517816891,4937,4948
1517818123,4934,4945
1517819047,4947,4958
1517820011,4946,4957
1517820992,4948,4959
1517821934,4942,4953
1517822891,4948,4959
1517823857,4954,4965
1517824821,4957,4968
1517825783,4955,4966
1517826987,4955,4967
1517828032,4965,4977
1517829154,4965,4977
1517830114,4966,4978
1517831056,4976,4988
1517832015,4981,4993
1517832993,4964,4976
1517833951,4965,4977
1517834896,4970,4982
1517835867,4959,4971
1517836811,4968,4980
1517837788,4965,4977
1517838730,4967,4979
1517839702,4964,4976
1517840652,4968,4980
1517841626,4961,4973
1517842580,4966,4978
1517843548,4965,4977
1517844493,4968,4980
1517845472,4958,4970
1517846417,4969,4981
1517847382,4979,4991
1517848339,4970,4982
1517849297,4968,4980
1517850263,4958,4970
1517851218,4950,4962
1517852937,4945,4956
1517853865,4942,4953
1517854820,4943,4954
1517855780,4940,4951
1517857004,4949,4960
1517857931,4954,4965
1517858897,4952,4963
1517859853,4960,4971
1517861094,4960,4971
1517862045,4958,4969
1517862975,4961,4972
1517863933,4963,4972
1517864925,4968,4977
1517865856,4961,4970
1517866814,4944,4953
1517867769,4948,4957
1517868759,4950,4959
1517869691,4946,4955
1517870664,4951,4960
1517871627,4957,4966
1517872604,4959,4968
1517873537,4952,4961
1517874498,4949,4958
1517875463,4944,4953
1517876434,4939,4948
1517877373,4924,4933
1517878352,4917,4926
1517879293,4907,4917
1517880267,4901,4911
1517881215,4895,4905
1517882201,4884,4894
1517883134,4877,4887
1517884105,4857,4867
1517885058,4850,4860
1517886029,4841,4851
1517886978,4843,4853
1517887965,4842,4852
1517888902,4831,4841
1517889867,4834,4844
1517890813,4833,4843
1517891805,4834,4844
1517892737,4831,4841
1517893698,4835,4845
1517894656,4842,4852
1517895624,4844,4854
1517896569,4844,4854
1517897557,4821,4831
1517898526,4822,4832
1517899469,4827,4837
1517900420,4828,4838
1517901394,4830,4840
1517902336,4832,4842
1517903301,4828,4838
1517904261,4828,4838
1517905215,4831,4841
1517906197,4822,4832
1517907142,4822,4832
1517908092,4832,4842
1517909068,4835,4845
1517910009,4835,4845
1517910997,4840,4850
1517911934,4834,4844
1517912900,4833,4843
1517913875,4847,4857
1517914879,4841,4851
1517916775,4845,4855
1517917694,4847,4857
1517918682,4857,4867
1517919623,4867,4877
1517920588,4857,4867
1517921547,4870,4880
1517922536,4856,4865
1517923466,4859,4868
1517924419,4857,4866
1517925369,4857,4866
1517926367,4848,4857
1517927292,4851,4860
1517928258,4836,4845
1517929219,4842,4851
1517930200,4835,4844
1517931135,4838,4847
1517932122,4833,4842
1517933053,4839,4848
1517934069,4837,4846
1517934972,4834,4843
1517935958,4832,4841
1517936893,4834,4843
1517938384,4833,4842
1517939547,4831,4840
1517940491,4830,4839
1517941454,4830,4839
1517942429,4827,4836
1517943368,4830,4839
1517944348,4830,4839
1517945294,4833,4842
1517946261,4826,4835
1517947222,4829,4838
1517948182,4829,4838
1517949141,4831,4840
1517950106,4826,4835
1517951060,4832,4841
1517952017,4833,4842
1517952973,4838,4847
1517953941,4833,4842
1517954902,4838,4847
1517955856,4841,4850
1517956815,4838,4847
1517957788,4839,4848
1517958745,4836,4845
1517959695,4836,4845
1517960661,4829,4838
1517961622,4824,4833
1517962588,4823,4832
1517963536,4826,4835
1517964493,4825,4834
1517965464,4818,4827
1517966429,4803,4812
1517967377,4787,4796
1517968332,4779,4788
1517969319,4779,4788
1517970252,4777,4786
1517971227,4775,4784
1517972168,4771,4780
1517973137,4759,4768
1517974089,4752,4761
1517975075,4758,4767
1517976020,4750,4759
1517976981,4746,4755
1517977934,4755,4764
1517978896,4741,4750
1517979864,4744,4753
1517980827,4743,4752
1517981785,4740,4749
1517982759,4740,4748
1517983704,4746,4754
1517984655,4747,4755
1517985615,4745,4753
1517986592,4752,4760
1517987537,4758,4766
1517988497,4757,4765
1517989481,4758,4766
1517990424,4749,4757
1517991386,4752,4760
1517992342,4752,4760
1517993296,4757,4765
1517994286,4754,4762
1517995211,4765,4773
1517996191,4771,4779
1517997136,4780,4788
1517998109,4794,4802
1517999054,4791,4799
1518000017,4791,4799
1518000969,4804,4812
1518001968,4802,4810
