DateTime,AddedIPs,RemovedIPs
1517509690,3,4
1517510691,3,29
1517511625,6,8
1517512579,1,6
1517513542,8,10
1517514504,6,10
1517515458,6,1
1517516417,9,9
1517517376,10,6
1517518352,12,11
1517519301,5,2
1517520256,4,11
1517521214,3,4
1517522199,9,9
1517523139,5,3
1517524098,4,3
1517525077,7,4
1517526039,3,3
1517526980,2,1
1517528182,7,5
1517529133,2,5
1517530101,5,12
1517531065,7,10
1517532010,4,6
1517532998,6,10
1517533948,4,10
1517534896,6,5
1517535858,6,12
1517536820,7,23
1517537796,4,13
1517538733,3,16
1517539709,9,7
1517540662,5,10
1517541614,8,9
1517542581,1,14
1517543544,12,6
1517544499,11,6
1517545722,13,6
1517546654,13,15
1517547621,8,5
1517548573,7,11
1517549561,5,7
1517550500,14,9
1517551462,8,8
1517552409,7,3
1517553395,10,6
1517554330,14,8
1517555297,8,4
1517556252,8,10
1517557214,4,5
1517558178,13,6
1517559161,9,6
1517560093,2,0
1517561058,9,3
1517562017,7,10
1517562980,11,2
1517563940,15,7
1517566010,18,11
1517567052,8,10
1517568051,8,4
1517568972,9,2
1517570198,7,7
1517571137,4,6
1517572097,10,8
1517573088,8,7
1517574031,6,8
1517574975,9,5
1517575939,6,5
1517576912,8,5
1517577855,8,4
1517578813,7,7
1517579773,3,10
1517580753,7,3
1517581691,8,4
1517582655,6,9
1517583624,6,5
1517584580,7,4
1517585540,3,4
1517586494,5,3
1517587468,2,3
1517588678,10,4
1517589637,4,4
1517590815,12,5
1517591788,5,2
1517592737,7,7
1517593699,3,3
1517594666,5,3
1517595630,8,8
1517596581,8,5
1517597543,8,7
1517598492,6,3
1517599487,5,4
1517600410,5,10
1517601371,7,9
1517602351,3,6
1517603296,3,4
1517604255,7,6
1517605244,14,3
1517606181,6,4
1517607150,2,7
1517608107,8,0
1517609066,4,6
1517610014,6,3
1517610988,4,5
1517612464,8,3
1517613376,5,3
1517614916,7,9
1517616028,6,7
1517616984,4,4
1517617944,7,14
1517618894,7,4
1517619866,5,15
1517621069,13,19
1517622010,5,22
1517622983,10,6
1517623942,8,16
1517624894,4,12
1517625860,4,10
1517626840,5,10
1517628034,8,11
1517629003,7,5
1517629931,11,10
1517630891,7,14
1517631872,1,10
1517632810,12,13
1517633779,8,8
1517634745,8,4
1517635704,6,10
1517636652,6,4
1517637628,7,6
1517638578,8,2
1517639540,4,8
1517640492,13,6
1517641478,6,5
1517642416,9,2
1517643379,7,6
1517644340,7,14
1517645293,5,5
1517646274,10,3
1517647211,2,4
1517648173,13,8
1517649154,4,8
1517650090,3,6
1517651061,10,11
1517652026,4,4
1517652979,7,11
1517653950,5,7
1517654922,4,5
1517656102,10,16
1517657064,8,7
1517658016,6,9
1517658975,5,9
1517660122,15,11
1517661145,4,6
1517662099,7,3
1517663067,4,5
1517664015,9,5
1517664986,8,9
1517665935,2,6
1517666915,3,6
1517667853,2,5
1517668816,6,10
1517669791,5,5
1517670757,2,4
1517671939,7,6
1517672907,6,2
1517673866,15,6
1517674821,1,4
1517675794,8,14
1517676735,7,1
1517677699,4,8
1517678655,6,10
1517679615,5,2
1517680597,5,4
1517681535,8,1
1517682498,6,6
1517683457,4,8
1517684424,6,4
1517685384,10,4
1517686613,5,10
1517687776,6,4
1517688736,4,4
1517689716,6,5
1517690655,12,9
1517691620,5,5
1517692601,6,5
1517693545,4,2
1517694737,3,6
1517695709,4,4
1517696665,5,6
1517697629,7,7
1517698826,9,5
1517699788,1,3
1517701047,4,7
1517702197,4,8
1517703134,2,8
1517704102,5,10
1517705057,3,15
1517706034,2,6
1517706981,4,10
1517707949,4,19
1517708906,5,11
1517710129,7,11
1517711057,6,8
1517712015,1,8
1517712989,3,5
1517713955,6,9
1517714891,4,6
1517715867,6,4
1517716819,6,6
1517717790,5,4
1517718735,9,7
1517719709,2,7
1517720657,5,5
1517721633,5,11
1517722576,11,10
1517723551,3,10
1517724503,4,7
1517725461,13,7
1517726658,10,10
1517727620,9,5
1517728582,6,3
1517729551,9,4
1517730493,11,1
1517731460,4,9
1517732413,8,4
1517733385,11,7
1517734342,7,6
1517735296,9,4
1517736254,4,7
1517737222,11,8
1517738171,6,2
1517739156,9,5
1517740093,5,3
1517741326,7,1
1517742259,4,7
1517743216,2,6
1517744170,6,5
1517745153,5,10
1517746090,4,2
1517747069,9,7
1517748009,9,5
1517748987,3,6
1517749934,5,3
1517750912,14,4
1517751859,5,3
1517752846,12,3
1517753783,10,4
1517754738,14,6
1517755693,3,5
1517756669,3,4
1517757615,6,8
1517758577,11,5
1517759539,4,6
1517760528,5,4
1517761455,6,12
1517762518,11,4
1517763632,9,6
1517764612,2,5
1517765532,9,2
