DateTime,Entries,UniqueIPs
1517509690,484,484
1517510691,458,458
1517511625,456,456
1517512579,451,451
1517513542,449,449
1517514504,445,445
1517515458,450,450
1517516417,450,450
1517517376,454,454
1517518352,455,455
1517519301,458,458
1517520256,451,451
1517521214,450,450
1517522199,450,450
1517523139,452,452
1517524098,453,453
1517525077,456,456
1517526039,456,456
1517526980,457,457
1517528182,459,459
1517529133,456,456
1517530101,449,449
1517531065,446,446
1517532010,444,444
1517532998,440,440
1517533948,434,434
1517534896,435,435
1517535858,429,429
1517536820,413,413
1517537796,404,404
1517538733,391,391
1517539709,393,393
1517540662,388,388
1517541614,387,387
1517542581,374,374
1517543544,380,380
1517544499,385,385
1517545722,392,392
1517546654,390,390
1517547621,393,393
1517548573,389,389
1517549561,387,387
1517550500,392,392
1517551462,392,392
1517552409,396,396
1517553395,400,400
1517554330,406,406
1517555297,410,410
1517556252,408,408
1517557214,407,407
1517558178,414,414
1517559161,417,417
1517560093,419,419
1517561058,425,425
1517562017,422,422
1517562980,431,431
1517563940,439,439
1517566010,446,446
1517567052,444,444
1517568051,448,448
1517568972,455,455
1517570198,455,455
1517571137,453,453
1517572097,455,455
1517573088,456,456
1517574031,454,454
1517574975,458,458
1517575939,459,459
1517576912,462,462
1517577855,466,466
1517578813,466,466
1517579773,459,459
1517580753,463,463
1517581691,467,467
1517582655,464,464
1517583624,465,465
1517584580,468,468
1517585540,467,467
1517586494,469,469
1517587468,468,468
1517588678,474,474
1517589637,474,474
1517590815,481,481
1517591788,484,484
1517592737,484,484
1517593699,484,484
1517594666,486,486
1517595630,486,486
1517596581,489,489
1517597543,490,490
1517598492,493,493
1517599487,494,494
1517600410,489,489
1517601371,487,487
1517602351,484,484
1517603296,483,483
1517604255,484,484
1517605244,495,495
1517606181,497,497
1517607150,492,492
1517608107,500,500
1517609066,498,498
1517610014,501,501
1517610988,500,500
1517612464,505,505
1517613376,507,507
1517614916,505,505
1517616028,504,504
1517616984,504,504
1517617944,497,497
