DateTime,AddedIPs,RemovedIPs
1517509692,54,48
1517510693,44,35
1517511627,27,73
1517512582,44,78
1517513543,43,75
1517514506,40,78
1517515461,147,130
1517516419,41,0
1517517378,33,110
1517518354,41,82
1517519303,133,0
1517520259,27,159
1517521216,40,38
1517522201,1568,1584
1517523142,160,0
1517524101,37,85
1517525079,69,224
1517526042,79,0
1517526982,47,0
1517528184,49,120
1517529136,62,0
1517530103,66,143
1517531067,55,41
1517532013,28,0
1517533000,57,118
1517533950,67,45
1517534898,44,0
1517535861,30,67
1517536823,49,57
1517537798,32,79
1517538735,43,0
1517539711,39,135
1517540665,32,0
1517541616,35,39
1517542583,46,60
1517543547,23,116
1517544501,51,0
1517545724,65,88
1517546656,44,59
1517547624,51,45
1517548575,37,35
1517549564,51,40
1517550502,30,26
1517551464,42,72
1517552412,35,52
1517553397,15,45
1517554333,66,36
1517555299,37,34
1517556254,42,67
1517557217,47,50
1517558180,54,10
1517559163,27,73
1517560095,43,40
1517561061,45,23
1517562019,36,74
1517562982,28,27
1517563942,45,55
1517566013,107,104
1517567055,59,49
1517568053,25,49
1517568975,53,46
1517570200,55,62
1517571176,55,48
1517572099,35,60
1517573091,39,68
1517574033,55,14
1517574976,52,63
1517575942,42,72
1517576914,64,54
1517577857,65,56
1517578815,34,57
1517579775,44,51
1517580755,52,61
1517581693,59,47
1517582657,53,41
1517583626,58,26
1517584582,52,23
1517585542,38,0
1517586513,32,47
1517587470,90,24
1517588680,63,36
1517589639,38,140
1517590817,23,105
1517591790,67,59
1517592739,38,52
1517593702,50,57
1517594669,51,19
1517595632,59,76
1517596583,78,40
1517597545,54,44
1517598494,35,66
1517599489,90,44
1517600413,49,28
1517601374,46,70
1517602353,65,61
1517603298,46,37
1517604257,39,75
1517605246,40,54
1517606183,163,52
1517607153,583,41
1517608108,561,40
1517609068,147,1566
1517610016,53,67
1517610991,50,45
1517612466,76,93
1517613378,53,0
1517614918,67,82
1517616030,78,59
1517616987,51,54
1517617947,34,37
1517618896,76,69
1517619868,60,21
1517621071,54,58
1517622013,52,52
1517622986,52,51
1517623945,36,46
1517624896,61,55
1517625863,31,14
1517626842,44,55
1517628036,60,45
1517629005,35,44
1517629935,43,13
1517630894,40,62
1517631875,57,56
1517632813,43,42
