DateTime,AddedIPs,RemovedIPs
1517509692,713,713
1517510693,611,611
1517511627,452,452
1517512582,814,814
1517513543,724,724
1517514506,539,539
1517515461,1771,1771
1517516419,620,620
1517517378,595,595
1517518354,550,550
1517519303,1884,1884
1517520259,534,534
1517521216,516,516
1517522201,1813,1813
1517523142,2000,2000
1517524101,464,464
1517525079,821,821
1517526042,1001,1001
1517526982,597,597
1517528184,906,906
1517529136,691,691
1517530103,740,740
1517531067,738,738
1517532013,375,375
1517533000,811,811
1517533950,823,823
1517534898,678,678
1517535861,573,573
1517536823,761,761
1517537798,576,576
1517538735,727,727
1517539711,772,772
1517540665,659,659
1517541616,569,569
1517542583,734,734
1517543547,551,551
1517544501,818,818
1517545724,992,992
1517546656,619,619
1517547624,740,740
1517548575,473,473
1517549564,800,800
1517550502,528,528
1517551464,706,706
1517552412,573,573
1517553397,211,211
1517554333,993,993
1517555299,488,488
1517556254,672,672
1517557217,604,604
1517558180,699,699
1517559163,372,372
1517560095,749,749
1517561061,688,688
1517562019,628,628
1517562982,460,460
1517563942,691,691
1517566013,1250,1250
1517567055,738,738
1517568053,454,454
1517568975,600,600
1517570200,771,771
1517571176,704,704
1517572099,579,579
1517573091,544,544
1517574033,566,566
1517574976,545,545
1517575942,574,574
1517576914,790,790
1517577857,708,708
1517578815,528,528
1517579775,702,702
1517580755,685,685
1517581693,579,579
1517582657,644,644
1517583626,719,719
1517584582,604,604
1517585542,627,627
1517586513,453,453
1517587470,1066,1066
1517588680,874,874
1517589639,574,574
1517590817,528,528
1517591790,912,912
1517592739,577,577
1517593702,639,639
1517594669,676,676
1517595632,636,636
1517596583,694,694
1517597545,571,571
1517598494,545,545
1517599489,1076,1076
1517600413,584,584
1517601374,628,628
1517602353,909,909
1517603298,702,702
1517604257,654,654
1517605246,765,765
1517606183,759,759
1517607153,583,583
1517608108,680,680
1517609068,1943,1943
1517610016,739,739
1517610991,721,721
1517612466,953,953
1517613378,818,818
1517614918,1151,1151
1517616030,849,849
1517616987,673,673
1517617947,460,460
1517618896,903,903
1517619868,807,807
1517621071,907,907
1517622013,755,755
1517622986,863,863
1517623945,615,615
1517624896,941,941
1517625863,699,699
1517626842,690,690
1517628036,915,915
1517629005,571,571
1517629935,834,834
1517630894,695,695
1517631875,762,762
1517632813,707,707
1517633781,713,713
1517634748,386,386
1517635706,1110,1110
1517636655,731,731
1517637629,805,805
1517638580,761,761
1517639542,624,624
1517640495,870,870
1517641481,645,645
1517642418,523,523
1517643381,884,884
1517644342,513,513
1517645295,756,756
1517646276,732,732
1517647214,616,616
1517648175,680,680
1517649156,536,536
1517650092,395,395
1517651064,780,780
1517652028,490,490
1517652982,718,718
1517653953,555,555
1517654924,556,556
1517656104,689,689
1517657066,703,703
1517658018,396,396
1517658977,790,790
1517660124,689,689
1517661147,558,558
1517662100,716,716
1517663069,352,352
1517664017,683,683
1517664988,499,499
1517665938,704,704
1517666917,774,774
1517667856,542,542
1517668818,477,477
1517669793,586,586
1517670759,529,529
1517671941,866,866
1517672909,603,603
1517673869,646,646
1517674823,391,391
1517675796,837,837
1517676737,521,521
1517677702,777,777
1517678657,686,686
1517679617,670,670
1517680599,511,511
1517681538,561,561
1517682501,711,711
1517683460,544,544
1517684426,666,666
1517685386,552,552
1517686615,846,846
1517687778,700,700
1517688739,661,661
1517689718,656,656
1517690657,627,627
1517691622,380,380
1517692603,739,739
1517693547,697,697
1517694739,630,630
1517695711,1764,1764
1517696667,767,767
1517697631,606,606
1517698828,725,725
1517699790,255,255
1517701049,1139,1139
1517702199,657,657
1517703136,710,710
1517704104,692,692
1517705059,687,687
1517706036,685,685
1517706983,578,578
1517707951,708,708
1517708908,537,537
