DateTime,AddedIPs,RemovedIPs
1515546023,1,0
1515549623,3,0
1515553222,3,0
1515556824,4,0
1515560422,3,0
1515564022,1,0
1515567627,2,0
1515571226,1,2
1515574824,2,0
1515582023,2,2
1515585631,2,1
1515589229,3,1
1515592830,2,2
1515596423,1,2
1515600034,2,1
1515607232,1,1
1515610826,3,1
1515614430,1,4
1515618031,1,1
1515621632,2,0
1515625228,2,0
1515628832,0,3
1515632431,1,3
1515636033,2,2
1515643236,3,0
1515646834,2,1
1515650434,1,1
1515654034,1,3
1515657633,1,1
1515661235,3,1
1515664833,1,1
1515668437,4,2
1515672033,4,2
1515675632,8,0
1515679235,2,1
1515682836,2,2
1515686435,1,2
1515690036,0,1
1515693639,3,2
1515697236,2,3
1515700830,1,50
1515704428,4,15
1515708025,0,7
1515711626,1,0
1515715225,1,3
1515718822,0,2
1515722424,0,2
1515726023,1,4
1515729621,3,2
1515733228,1,1
1515736826,4,0
1515747629,0,2
1515751224,2,0
1515754822,1,1
1515758425,0,2
1515762025,0,3
1515765624,2,3
1515769221,2,3
1515772821,1,1
1515776420,0,1
1515780020,1,1
1515783622,1,1
1515787221,1,3
1515790822,3,1
1515794424,1,1
1515798021,0,3
1515801619,2,3
1515805219,2,1
1515812421,1,2
1515816019,1,0
1515819619,3,2
1515823219,2,0
1515830424,1,2
1515834023,1,0
1515837620,1,0
1515841220,1,1
1515844820,1,1
1515848420,2,0
1515852020,2,0
1515855621,1,1
1515859223,2,1
1515862820,4,1
1515866422,2,1
1515873620,0,1
1515880823,1,0
1515884421,1,0
1515888022,1,0
1515895221,1,1
1515902422,1,0
1515906020,1,0
1515909625,1,0
1515913222,1,0
1515916820,1,1
1515920421,1,1
1515924020,2,0
1515927621,6,0
1515931221,2,0
1515934821,1,0
1515938422,5,2
1515942021,6,2
1515945626,5,2
1515949231,5,2
1515952825,5,1
1515956422,7,2
1515960024,5,4
1515963625,8,1
1515967223,5,0
1515970822,4,1
1515974426,0,1
1515978028,1,2
1515981626,2,2
1515985227,0,7
1515988824,0,1
1515992422,0,1
1515996023,1,0
1516003226,1,0
1516006825,0,1
1516010423,1,0
1516017624,0,1
1516021222,0,1
1516028426,0,1
1516039223,0,1
1516042832,0,1
1516046424,1,0
1516057222,1,0
1516068024,0,2
1516071624,0,1
1516075225,1,6
1516078823,1,6
1516082424,0,1
1516089622,0,1
1516096822,0,2
1516100421,0,1
1516111221,0,2
1516118421,0,2
1516122021,0,3
1516125621,0,4
1516129221,0,1
1516132822,0,1
1516136421,0,1
1516140020,0,1
1516143620,1,1
1516147221,1,3
1516150821,0,1
1516154420,0,1
1516161622,0,1
1516165220,0,3
1516168820,1,4
1516172421,1,8
1516176020,0,5
1516179620,0,3
1516190419,0,2
1516194019,1,2
1516197621,1,2
1516201219,3,1
1516204819,3,2
1516208420,2,0
1516212019,2,0
1516215619,2,2
1516219220,1,1
1516222821,0,2
1516226420,0,5
1516230026,0,2
1516233622,1,2
1516237218,1,2
1516240818,3,3
1516248020,2,3
1516251619,1,3
1516255218,0,2
1516258819,2,2
1516262420,3,0
1516266018,2,3
1516269619,0,3
1516273219,3,1
1516276819,4,0
1516280418,1,1
1516284018,0,2
1516287619,2,1
1516291228,2,2
1516294819,0,2
1516298419,0,2
1516302018,4,3
1516305619,2,1
1516309219,2,4
1516316424,1,0
1516320020,0,2
1516323620,0,1
