DateTime,AddedIPs,RemovedIPs
1515204034,1,0
1515207646,1,1
1515214825,1,0
1515225626,1,0
1515236428,1,0
1515240027,0,1
1515247222,1,0
1515254427,0,1
1515258022,1,0
1515261621,1,2
1515265221,2,1
1515268823,1,1
1515272423,1,2
1515276025,1,1
1515283217,0,1
1515294021,0,1
1515297615,0,2
1515304830,0,3
1515308415,0,1
1515315619,0,1
1515326415,2,0
1515333615,1,0
1515340815,1,0
1515344418,1,1
1515348018,2,0
1515351621,2,1
1515355221,0,1
1515358818,1,1
1515366014,0,1
1515369618,0,1
1515373215,1,0
1515376815,1,0
1515380414,1,0
1515384018,1,0
1515387615,0,1
1515391216,0,1
1515394815,0,1
1515398415,0,1
1515405614,0,2
1515409215,1,1
1515412815,2,0
1515416414,2,0
1515420015,1,1
1515423615,1,1
1515427214,0,1
1515430815,0,3
1515434415,2,2
1515438015,0,1
1515441615,0,1
1515445215,0,1
1515452414,0,3
1515456014,0,1
1515459614,1,1
1515463214,2,1
1515466815,8,0
1515470415,3,0
1515474015,1,1
1515477615,0,5
1515481214,0,28
1515488414,1,0
1515499213,1,0
1515506413,1,0
1515510014,1,0
1515513614,2,0
1515517213,0,1
1515520814,2,1
1515524413,1,0
1515528014,1,0
1515535213,1,0
1515538814,0,1
1515542413,1,1
1515546016,1,0
1515549615,3,0
1515553214,3,0
1515556814,4,0
1515560415,3,0
1515564015,1,0
1515567622,2,0
1515571219,1,1
1515574817,2,0
1515582015,2,2
1515585623,2,1
1515589222,3,1
1515592823,2,1
1515596417,1,2
1515600026,2,1
1515607225,1,1
1515610818,3,0
1515614423,1,3
1515618023,1,1
1515621624,2,0
1515625221,2,0
1515628825,0,3
1515632424,1,3
1515636025,2,1
1515643229,3,0
1515646831,2,1
1515650427,1,1
1515654027,1,3
1515657626,1,1
1515664825,0,1
1515668429,3,2
1515672026,2,2
1515675624,2,0
1515679228,1,0
1515682828,0,2
1515686428,1,0
1515690026,0,1
1515693629,2,1
1515697230,2,1
1515700825,1,1
1515704426,4,0
1515711622,1,0
1515715221,1,0
1515726020,1,0
1515729618,3,0
1515733225,1,0
1515736822,4,0
1515747626,0,1
1515751220,2,0
1515754820,1,1
1515762021,0,3
1515765619,1,3
1515769218,1,3
1515772818,0,1
1515776416,0,1
1515780015,0,1
1515783619,1,1
1515787217,1,3
1515790818,0,1
1515794420,0,1
1515798017,0,3
1515801616,2,3
1515805215,1,1
1515812415,1,2
1515816017,1,0
1515819614,2,2
1515823215,2,0
1515830416,1,2
1515834023,1,0
