DateTime,AddedIPs,RemovedIPs
1515924191,1,2
1515927775,1,1
1515931369,1,0
1515934978,2,0
1515942196,1,0
1515945766,0,3
1515949390,5,0
1515952999,1,2
1515956574,2,0
1515960193,2,2
1515963809,3,1
1515967395,1,4
1515970975,2,1
1515974579,2,0
1515978179,0,1
1515981786,0,5
1515985375,2,5
1515988981,0,4
1515992571,1,2
1515996199,1,3
1515999797,3,0
1516007000,4,1
1516014186,2,0
1516017773,1,5
1516021371,0,3
1516024988,2,6
1516028574,1,2
1516032178,1,5
1516035774,0,9
1516039404,0,1
1516042979,1,7
1516046578,2,5
1516050175,1,1
1516053787,0,2
1516057353,3,3
1516060961,1,1
1516064580,1,0
1516068185,4,2
1516071771,3,1
1516075378,0,5
1516079008,1,3
1516082610,1,1
1516086206,2,0
1516089795,1,0
1516093402,0,1
1516096987,0,1
1516100581,0,1
1516104185,2,1
1516107801,1,1
1516111405,1,2
1516114981,0,1
1516118593,1,2
1516122187,5,1
1516125798,1,1
1516129375,1,1
1516133007,2,2
1516136607,1,4
1516140209,1,4
1516143804,4,5
1516147385,3,3
1516150988,3,0
1516154598,1,3
1516158184,8,0
1516161809,1,4
1516168965,1,1
1516176170,0,1
1516179772,0,2
1516183375,2,1
1516187006,2,0
1516190587,1,3
1516194195,0,2
1516197806,3,0
1516201411,2,2
1516205009,2,2
1516208606,1,1
1516212206,2,1
1516215814,1,2
1516219409,4,4
1516222985,4,2
1516226558,2,3
1516230206,5,4
1516233802,3,2
1516237408,1,3
1516240992,1,1
1516244607,3,3
1516248208,1,2
1516251756,0,2
1516255372,1,1
1516258995,1,1
1516262558,0,6
1516266178,2,2
1516269774,2,4
1516273371,1,2
1516276994,1,1
1516280588,1,1
1516284199,2,2
1516287802,1,2
1516291396,0,1
1516295009,0,3
1516298618,1,2
1516302214,1,0
1516305804,1,0
1516309398,1,2
1516313001,1,1
1516316563,1,2
1516320170,0,2
1516323791,2,1
1516327390,0,1
1516330969,2,0
1516334583,2,0
1516338162,1,0
1516341771,0,1
1516345368,1,0
1516348983,0,1
1516352599,1,1
1516356196,2,0
1516359782,1,0
1516366972,1,0
1516370587,0,2
