DateTime,AddedIPs,RemovedIPs
1516083123,39,90
1516086715,53,54
1516090319,57,62
1516093924,55,56
1516097520,39,69
1516101118,38,61
1516104709,46,56
1516108324,69,45
1516111932,88,65
1516115527,59,78
1516119129,63,84
1516122729,71,57
1516126324,47,67
1516129935,73,60
1516133532,56,51
1516137134,54,65
1516140726,41,62
1516144328,43,62
1516147932,43,49
1516151518,55,49
1516155129,78,68
1516158720,55,66
1516162319,47,78
1516165918,47,55
1516169515,43,58
1516173119,55,83
1516176703,56,48
1516180311,74,56
1516183920,48,51
1516187512,54,69
1516191109,44,56
1516194714,61,50
1516198317,86,46
1516201915,52,82
1516205509,54,75
1516209117,43,53
1516212713,72,62
1516216310,48,60
1516219920,55,55
1516223514,59,72
1516227109,68,56
1516230711,49,75
1516234300,32,51
1516237913,39,42
1516241504,51,39
1516245113,84,35
1516248720,39,51
1516252321,64,39
1516255914,58,44
1516259517,38,42
1516263116,59,39
1516266714,52,38
1516270312,58,51
1516273911,52,51
1516277521,35,38
1516281112,53,44
1516284715,57,24
1516288330,73,36
1516291919,52,42
1516295532,67,41
1516299135,70,34
1516302729,44,72
1516306338,71,69
1516309935,36,78
1516313530,60,57
1516317135,56,59
1516320704,41,57
1516324313,22,54
1516327915,62,46
1516331531,79,57
1516335115,54,47
1516338714,45,53
1516342320,50,31
1516345932,52,49
1516349522,47,76
1516353114,50,58
1516356722,53,62
1516360325,60,80
1516363908,47,69
1516367510,62,58
1516371119,65,42
1516374736,74,55
1516378324,97,73
1516381899,49,65
1516385519,60,48
1516389131,65,69
1516392712,58,81
1516396306,53,90
1516399907,65,63
1516403526,69,76
1516407106,44,83
1516410710,42,63
1516414300,39,82
1516417919,58,64
1516421507,66,86
1516425101,52,65
1516428705,57,45
1516432317,49,45
1516435905,61,61
1516439501,65,87
1516443105,42,55
1516446715,83,62
1516450313,54,70
1516453910,40,58
1516457503,36,72
1516461108,49,48
1516464705,82,85
1516468308,62,52
1516471907,51,51
1516475516,51,33
1516479118,42,48
1516482706,42,49
