DateTime,AddedIPs,RemovedIPs
1516086821,49,49
1516090418,53,57
1516094019,51,51
1516097615,33,64
1516101215,36,58
1516104810,40,49
1516108409,58,32
1516112019,78,50
1516115616,48,68
1516119227,57,64
1516122831,64,44
1516126434,43,57
1516130045,67,54
1516133637,50,46
1516137230,50,56
1516140835,37,60
1516144433,39,59
1516148033,37,46
1516151636,49,44
1516155234,72,63
1516158830,48,57
1516162417,43,73
1516166006,40,51
1516169602,39,55
1516173200,47,77
1516176803,41,41
1516180411,64,44
1516184010,43,47
1516187613,45,66
1516191207,39,51
1516194802,54,42
1516198405,75,37
1516202014,48,60
1516205612,49,61
1516209207,39,45
1516212808,66,52
1516216408,45,54
1516220013,47,49
1516223609,52,67
1516227208,58,54
1516230809,42,73
1516234410,25,50
1516238008,38,35
1516241608,44,37
1516245213,78,32
1516248809,38,50
1516252405,58,34
1516256001,52,30
1516259604,38,35
1516263208,53,33
1516266805,50,34
1516270406,53,41
1516274003,50,38
1516277611,34,34
1516281215,51,38
1516284812,52,20
1516288415,65,34
1516292014,48,39
1516295624,63,37
1516299233,57,27
1516302830,42,68
1516306435,69,64
1516310023,34,73
1516313627,58,50
1516317229,49,52
1516320827,34,52
1516324420,21,53
1516328032,55,45
1516331621,71,53
1516335216,45,47
1516338811,39,50
1516342408,43,27
1516346008,48,42
1516349606,37,74
1516353210,44,53
1516356814,47,60
1516360415,59,66
1516364012,46,50
1516367613,51,49
1516371217,54,38
1516374817,72,49
1516378423,86,62
1516382023,38,56
1516385629,54,40
1516389229,60,65
1516392828,49,80
1516396419,48,80
1516400015,57,55
1516403611,67,76
1516407210,35,76
1516410812,30,59
1516414410,31,76
1516418006,48,55
1516421601,62,79
1516425200,44,58
1516428795,49,43
1516432398,45,39
1516435999,56,55
1516439601,57,79
1516443197,36,54
1516446795,73,54
1516450398,44,59
1516453996,37,51
1516457596,36,63
1516461195,42,37
1516464799,71,78
1516468398,50,46
1516472002,48,43
1516475600,48,33
1516479204,37,44
1516482797,35,44
1516486399,46,48
