DateTime,Entries,UniqueIPs
1516086821,10785,10785
1516090418,10781,10781
1516094019,10781,10781
1516097615,10750,10750
1516101215,10728,10728
1516104810,10719,10719
1516108409,10745,10745
1516112019,10773,10773
1516115616,10753,10753
1516119227,10746,10746
1516122831,10766,10766
1516126434,10752,10752
1516130045,10765,10765
1516133637,10769,10769
1516137230,10763,10763
1516140835,10740,10740
1516144433,10720,10720
1516148033,10711,10711
1516151636,10716,10716
1516155234,10725,10725
1516158830,10716,10716
1516162417,10686,10686
1516166006,10675,10675
1516169602,10659,10659
1516173200,10629,10629
1516176803,10629,10629
1516180411,10649,10649
1516184010,10645,10645
1516187613,10624,10624
1516191207,10612,10612
1516194802,10624,10624
1516198405,10662,10662
1516202014,10650,10650
1516205612,10638,10638
1516209207,10632,10632
1516212808,10646,10646
1516216408,10637,10637
1516220013,10635,10635
1516223609,10620,10620
1516227208,10624,10624
1516230809,10593,10593
1516234410,10568,10568
1516238008,10571,10571
1516241608,10578,10578
1516245213,10624,10624
1516248809,10612,10612
1516252405,10636,10636
1516256001,10658,10658
1516259604,10661,10661
1516263208,10681,10681
1516266805,10697,10697
1516270406,10709,10709
1516274003,10721,10721
1516277611,10721,10721
1516281215,10734,10734
1516284812,10766,10766
1516288415,10797,10797
1516292014,10806,10806
1516295624,10832,10832
1516299233,10862,10862
1516302830,10836,10836
1516306435,10841,10841
1516310023,10802,10802
1516313627,10810,10810
1516317229,10807,10807
1516320827,10789,10789
1516324420,10757,10757
1516328032,10767,10767
1516331621,10785,10785
1516335216,10783,10783
1516338811,10772,10772
1516342408,10788,10788
1516346008,10794,10794
1516349606,10757,10757
1516353210,10748,10748
1516356814,10735,10735
1516360415,10728,10728
1516364012,10724,10724
1516367613,10726,10726
1516371217,10742,10742
1516374817,10765,10765
1516378423,10789,10789
1516382023,10771,10771
1516385629,10785,10785
1516389229,10780,10780
1516392828,10749,10749
1516396419,10717,10717
1516400015,10719,10719
1516403611,10710,10710
1516407210,10669,10669
1516410812,10640,10640
1516414410,10595,10595
1516418006,10588,10588
1516421601,10571,10571
1516425200,10557,10557
1516428795,10563,10563
1516432398,10569,10569
1516435999,10570,10570
1516439601,10548,10548
1516443197,10530,10530
1516446795,10549,10549
1516450398,10534,10534
1516453996,10520,10520
1516457596,10493,10493
1516461195,10498,10498
1516464799,10491,10491
1516468398,10495,10495
1516472002,10500,10500
1516475600,10515,10515
1516479204,10508,10508
1516482797,10499,10499
1516486399,10497,10497
1516489995,10489,10489
1516493602,10460,10460
1516497198,10465,10465
1516500798,10450,10450
1516504401,10441,10441
1516508027,10455,10455
1516511601,10484,10484
1516515204,10472,10472
1516518806,10469,10469
1516522410,10488,10488
1516526007,10471,10471
1516529612,10475,10475
1516533199,10473,10473
