DateTime,AddedIPs,RemovedIPs
1516035797,0,2
1516039405,2,3
1516043008,1,1
1516046603,0,2
1516050203,1,2
1516053804,2,2
1516057410,1,0
1516061010,1,0
1516068207,2,1
1516071802,1,2
1516075398,2,1
1516079009,1,1
1516082607,1,1
1516086202,2,2
1516089803,3,2
1516093405,1,2
1516097002,1,0
1516100603,2,2
1516104201,0,2
1516107803,0,2
1516111403,1,1
1516115006,1,1
1516118614,1,4
1516122209,2,0
1516125810,2,4
1516129417,3,1
1516133016,2,4
1516136609,2,2
1516140210,4,3
1516143815,2,0
1516147414,3,1
1516151009,3,2
1516154610,2,2
1516158206,0,1
1516161804,0,1
1516165402,3,1
1516168995,0,2
1516172600,1,2
1516176196,0,4
1516179799,1,3
1516183405,3,0
1516187001,1,1
1516190599,2,4
1516194194,1,1
1516197800,1,2
1516201402,0,3
1516205002,4,2
1516208601,1,3
1516215797,1,5
1516219404,0,6
1516222998,2,1
1516226601,2,2
1516230203,3,4
1516233796,0,5
1516240998,2,3
1516244601,0,4
1516248203,13,2
1516251806,12,1
1516255397,5,2
1516258999,13,6
1516262604,8,2
1516266197,2,4
1516273397,0,2
1516277001,1,2
1516280600,2,0
1516284204,2,1
1516287799,1,1
1516291399,2,2
1516295003,1,3
1516298606,1,1
1516302212,5,2
1516305808,1,2
1516309408,1,2
1516313015,2,0
1516316611,2,0
1516320199,5,2
1516323802,2,0
1516327405,1,0
1516331007,1,1
1516334599,1,0
1516338199,1,0
1516341804,2,2
1516345403,1,1
1516349001,1,3
1516352597,0,1
1516356199,1,2
1516359812,1,2
1516367002,1,1
1516370608,1,3
1516374211,6,0
1516377803,2,0
1516381399,1,0
1516385006,0,2
1516388613,1,3
1516392210,2,0
1516395812,1,1
1516399401,1,0
1516403005,2,2
1516406599,2,2
1516410205,1,0
1516413804,1,1
1516417411,0,1
1516421009,1,2
1516424600,2,2
1516428196,0,1
1516431812,1,2
1516435400,1,0
1516438998,3,0
1516442598,2,1
1516446202,3,2
