DateTime,AddedIPs,RemovedIPs
1516364163,99,90
1516370883,112,108
1516374723,167,180
1516376642,207,178
1516380722,94,88
1516382884,88,94
1516384808,186,170
1516386723,109,119
1516388645,119,109
1516390803,178,162
1516396565,83,123
1516398722,99,100
1516400884,88,113
1516404723,112,103
1516409043,133,150
1516412882,125,106
1516414802,106,125
1516418643,179,200
1516420563,130,124
1516422724,111,131
1516426563,93,125
1516430404,125,93
1516432323,198,191
1516434483,91,71
1516438323,101,93
1516442643,117,88
1516445523,94,110
1516447443,184,205
1516449363,205,184
1516451523,179,152
1516455362,110,117
1516459443,117,102
1516463283,240,259
1516465203,259,240
1516467122,105,137
1516472884,189,173
1516474811,123,111
1516478643,114,114
1516480564,96,121
1516486323,202,177
1516488242,204,264
1516492083,107,120
1516495923,139,100
1516499763,108,123
1516503609,90,122
1516505524,110,123
1516509362,128,121
1516513203,79,104
1516518963,115,101
1516520883,93,63
1516524722,74,81
1516528563,125,88
1516530723,114,75
1516534563,101,115
1516536483,115,101
1516538402,187,152
1516542483,100,95
1516546322,97,82
1516550163,105,91
1516554008,82,105
1516555924,105,82
1516557842,145,174
1516559762,95,100
1516561682,271,278
1516563603,109,97
1516567443,90,103
1516571283,79,129
1516573206,129,79
1516575123,147,213
1516579210,78,121
1516581123,121,78
1516583042,188,206
1516584962,243,209
1516586882,250,270
1516588803,69,105
1516592644,95,118
1516596483,113,127
1516600323,97,97
1516604164,119,99
1516608013,90,96
1516609923,3,5668
1516613763,5680,3
1516617843,95,80
1516621923,92,81
1516623851,155,193
1516625763,224,170
1516629607,99,99
1516631523,92,97
1516633442,3,0
1516635363,90,78
1516639444,105,107
1516643282,119,86
1516647123,106,103
1516650962,119,99
1516654807,109,129
1516656963,77,117
1516662723,102,147
1516664642,100,118
1516666565,140,88
1516668482,3,0
1516670404,101,103
1516676163,103,101
1516678084,101,103
1516680011,145,227
1516683843,118,128
1516685764,102,101
1516687683,139,84
1516693685,84,95
1516697525,89,79
1516699443,2,0
1516701364,106,81
1516705208,84,77
1516709044,87,78
1516710962,89,89
1516716725,111,96
1516718643,109,81
1516722483,92,85
1516724404,142,177
1516726322,210,175
1516730883,104,107
1516732802,106,101
1516738564,129,98
1516740483,90,127
1516744325,92,127
1516748163,209,137
1516750083,160,261
1516752242,91,133
1516754163,133,95
1516756082,216,219
1516758243,115,109
1516762082,85,114
1516765922,114,127
1516770008,121,123
1516771923,99,105
1516775762,105,99
1516777683,202,173
1516779843,86,88
1516783922,86,93
1516789923,94,81
1516791842,100,82
1516795683,106,85
1516797604,130,169
1516799524,233,168
1516805522,89,107
1516809363,98,80
1516813210,102,100
1516815362,102,88
1516819202,101,96
1516823043,108,108
1516826882,99,130
1516830722,110,109
1516835285,105,135
1516837202,95,124
1516841045,134,111
1516844885,121,108
1516848723,108,121
1516850643,182,192
1516852564,125,133
1516856409,111,125
1516860250,95,112
1516862162,138,84
1516866002,100,95
1516869843,115,86
1516873682,79,86
1516879444,92,82
1516883286,80,84
1516887124,103,84
1516889042,96,98
1516890965,88,99
1516896723,103,86
1516898644,95,108
1516902484,106,90
1516906324,114,108
1516910163,121,96
1516912083,113,116
1516919763,138,220
1516924083,95,117
1516927922,144,124
1516932009,126,115
1516933924,115,126
1516935842,195,187
1516937764,97,117
1516939683,110,121
1516947363,101,102
1516949284,113,101
1516953124,109,78
1516955043,78,109
1516956965,192,132
1516958883,107,98
1516962723,93,93
1516964645,102,90
1516972324,90,84
1516974244,103,105
1516978083,110,100
1516981922,102,102
1516983844,159,169
1516986008,200,189
1516987924,106,112
1516991764,109,105
1516993923,105,109
1516999682,92,107
1517005442,88,112
1517007365,108,111
1517011265,83,119
1517013123,133,109
1517017202,100,104
1517021043,80,125
1517022965,125,124
1517028963,107,117
1517032806,100,115
1517034722,110,91
1517036882,88,86
1517042644,100,77
1517044563,77,100
1517046483,186,124
1517048403,124,186
1517050323,225,142
1517054163,93,80
1517056083,80,93
1517058010,182,168
1517059923,84,117
1517063762,97,91
1517067843,97,101
1517071922,104,91
1517075762,101,88
1517079605,103,101
1517081762,101,103
1517083682,199,206
1517089444,84,111
1517095203,87,127
1517097128,95,119
1517101209,145,115
1517103123,100,110
1517105042,84,109
1517108883,106,126
1517116565,96,151
1517118484,111,113
1517122324,132,93
1517126163,78,79
1517130012,100,85
1517131923,111,75
1517133843,105,82
1517139602,113,86
1517143443,108,103
1517147282,101,99
1517151122,102,103
1517154963,102,111
1517158810,105,85
1517160723,151,117
1517164562,111,126
1517168403,121,107
1517172243,109,121
1517178002,88,113
1517179923,95,114
1517182083,96,138
1517185923,142,107
1517189763,84,123
1517193603,87,112
1517197444,101,127
1517201283,124,132
1517207043,109,123
1517208963,126,80
1517212807,89,74
1517214723,86,93
1517221443,95,74
1517223363,102,74
1517227205,101,79
1517229123,93,90
1517231042,89,85
1517236803,96,86
1517240643,76,81
1517244483,81,76
1517246403,150,151
1517248323,107,105
1517254085,114,87
1517257923,87,114
1517259843,223,202
1517261762,93,122
1517263682,102,128
1517267524,223,168
1517269683,188,274
1517273762,0,8
1517275687,228,199
1517279523,34,3331
1517281443,3271,0
1517283363,102,125
1517289124,118,148
1517291044,102,120
1517294884,119,75
1517298723,96,74
1517300642,74,96
1517302563,171,140
1517306643,90,84
1517310723,93,82
1517312644,97,79
1517316722,94,107
1517320563,108,89
1517324408,108,88
1517326323,84,81
1517330403,104,106
1517334243,101,104
1517338082,126,98
1517341924,114,110
1517345763,89,111
1517351762,154,198
1517355842,99,124
1517359682,131,122
1517361602,102,127
1517367364,70,115
1517373124,98,109
1517375043,121,125
1517376963,106,124
1517380802,120,74
1517384883,89,86
1517388724,108,88
1517390644,104,92
1517398563,168,138
1517402404,83,106
1517404323,179,150
1517406243,101,94
1517412003,100,121
1517414162,121,100
1517416083,158,163
1517418006,103,93
1517422803,105,104
1517424732,108,99
1517428564,110,121
1517430484,129,126
1517436243,170,230
1517440084,93,118
1517443924,118,93
1517445843,251,208
1517449683,170,112
1517453522,82,90
1517459284,94,119
1517461207,0,5884
1517463126,5856,0
1517466963,158,91
1517470805,111,91
1517474644,104,79
1517480402,165,149
1517487125,176,152
1517493123,79,85
1517498884,149,171
1517502964,108,80
1517506803,106,86
1517510646,106,99
1517514483,139,109
1517518326,89,119
1517522165,91,113
1517526009,105,109
1517527923,109,105
1517529843,167,219
1517531762,138,111
